DateTime,AddedIPs,RemovedIPs
1530717265,8,3
1530720860,6,0
1530724455,1,10
1530728053,8,4
1530731646,8,2
1530735270,3,6
1530738849,4,1
1530742427,2,2
1530746057,3,13
1530749761,36,1
1530753231,5,5
1530756873,4,13
1530760469,12,24
1530764090,3,7
1530767658,8,6
1530771257,2,8
1530774851,5,9
1530778497,8,6
1530782049,12,3
1530785668,6,3
1530789266,5,5
1530792879,1,9
1530796482,5,2
1530800063,3,3
1530803645,2,5
1530807232,4,5
1530810847,2,5
1530814516,6,1
1530818138,7,2
1530821704,4,1
1530825278,2,3
1530828905,3,3
1530832481,0,5
1530836090,22,3
1530839697,2,3
1530843286,6,4
1530846918,5,24
1530850471,2,3
1530854101,3,5
1530857705,4,6
1530861265,5,5
1530864905,3,2
1530868566,3,5
1530872105,4,4
1530875700,5,2
1530879298,4,2
1530882885,3,2
1530886512,1,3
1530890080,5,5
1530893678,1,1
1530897280,4,3
1530900934,4,1
1530904431,1,2
1530908333,1,1
1530911942,2,5
1530915569,1,2
1530919139,3,10
1530922837,30,7
1530926351,10,2
1530929947,5,6
1530933599,1,20
1530937119,8,13
1530940754,17,10
1530944330,4,7
1530947936,10,5
1530951561,5,8
1530955167,7,7
1530958715,5,6
1530962333,6,2
1530965922,3,3
1530969533,5,10
1530973119,13,4
1530976753,6,5
1530980345,8,9
1530983940,6,3
1530987574,5,9
1530991122,8,5
1530994735,5,2
1530998335,3,4
1531001940,2,6
1531005521,4,5
1531009221,26,13
1531012787,15,5
1531016381,3,14
1531019928,5,25
1531023587,3,8
1531027175,8,10
1531030768,8,9
1531034334,13,5
1531037962,5,7
1531041593,6,6
1531045172,4,10
1531048806,6,6
1531052380,14,7
1531056006,8,10
1531059587,5,6
1531063200,8,9
1531066807,12,7
1531070407,11,8
1531073972,9,7
1531077600,3,13
1531081190,5,7
1531084800,11,13
1531088389,14,4
1531092008,7,6
1531095887,31,7
1531099211,6,6
1531102772,7,6
1531106405,7,23
1531110022,6,15
1531113589,10,4
1531117226,2,6
1531120751,5,5
1531124410,4,5
1531127968,5,9
1531131601,10,4
1531135165,2,8
1531138824,10,16
1531142414,16,7
1531146010,11,6
1531149566,3,5
1531153203,7,3
1531156767,6,5
1531160409,8,6
1531163971,10,3
1531167577,3,6
1531171210,7,13
1531174780,4,8
1531178434,2,12
1531182214,32,7
1531185583,16,11
1531189186,6,11
1531192776,13,36
1531196395,8,13
1531199978,14,9
1531203585,11,7
1531207198,12,7
1531210731,7,13
1531214385,3,13
1531217934,27,10
1531221583,8,7
1531225190,13,3
1531228780,10,5
1531232385,4,16
1531235966,8,6
