DateTime,AddedIPs,RemovedIPs
1529021314,0,3
1529025034,5,0
1529028603,1,0
1529032044,1,1
1529039250,1,0
1529046434,0,1
1529053633,0,5
1529057241,4,1
1529060824,1,3
1529064432,3,0
1529071667,0,5
1529075220,6,0
1529078804,0,1
1529086026,1,0
1529089635,0,4
1529093241,1,0
1529096840,1,1
1529100408,1,0
1529111225,1,0
1529114810,0,4
1529122037,1,0
1529125621,3,2
1529129239,0,1
1529147222,0,1
1529150825,1,1
1529154426,1,0
1529165219,0,5
1529168823,3,1
1529172436,3,0
1529186829,0,1
1529194033,7,1
1529201215,1,4
1529204841,3,0
1529208457,1,0
1529215660,1,1
1529219214,4,4
1529222826,2,3
1529226424,1,0
1529230017,0,1
1529233623,0,2
1529237216,2,2
1529240862,2,2
1529244442,0,1
1529248038,0,1
1529251636,2,3
1529258825,4,1
1529262418,4,0
1529266025,0,1
1529276862,2,3
1529280435,1,0
1529284055,2,0
1529287648,0,2
1529291269,0,5
1529294845,1,0
1529298432,1,0
1529302053,1,4
1529312879,0,2
1529316450,1,3
1529323633,0,1
1529327247,5,0
1529330856,3,0
1529345250,0,4
1529348874,1,0
1529352467,0,2
1529356042,2,0
1529359654,1,0
1529366874,2,0
1529370461,1,0
1529374021,1,1
1529381250,0,1
1529384871,0,1
1529388444,0,7
1529392059,9,0
1529406439,0,5
1529413650,1,0
1529424454,0,1
1529428056,2,5
1529431642,1,0
1529435264,1,1
1529438849,6,0
1529442440,1,0
1529456854,2,3
1529460427,0,1
1529464034,1,1
1529467651,0,1
1529471246,2,2
1529474853,1,4
1529485655,2,0
1529489256,0,1
1529510837,0,1
1529514470,0,2
1529518071,1,0
1529525277,0,2
1529532472,4,1
1529539721,4,0
1529543431,3,0
1529546983,0,1
1529554057,0,1
1529557668,0,2
1529561268,0,1
1529564863,3,0
1529568468,0,2
1529572057,2,0
1529575661,1,0
1529579241,0,3
1529582856,4,0
1529586461,2,0
1529597277,1,0
1529600867,0,1
1529604481,0,1
1529608067,0,1
1529611637,0,1
1529615270,1,1
1529618858,4,0
1529626090,1,0
1529633269,0,5
1529636841,1,4
1529640461,1,1
1529644059,1,0
1529654850,0,1
1529658461,0,6
1529662045,4,0
1529665673,0,1
1529669248,3,1
1529672852,1,0
1529676457,0,2
1529680041,1,0
1529683669,1,0
1529687235,1,0
1529701659,0,6
1529716043,4,3
1529719641,5,0
1529723232,1,0
1529734037,0,2
1529737626,1,0
1529744829,0,1
1529759231,1,4
1529762804,2,0
1529770024,1,2
1529773656,1,1
1529777228,0,1
1529780847,1,0
1529784445,1,2
1529788022,1,0
1529791632,2,0
1529795216,0,1
1529798836,1,1
1529802428,2,0
1529806047,1,0
1529816838,0,5
1529820428,0,1
1529824040,1,0
1529827624,1,0
1529838412,0,1
1529842053,0,1
1529845623,0,4
1529849240,5,0
1529870834,0,1
1529878022,1,0
1529885260,1,0
1529888864,1,1
1529892475,3,1
1529896047,2,0
1529899639,2,0
1529906848,1,0
1529914039,2,4
1529917640,0,4
1529921254,0,1
1529924850,0,2
1529928446,10,2
1529942856,0,1
1529946466,0,5
1529950069,1,0
1529953646,2,0
1529957232,0,1
1529960843,1,0
1529968062,0,5
1529971647,5,0
1529975232,2,1
1529978835,1,0
1529982451,1,2
1529993241,0,1
1529996812,0,1
1530000401,2,4
1530004004,2,0
1530007597,1,1
1530011215,1,0
1530014807,0,1
1530018409,0,1
1530022002,2,0
1530029201,1,2
1530032793,1,0
1530036410,0,2
1530040004,1,0
1530043603,1,0
1530047202,1,1
1530054407,1,2
1530058036,2,1
1530068839,1,0
1530072439,0,2
1530079627,2,0
1530086830,1,0
1530094051,0,1
1530097637,1,0
1530101250,0,1
1530115627,0,3
1530122831,0,2
1530130043,2,0
1530133632,2,1
1530140836,2,0
1530144450,2,1
1530148070,2,2
