DateTime,Entries,UniqueIPs
1527358178,17,17
1527361548,16,16
1527361548,16,16
1527364302,17,17
1527369501,19,19
1527369501,19,19
1527372648,19,19
1527372648,19,19
1527375535,20,20
1527375535,20,20
1527378877,23,23
1527381320,22,22
1527381320,22,22
1527383938,23,23
1527383938,23,23
1527389391,24,24
1527391907,23,23
1527393919,23,23
1527393919,23,23
1527396084,23,23
1527396084,23,23
1527398007,23,23
1527398007,23,23
1527400174,23,23
1527402020,22,22
1527405861,21,21
1527421219,17,17
1527428903,18,18
1527432767,19,19
1527434665,18,18
1527438500,19,19
1527440490,20,20
1527444279,19,19
1527450022,18,18
1527453888,20,20
1527455781,20,20
1527457702,19,19
1527460589,18,18
1527462514,16,16
1527464450,15,15
1527466345,15,15
1527468315,16,16
1527470179,15,15
1527472133,17,17
1527474020,18,18
1527477881,19,19
1527479845,20,20
1527481697,22,22
1527500895,23,23
1527504731,24,24
1527506653,25,25
1527508589,27,27
1527510490,28,28
1527514361,27,27
1527516263,29,29
1527518171,29,29
1527520115,28,28
1527523887,28,28
1527525850,27,27
1527527793,27,27
1527529690,28,28
1527533533,30,30
1527535452,32,32
1527537388,33,33
1527539290,34,34
1527541295,36,36
1527543146,35,35
1527545094,36,36
1527546989,37,37
1527552787,37,37
1527554654,36,36
1527558512,33,33
1527560456,32,32
1527564310,32,32
1527566192,31,31
1527568133,29,29
1527573905,30,30
1527587327,30,30
1527591168,29,29
1527593057,29,29
1527594999,27,27
1527596903,27,27
1527598845,29,29
1527600739,30,30
1527602704,30,30
1527604572,29,29
1527606537,31,31
1527610401,31,31
1527613148,32,32
1527615136,31,31
1527617058,32,32
1527618972,30,30
1527620898,31,31
1527624735,30,30
1527626674,31,31
1527628570,28,28
1527630505,29,29
1527632426,28,28
1527634331,29,29
1527638189,30,30
1527640089,31,31
1527645954,30,30
1527649694,29,29
1527684487,32,32
1527686412,33,33
1527688328,34,34
1527694093,23,23
1527696099,22,22
1527698212,23,23
1527700024,25,25
1527702008,24,24
1527703936,24,24
1527705855,26,26
1527707770,26,26
1527709717,25,25
1527711611,28,28
1527713529,27,27
1527715452,26,26
1527719288,24,24
1527723170,25,25
1527725061,28,28
1527726979,26,26
1527728905,28,28
1527732744,28,28
1527734678,30,30
1527740420,32,32
1527742355,33,33
1527763493,35,35
1527767303,36,36
1527769243,38,38
1527771162,34,34
1527773060,35,35
1527774983,34,34
1527780784,37,37
1527782663,36,36
1527784621,35,35
1527786534,33,33
1527788459,34,34
1527790494,34,34
1527792305,33,33
1527794175,31,31
1527796133,32,32
1527798015,30,30
1527799953,29,29
1527801873,31,31
1527803793,32,32
1527807870,33,33
1527809819,33,33
1527811710,31,31
1527813627,31,31
1527815557,31,31
1527819389,31,31
1527821326,30,30
1527823223,31,31
1527827072,29,29
1527829013,28,28
1527846308,29,29
1527850111,27,27
1527853949,27,27
1527855868,26,26
1527857835,27,27
1527859702,27,27
1527861698,28,28
1527865468,29,29
1527867404,26,26
1527873083,24,24
1527875061,26,26
1527876972,25,25
1527878909,25,25
1527882732,25,25
1527884672,24,24
1527888491,22,22
1527890537,21,21
1527894545,20,20
1527896435,18,18
1527900306,18,18
1527902243,18,18
1527906076,18,18
1527907991,20,20
1527909921,19,19
1527916435,20,20
1527918674,20,20
1527921131,20,20
1527923312,20,20
1527923312,20,20
1527926021,20,20
1527928513,20,20
1527928513,20,20
1527930855,20,20
1527933070,19,19
1527933070,19,19
1527935212,19,19
1527935212,19,19
1527937868,19,19
1527937868,19,19
1527942640,18,18
1527942640,18,18
1527944965,18,18
1527944965,18,18
1527947205,16,16
1527947205,16,16
1527949062,16,16
1527949062,16,16
1527951388,16,16
1527951388,16,16
1527953715,17,17
1527953715,17,17
1527956403,18,18
1527956403,18,18
1527958693,19,19
1527961192,19,19
1527961192,19,19
1527963555,21,21
1527963555,21,21
1527965962,21,21
1527965962,21,21
1527968417,22,22
1527968417,22,22
1527970736,20,20
1527970736,20,20
1527974853,21,21
1527974853,21,21
1527977284,22,22
1527977284,22,22
1527981994,24,24
1527984234,24,24
