DateTime,AddedIPs,RemovedIPs
1529813796,3,0
1529817631,0,1
1529819554,7,0
1529821470,4,0
1529833003,1,0
1529834900,0,1
1529840656,1,0
1529842590,0,1
1529857958,1,1
1529868026,4,0
1529869957,31,1
1529871811,20,0
1529879535,1,0
1529885319,0,1
1529887229,1,14
1529889138,0,1
1529896819,2,0
1529898742,2,1
1529900663,0,2
1529906505,0,8
1529908339,0,1
1529919871,0,1
1529925630,0,1
1529939065,1,0
1529940972,1,0
1529944827,0,1
1529946742,1,0
1529954426,0,4
1529956337,0,46
1529958681,0,22
1529962584,12,0
1529964491,4,0
1529966408,0,1
1529974343,1,1
1529982287,0,2
1529984182,0,1
1529986127,0,1
1530003245,1,0
1530021387,2,0
1530027137,0,2
1530030975,2,0
1530032920,0,1
1530048255,2,6
1530050186,0,10
1530052340,1,0
1530056188,5,0
1530058108,24,0
1530060031,0,1
1530061944,22,0
1530063875,39,0
1530065786,15,0
1530088820,0,1
1530098419,1,0
1530100342,1,0
1530106096,0,2
1530117616,0,2
1530133305,0,2
1530139443,0,1
1530143301,0,29
1530145234,1,0
1530149070,1,53
1530150977,0,23
1530166345,1,0
1530185796,0,2
1530195396,1,0
1530222970,45,0
1530233457,0,1
1530239479,2,0
1530251546,11,0
1530254661,0,1
1530258509,35,0
1530260420,70,0
1530262370,116,0
1530264267,1,0
1530266192,1,0
1530275802,1,0
1530281543,0,1
1530308653,0,10
1530314423,1,0
1530324051,1,0
1530325957,0,2
1530337712,0,47
1530345378,0,37
1530347312,0,94
1530349282,0,91
1530353077,0,1
1530357142,1,0
1530360986,1,1
1530364971,1,0
1530382575,1,0
1530400649,0,1
1530404756,1,0
1530410552,0,1
1530414679,1,0
1530416663,1,0
1530420510,1,0
1530441613,1,0
1530443551,0,1
1530447531,0,1
1530451476,33175,0
1530455293,0,33176
1530470717,0,1
1530491794,7,1
1530493741,29,0
1530495618,6,0
1530497612,4,0
1530501391,0,1
1530503298,0,1
1530507398,0,1
1530521724,1,0
1530528099,0,1
1530549373,1,0
1530564787,19,0
1530566925,8,0
1530576778,1,0
1530578657,0,7
1530580657,0,29
1530584654,1,7
1530594751,1,0
1530608195,0,1
1530612109,1,0
1530618254,1,0
1530626177,3,0
1530628115,1,0
1530636410,0,1
1530649833,0,19
1530651763,0,11
1530663865,0,1
1530665789,1,0
1530669690,1,0
1530671607,0,1
1530681378,0,1
1530685218,7,0
1530698687,1,1
1530703224,0,1
1530707057,4,0
1530713122,0,3
1530715865,4,1
1530717890,1,0
1530725563,3,0
1530735621,1,0
1530737549,22,0
1530747171,1,0
1530752904,0,1
1530756737,0,1
1530758674,1,0
1530768496,1,0
1530786744,2,1
1530788676,1,0
1530792754,0,3
1530794661,0,1
1530796597,2,0
1530802361,0,5
1530806202,1,0
1530810994,0,3
1530814824,2,0
1530822756,51,2
1530825320,4,20
1530833256,0,1
1530839074,2,0
1530844838,0,1
1530854436,0,1
1530856374,1,0
1530874112,5,3
1530877968,1,0
1530881787,2,8
1530884582,5,2
1530892906,1,1
1530900531,1,0
1530902433,0,2
1530908193,0,12
1530910100,0,40
1530912051,0,3
1530925495,0,2
1530927401,1,0
1530938909,2,0
1530942989,0,1
1530944916,1,0
1530950700,1,0
1530956425,2,0
1530958599,1,1
1530960500,2,4
1530964383,0,1
1530968195,0,2
1530970096,0,4
1530972099,0,1
1530979734,0,1
1530987391,0,1
1530996981,21,0
1530998894,19,0
1531000912,24,0
1531008984,1,0
1531014976,0,1
1531025782,3,2
1531030602,1,1
1531038273,0,1
1531042098,1,0
1531044095,4,3
1531048129,0,2
1531050033,1,0
1531057700,1,0
1531062279,1,0
1531070307,1,0
1531078345,1,0
1531084344,0,40
1531088439,0,24
1531092267,1,0
1531094516,0,1
1531111494,1,3
1531113409,1,0
1531117224,0,1
1531128741,0,1
1531130675,0,4
1531134523,1,0
1531136416,0,1
1531144411,0,1
1531146277,1,0
1531148197,0,1
1531153950,1,0
1531155881,1,0
1531157839,1,1
1531159896,45,0
1531161876,25,0
1531163796,0,1
1531166001,1,0
1531167881,1,0
1531179623,0,1
1531181538,1,0
1531185438,1,0
1531198578,0,1
1531200495,3,1
1531202502,1,0
1531215855,1,0
1531217798,1,0
1531219696,1,1
1531221629,2,0
1531223612,1,0
1531229566,1,0
1531231473,1,0
1531233390,0,1
1531239197,1,1
1531241086,1,0
1531242992,0,2
1531244900,2,0
1531246816,0,69
1531248750,0,1
1531250727,0,1
1531254506,0,1
1531258354,1,0
1531262197,1,0
1531264129,1,0
1531267969,0,1
1531271784,0,1
1531277600,1,0
1531279455,5,0
1531285729,0,3
1531289547,0,1
1531299154,1,0
1531301066,0,1
1531304900,0,2
1531308772,0,2
1531310688,0,1
1531312590,2,0
1531316438,1,2
1531318366,4,0
1531320305,9,0
1531326405,1,1
1531328488,2,1
1531332260,0,2
1531342110,1,0
1531344030,0,1
1531348105,0,1
1531351940,0,1
1531363466,0,1
1531365403,0,5
1531369214,2,0
1531382676,1,0
1531386523,1,1
1531396108,1,0
1531398033,0,1
1531399998,0,1
1531401881,0,1
1531403786,0,4
1531405698,0,9
1531407667,2,0
1531413413,0,1
1531415291,0,2
1531427054,0,1
1531438090,1,0
1531440100,1,0
1531453461,2,0
1531455635,0,2
1531468361,0,1
1531472195,0,1
1531479884,1,0
1531483734,0,1
1531485632,1,0
1531493549,1,1
1531495471,0,1
1531497369,1,0
1531499291,1,0
1531516593,29360,9
1531520429,206,0
1531522385,1,0
1531531060,3,0
1531542594,1,0
1531545410,1,0
1531574962,2,0
1531577874,1,0
1531581651,1,0
1531591996,1,0
1531610225,1,0
1531612135,4,0
1531616006,9,0
1531620348,5,0
1531622495,1,0
1531648402,1,0
1531669775,1,0
1531671910,6,0
1531675256,12,0
1531683443,1,0
1531685378,1,0
1531748923,1,0
1531752792,1,0
1531758771,1,0
1531794317,1,0
1531807022,4,0
1531812168,1,0
1531828623,1,0
1531865566,0,29620
1531871300,2,0
1531873216,1,0
1531880914,0,1
1531886658,2,0
1531892443,0,4
1531894363,3,1
1531900106,1,1
1531903940,1,0
1531907796,1,0
1531915468,0,1
1531942628,1,0
1531944526,0,1
1531954115,1,0
1531957984,0,2
1531959860,0,1
1531973333,0,2
1531977419,4,0
1531979307,0,2
1531981269,0,1
1531985295,0,1
1531989169,1,1
1531992995,0,1
1531994916,2,0
1532002603,3,0
1532006417,1,0
1532010289,2,0
1532012186,1,0
1532014100,2,0
1532019907,2,0
1532025631,1,0
1532027455,1,0
1532029455,0,1
1532037404,1,0
1532041233,0,1
1532045342,1,0
1532047229,1,0
1532053219,1,0
1532057065,2,0
1532059009,2,0
1532061153,2,0
1532063090,0,3
1532064990,0,1
1532076504,1,1
1532078483,1,0
1532080359,0,1
1532082296,0,1
1532088064,1,3
1532089957,1,0
1532091882,1,1
1532095718,1,2
1532097626,1,0
1532099560,42,1
1532101466,0,2
1532103388,2,0
1532105322,1,1
1532107241,0,1
1532109163,3,0
1532111062,21,1
1532112997,0,1
1532116885,1,0
1532118764,2,0
1532120675,1,0
1532124510,0,1
1532126425,1,0
1532128594,3,0
1532132424,2,1
1532134345,1,1
1532140101,0,1
1532142274,0,2
1532146356,0,2
1532148334,0,2
1532163915,0,1
1532165787,0,1
1532175458,0,1
1532177306,0,1
1532179276,0,1
1532181148,0,1
1532184983,0,41
1532186976,0,2
1532190837,0,2
1532192669,0,1
1532194638,1,3
1532196513,0,5
1532198474,0,16
1532202739,0,1
1532204655,0,1
1532206602,0,2
1532212356,0,1
1532214526,0,3
1532218364,0,2
1532222202,0,1
1532231796,21,0
1532237807,2,0
1532245462,1,0
1532247395,1,0
1532251477,4,0
1532253380,1,0
1532257464,1,0
1532261311,1,0
1532268981,4,0
1532270918,2,0
1532280745,2,1
1532282681,3,0
1532284572,2,0
1532286517,2,0
1532288425,21,0
1532302119,1,0
1532313634,2,0
1532315563,2,0
1532317500,2,21
1532321302,1,0
1532323225,0,1
1532325138,0,1
1532330898,2,1
1532332850,0,1
1532334755,1,0
1532336658,0,1
1532338584,0,3
1532341425,0,1
1532343374,0,1
1532347270,0,1
1532349141,1,0
1532355155,0,4
1532359002,0,2
1532366898,0,2
1532368888,0,3
1532370764,0,2
1532372657,20,2
1532374578,13,21
1532376687,5,0
1532379763,1,0
1532381772,1,0
1532383979,2,0
1532387799,0,1
1532389712,1,0
1532391636,2,0
1532399327,1,0
1532401275,0,2
1532403148,2,3
1532405063,0,1
1532407009,0,1
1532408921,1,0
1532416822,1,1
1532418766,1,1
1532422892,0,1
1532436258,0,1
1532449977,33,0
1532451866,1,0
1532459668,0,5
1532461723,9,10
1532465572,2,1
1532467457,0,1
1532469394,1,2
1532471299,1,0
1532475150,1,0
1532477090,0,3
1532478977,1,0
1532480930,2,0
1532484770,0,1
1532486740,1,0
1532488584,2,1
1532490501,0,1
1532492430,5,0
1532496265,0,1
1532498485,1,0
1532502259,0,1
1532504183,0,1
1532506114,1,0
1532509954,1,0
1532511869,1,0
