DateTime,Entries,UniqueIPs
1531455636,1331,1331
1531457554,1325,1325
1531459487,1325,1325
1531462609,1324,1324
1531464500,1316,1316
1531466432,1321,1321
1531468362,1320,1320
1531470263,1317,1317
1531472195,1322,1322
1531474110,1321,1321
1531476099,1321,1321
1531477948,1291,1291
1531479885,2222,2222
1531481809,2225,2225
1531483735,2225,2225
1531485632,2229,2229
1531487626,2233,2233
1531489469,2231,2231
1531491652,2297,2297
1531493550,1826,1826
1531495472,1828,1828
1531497369,1824,1824
1531499292,1824,1824
1531501304,1828,1828
1531503170,1829,1829
1531505072,1833,1833
1531506999,1843,1843
1531508932,1849,1849
1531510816,1850,1850
1531512735,1849,1849
1531514672,1848,1848
1531516596,66441,66441
1531520432,67117,67117
1531522388,67118,67118
1531526211,67119,67119
1531528152,67121,67121
1531531063,67125,67125
1531532972,67131,67131
1531534864,67134,67134
1531536812,67136,67136
1531538724,67137,67137
1531540641,67140,67140
1531542597,67145,67145
1531545413,67146,67146
1531547340,67147,67147
1531551248,67151,67151
1531555036,67153,67153
1531556953,67154,67154
1531559051,67156,67156
1531560988,67161,67161
1531565083,67162,67162
1531567052,67164,67164
1531571111,67167,67167
1531573050,67168,67168
1531574965,67170,67170
1531577877,67172,67172
1531581654,67173,67173
1531583835,67174,67174
1531585999,67177,67177
1531588161,67179,67179
1531590080,67180,67180
1531591999,67182,67182
1531593943,67183,67183
1531595848,67185,67185
1531597740,67187,67187
1531599659,67232,67232
1531601634,67234,67234
1531603503,67238,67238
1531605429,67239,67239
1531610228,67240,67240
1531614057,67241,67241
1531620351,67244,67244
1531624391,67245,67245
1531626353,67247,67247
1531628467,67249,67249
1531630423,67268,67268
1531632535,67270,67270
1531636843,67272,67272
1531638810,67274,67274
1531640702,67276,67276
1531642625,67277,67277
1531644601,67278,67278
1531646473,67279,67279
1531648405,67283,67283
1531650317,67285,67285
1531652230,67287,67287
1531654269,67291,67291
1531656262,67294,67294
1531658197,67299,67299
1531660122,67302,67302
1531662048,67303,67303
1531663962,67309,67309
1531665922,67312,67312
1531667821,67315,67315
1531669778,67318,67318
1531675259,67320,67320
1531677352,67322,67322
1531679341,67328,67328
1531681624,67329,67329
1531685382,67330,67330
1531687282,67335,67335
1531689577,67339,67339
1531691830,67344,67344
1531693735,67347,67347
1531696641,67365,67365
1531698550,67367,67367
1531700468,67369,67369
1531708138,67370,67370
1531711560,67373,67373
1531715337,67375,67375
1531717446,67376,67376
1531719644,67382,67382
1531721570,67384,67384
1531723708,67388,67388
1531725622,67390,67390
1531727570,67391,67391
1531729750,67392,67392
1531733099,67394,67394
1531735027,67395,67395
1531736943,67437,67437
1531745098,67439,67439
1531747024,67440,67440
1531748926,67442,67442
1531750856,67445,67445
1531758773,67447,67447
1531760721,67448,67448
1531762861,67449,67449
1531764748,67457,67457
1531766694,67458,67458
1531768637,67460,67460
1531770535,67461,67461
1531775348,67462,67462
1531777505,67463,67463
1531779647,67466,67466
1531783515,67482,67482
1531785411,67484,67484
1531787315,67485,67485
1531790261,67488,67488
1531792378,67490,67490
1531794321,67492,67492
1531796207,67493,67493
1531798179,67496,67496
1531801246,67500,67500
1531803163,67504,67504
1531805108,67506,67506
1531808915,67507,67507
1531812170,67510,67510
1531814197,67511,67511
1531816125,67515,67515
1531819029,67518,67518
1531820928,67519,67519
1531822890,67520,67520
1531824784,67521,67521
1531826711,67525,67525
1531828626,67526,67526
1531830520,67527,67527
1531837496,67528,67528
1531841336,67530,67530
1531844246,67531,67531
1531846133,67532,67532
1531848058,67533,67533
1531851877,67535,67535
1531853818,67540,67540
1531859818,67541,67541
1531861733,67541,67541
1531863667,67541,67541
1531865567,4627,4627
1531867466,4741,4741
1531869383,5230,5230
1531871301,5222,5222
1531873217,5222,5222
1531875156,5225,5225
1531877074,5233,5233
1531878974,5232,5232
1531880915,5234,5234
1531882839,5238,5238
1531884761,5241,5241
1531886659,5239,5239
1531888598,5238,5238
1531890506,5237,5237
1531892444,5237,5237
1531894364,5236,5236
1531896271,5238,5238
1531898200,5240,5240
1531900107,5240,5240
1531902040,5238,5238
1531903941,5235,5235
1531905858,5238,5238
1531907796,5236,5236
1531909693,5237,5237
1531911701,5236,5236
1531913577,5171,5171
1531915469,5172,5172
1531917375,5180,5180
1531919331,5180,5180
1531921215,5181,5181
1531923168,5186,5186
1531925057,5188,5188
1531927008,5187,5187
1531928891,5185,5185
1531930839,5188,5188
1531932754,5188,5188
1531934697,5191,5191
1531936691,5195,5195
1531938513,5195,5195
1531940445,5201,5201
1531942628,5207,5207
1531944527,5210,5210
1531946442,5204,5204
1531948357,5356,5356
1531950345,5333,5333
1531952178,4511,4511
1531954118,2169,2169
1531956055,1095,1095
1531957984,1276,1276
1531959861,2465,2465
1531961795,2471,2471
1531963703,2468,2468
1531965692,2468,2468
1531967574,2474,2474
1531969479,2473,2473
1531971389,2470,2470
1531973334,2473,2473
1531975489,2470,2470
1531977420,2471,2471
1531979308,2473,2473
1531981269,2474,2474
1531983336,2474,2474
1531985295,2475,2475
1531987275,2476,2476
1531989170,2478,2478
1531991107,2475,2475
1531992996,2479,2479
1531994921,2477,2477
1531996869,2479,2479
1531998754,2477,2477
1532000687,2481,2481
1532002604,2475,2475
1532004526,2469,2469
1532006417,2469,2469
1532008391,2472,2472
1532010290,2472,2472
1532012187,2473,2473
1532014101,2474,2474
1532016093,2475,2475
1532017948,2473,2473
1532019908,2470,2470
1532021786,2463,2463
1532023812,2451,2451
1532025632,2466,2466
1532027455,2474,2474
1532029456,2473,2473
1532031392,2501,2501
1532033293,2468,2468
1532035480,2468,2468
1532037405,2471,2471
1532039325,2471,2471
1532041236,2454,2454
1532043073,2451,2451
1532045343,1220,1220
1532047230,1096,1096
1532049412,1096,1096
1532051328,1099,1099
1532053220,1100,1100
1532055207,1098,1098
1532057065,1100,1100
1532059010,1101,1101
1532061154,1105,1105
1532063091,1088,1088
1532064990,1089,1089
1532066914,1089,1089
1532068821,797,797
1532070766,795,795
1532072672,795,795
1532074587,794,794
1532076505,797,797
1532078484,795,795
1532080360,794,794
1532082296,791,791
1532084199,795,795
1532086127,792,792
1532088065,798,798
1532089958,799,799
1532091883,797,797
1532093784,799,799
1532095721,799,799
1532097627,796,796
1532099561,798,798
1532101467,798,798
1532103389,799,799
1532105322,802,802
1532107242,851,851
1532109164,852,852
1532111063,837,837
1532112998,833,833
1532114894,825,825
1532116886,833,833
1532118765,833,833
1532120675,845,845
1532122661,847,847
1532124511,850,850
1532126426,855,855
1532128595,863,863
1532130519,866,866
1532132425,871,871
1532134346,872,872
1532136276,875,875
1532138182,880,880
1532140102,882,882
1532142275,877,877
1532144239,883,883
1532146357,884,884
1532148335,886,886
1532150201,884,884
1532152137,881,881
1532154021,878,878
1532156049,881,881
1532157876,847,847
1532159831,830,830
1532161960,833,833
1532163915,835,835
1532165788,834,834
1532167742,834,834
1532169638,837,837
1532171597,837,837
1532173458,840,840
1532175458,841,841
1532177307,903,903
1532179277,905,905
1532181151,902,902
1532183125,1031,1031
1532184983,1037,1037
1532186977,1045,1045
1532188864,1051,1051
1532190837,1057,1057
1532192669,1030,1030
1532194638,1080,1080
1532196514,1084,1084
1532198475,1089,1089
1532200601,1085,1085
1532202740,1082,1082
1532204655,1093,1093
1532206602,1091,1091
1532208496,1130,1130
1532210433,1277,1277
1532212357,1250,1250
1532214527,1245,1245
1532216417,1265,1265
1532218368,1264,1264
1532220268,1262,1262
1532222203,1255,1255
1532224095,1252,1252
1532226040,1248,1248
1532227963,1247,1247
1532229856,1243,1243
1532231797,1236,1236
1532233696,1238,1238
1532235715,1233,1233
1532237808,1262,1262
1532239728,1261,1261
1532241624,1289,1289
1532243567,1292,1292
1532245463,1305,1305
1532247396,1383,1383
1532249540,1382,1382
1532251478,1380,1380
1532253380,1386,1386
1532255446,1387,1387
1532257464,1387,1387
1532259379,1383,1383
1532261312,1378,1378
1532263211,1319,1319
1532265147,1321,1321
1532267059,1321,1321
1532268981,1210,1210
1532270918,1200,1200
1532272825,1192,1192
1532274758,1191,1191
1532276679,1185,1185
1532278757,1184,1184
1532280745,1181,1181
1532282682,1180,1180
1532284575,1175,1175
1532286521,1170,1170
1532288425,1166,1166
1532290394,1162,1162
1532292295,1157,1157
1532294210,1157,1157
1532296119,998,998
1532298018,1000,1000
1532299950,1004,1004
1532302120,1051,1051
1532304030,1046,1046
1532305959,1049,1049
1532307875,1140,1140
1532309796,1140,1140
1532311768,1145,1145
1532313634,1486,1486
1532315564,2216,2216
1532317501,2217,2217
1532319394,2220,2220
1532321303,2224,2224
1532323226,2225,2225
1532325139,2205,2205
1532327115,2206,2206
1532329008,2201,2201
1532330898,2167,2167
1532332859,2160,2160
1532334756,2076,2076
1532336659,2070,2070
1532338585,2071,2071
1532341426,2065,2065
1532343375,2065,2065
1532345319,2063,2063
1532347270,2068,2068
1532349142,2072,2072
1532351076,2072,2072
1532352985,2026,2026
1532355155,2024,2024
1532357068,2088,2088
1532359002,2101,2101
1532360902,2098,2098
1532362850,2068,2068
1532364749,2071,2071
1532366899,2081,2081
1532368890,2232,2232
1532370765,2231,2231
1532372658,2237,2237
1532374579,2248,2248
1532376688,2252,2252
1532379764,2260,2260
1532381773,2240,2240
1532383979,2238,2238
1532385905,2272,2272
1532387799,2231,2231
1532389713,2210,2210
1532391637,2212,2212
1532393605,2131,2131
1532395500,2136,2136
1532397379,2134,2134
1532399328,2133,2133
1532401290,1051,1051
1532403148,1063,1063
1532405064,1066,1066
1532407009,1055,1055
1532408923,1058,1058
1532410824,1062,1062
1532412760,1445,1445
1532414659,2059,2059
1532416823,2679,2679
1532418766,2691,2691
1532420665,2691,2691
1532422893,2694,2694
1532424739,2983,2983
1532426677,2995,2995
1532428575,2996,2996
1532430522,3004,3004
1532432415,3002,3002
1532434373,3006,3006
1532436259,2999,2999
1532438201,3003,3003
1532440120,3008,3008
1532442263,2943,2943
1532444173,2976,2976
1532446103,2975,2975
1532448093,2976,2976
1532449978,2978,2978
1532451867,2975,2975
1532453793,2805,2805
1532455715,2769,2769
1532457619,2831,2831
1532459668,2825,2825
1532461724,2960,2960
1532463612,5805,5805
1532465573,7703,7703
1532467458,8868,8868
1532469395,8872,8872
1532471300,8867,8867
1532473311,8869,8869
1532475151,8867,8867
1532477091,8866,8866
1532478978,8867,8867
1532480931,8864,8864
1532482834,8864,8864
1532484771,8868,8868
1532486741,8966,8966
1532488585,8965,8965
1532490502,8961,8961
1532492431,8962,8962
1532494369,8962,8962
1532496266,8945,8945
1532498486,8811,8811
1532500444,8279,8279
1532502260,7652,7652
1532504184,7468,7468
1532506115,7465,7465
1532508038,7466,7466
1532509955,7383,7383
1532511870,7391,7391
1532513785,7561,7561
