DateTime,AddedIPs,RemovedIPs
1529518603,1,0
1529522438,1,0
1529526500,1,0
1529561296,1,0
1529569237,0,1
1529574982,1,0
1529587126,1,3
1529589137,1,0
1529591058,1,0
1529604747,0,1
1529608590,0,1
1529610507,0,1
1529612435,1,1
1529614383,2,0
1529621731,2,0
1529648660,0,1
1529660681,0,1
1529662585,0,1
1529674101,1,1
1529676102,0,1
1529689455,1,0
1529691396,1,0
1529699089,0,1
1529700972,0,2
1529702910,1,0
1529706740,2,2
1529708678,1,0
1529722114,1,0
1529728102,1,0
1529730104,1,0
1529741548,1,0
1529756902,1,0
1529760740,0,1
1529770838,1,0
1529774656,0,1
1529776596,0,1
1529778502,2,0
1529792192,0,1
1529794704,0,1
1529809960,1,1
1529817632,1,1
1529827292,0,1
1529833005,0,1
1529838750,0,1
1529842592,0,1
1529844400,1,0
1529857960,1,1
1529860124,1,0
1529864210,1,2
1529866093,0,1
1529873772,1,0
1529881470,0,1
1529883389,1,0
1529896821,0,1
1529898744,1,0
1529900665,1,0
1529902574,0,1
1529910275,1,0
1529931376,0,1
1529937143,2,0
1529940974,1,0
1529944829,0,1
1529946744,0,1
1529950591,0,1
1529960656,0,1
1529962586,2,0
1529970264,0,1
1529984184,1,1
1529986129,1,0
1529995704,0,1
1530003247,1,0
1530020414,0,1
1530024270,0,1
1530026198,1,0
1530028098,0,1
1530030030,1,0
1530031938,2,0
1530033856,1,0
1530039674,0,1
1530041553,1,0
1530049465,0,1
1530051373,1,0
1530061015,1,1
1530065787,1,0
1530069634,0,1
1530075379,1,0
1530083072,1,0
1530090745,0,1
1530108097,1,0
1530111865,1,1
1530117617,0,2
1530119536,1,2
1530127220,1,0
1530129162,0,1
1530131303,1,0
1530137072,0,1
1530147140,0,1
1530149072,1,0
1530150978,0,1
1530160581,0,1
1530162507,1,0
1530189644,1,0
1530193460,0,1
1530205296,0,1
1530212907,0,1
1530217120,0,1
1530219150,1,0
1530226907,1,0
1530233458,1,0
1530235613,0,1
1530250338,0,1
1530256582,0,1
1530264268,1,1
1530277711,0,1
1530288521,1,1
1530290427,1,0
1530292335,1,0
1530294255,1,0
1530296808,2,0
1530304834,0,1
1530306743,1,0
1530310601,1,0
1530312498,1,1
1530320189,0,1
1530347313,1,0
1530349304,0,1
1530376812,0,1
1530378753,2,1
1530380655,1,2
1530394347,0,1
1530396265,0,1
1530398575,0,1
1530400651,1,0
1530428182,2,0
1530433981,0,2
1530441615,1,0
1530451533,6056,0
1530455538,0,6056
1530461333,1,0
1530465159,0,2
1530467122,0,1
1530479064,1,0
1530486746,0,1
1530512194,1,0
1530514101,0,2
1530516028,1,0
1530523702,1,0
1530525695,0,1
1530528100,0,1
1530547473,1,1
1530551295,1,0
1530553228,3,0
1530562811,1,0
1530566926,1,1
1530569019,1,0
1530576779,1,0
1530582771,1,1
1530584655,1,0
1530598579,1,1
1530602419,0,1
1530606274,1,0
1530608196,1,0
1530610099,0,1
1530624273,1,0
1530633809,0,1
1530638335,0,1
1530646037,0,1
1530654124,0,1
1530655952,0,1
1530663867,0,1
1530665791,1,0
1530669697,0,1
1530671608,0,1
1530689062,1,1
1530694912,0,1
1530696756,0,1
1530708980,0,1
1530710990,1,1
1530721705,2,0
1530723685,0,1
1530725565,1,0
