DateTime,Entries,UniqueIPs
1531299159,110,110
1531301070,108,108
1531303001,107,107
1531304906,106,106
1531306905,105,105
1531308778,104,104
1531310693,102,102
1531312595,101,101
1531314517,101,101
1531316443,97,97
1531318370,115,115
1531320310,115,115
1531322196,113,113
1531326409,113,113
1531328497,110,110
1531330351,108,108
1531332264,108,108
1531334432,106,106
1531338283,106,106
1531340199,105,105
1531342114,104,104
1531344036,105,105
1531345960,104,104
1531350100,101,101
1531351945,100,100
1531353878,100,100
1531355791,96,96
1531357724,99,99
1531359617,101,101
1531361560,99,99
1531363469,100,100
1531365406,101,101
1531367302,97,97
1531369219,97,97
1531371160,97,97
1531373056,95,95
1531374996,95,95
1531376901,91,91
1531378894,91,91
1531380747,86,86
1531382680,85,85
1531384591,84,84
1531386527,80,80
1531388417,82,82
1531390357,83,83
1531392301,80,80
1531394192,80,80
1531396112,77,77
1531398038,81,81
1531400003,79,79
1531401886,79,79
1531403790,80,80
1531405702,63,63
1531407696,63,63
1531409557,63,63
1531413417,76,76
1531415294,78,78
1531417229,81,81
1531419139,82,82
1531421053,81,81
1531427058,82,82
1531429011,85,85
1531430920,82,82
1531434405,85,85
1531436438,84,84
1531438336,84,84
1531440511,85,85
1531442459,83,83
1531444348,84,84
1531446276,85,85
1531448177,89,89
1531451308,91,91
1531453213,96,96
1531455154,102,102
1531457101,103,103
1531459009,102,102
1531461159,103,103
1531463059,103,103
1531464990,101,101
1531466895,102,102
1531468896,100,100
1531470763,101,101
1531472729,104,104
1531474593,102,102
1531476531,100,100
1531478440,101,101
1531480432,100,100
1531482276,100,100
1531484185,98,98
1531486097,100,100
1531488032,100,100
1531490185,103,103
1531492091,104,104
1531493914,104,104
1531495760,103,103
1531498607,101,101
1531500496,94,94
1531504335,90,90
1531508169,92,92
1531510819,92,92
1531512738,94,94
1531514675,96,96
1531516624,100520,100520
1531520471,101050,101050
1531524297,101051,101051
1531526253,101053,101053
1531528181,101054,101054
1531530403,101056,101056
1531532443,101058,101058
1531534368,101060,101060
1531538210,101061,101061
1531543980,101063,101063
1531547799,101064,101064
1531549732,101065,101065
1531554513,101066,101066
1531556438,101068,101068
1531558379,101069,101069
1531560525,101070,101070
1531563634,101071,101071
1531565551,101072,101072
1531570614,101073,101073
1531574462,101074,101074
1531578265,101075,101075
1531580181,101077,101077
1531582352,101078,101078
1531586591,101079,101079
1531588598,101080,101080
1531590567,101082,101082
1531594375,101085,101085
1531596328,101086,101086
1531605943,101089,101089
1531607827,101090,101090
1531609727,101091,101091
1531611642,101092,101092
1531613595,101101,101101
1531615482,101102,101102
1531617643,101103,101103
1531619802,101107,101107
1531621960,101108,101108
1531625802,101109,101109
1531627965,101111,101111
1531632047,101112,101112
1531638317,101113,101113
1531644022,101114,101114
1531649799,101115,101115
1531651707,101116,101116
1531657729,101118,101118
1531664435,101120,101120
1531666387,101124,101124
1531673582,101165,101165
1531677927,101167,101167
1531679808,101169,101169
1531687311,101170,101170
1531689607,101171,101171
1531693765,101172,101172
1531700000,101175,101175
1531703802,101177,101177
1531705724,101178,101178
1531707659,101179,101179
1531709562,101180,101180
1531717467,101182,101182
1531719660,101183,101183
1531727589,101186,101186
1531729769,101188,101188
1531736961,101189,101189
1531741030,101190,101190
1531743204,101194,101194
1531748944,101195,101195
1531754708,101196,101196
1531756629,101197,101197
1531758791,101198,101198
1531764767,101199,101199
1531766723,101200,101200
1531777524,101201,101201
1531787335,101202,101202
1531790279,101204,101204
1531794339,101205,101205
1531796238,101208,101208
1531801263,101210,101210
1531807043,101211,101211
1531808935,101212,101212
1531813006,101213,101213
1531814944,101214,101214
1531819060,101215,101215
1531820955,101218,101218
1531822920,101221,101221
1531824815,101222,101222
1531833681,101223,101223
1531835582,101224,101224
1531841365,101228,101228
1531846164,101229,101229
1531856025,101231,101231
1531857956,101232,101232
1531863696,101233,101233
1531865570,73,73
1531867469,74,74
1531869386,75,75
1531871304,76,76
1531873222,78,78
1531875159,77,77
1531877080,79,79
1531878977,79,79
1531880918,71,71
1531882844,69,69
1531884764,71,71
1531886662,71,71
1531888603,73,73
1531892448,74,74
1531894368,73,73
1531898205,73,73
1531900110,73,73
1531902043,73,73
1531903944,143,143
1531905861,142,142
1531907800,139,139
1531909696,139,139
1531911705,138,138
1531913580,138,138
1531919338,139,139
1531921218,137,137
1531923173,137,137
1531925060,136,136
1531927014,137,137
1531928895,132,132
1531932757,132,132
1531934701,133,133
1531936695,132,132
1531938516,122,122
1531940485,121,121
1531942631,120,120
1531944530,123,123
1531946445,124,124
1531948360,125,125
1531950348,124,124
1531952181,125,125
1531954123,126,126
1531956060,125,125
1531957988,147,147
1531959864,1105,1105
1531961799,2902,2902
1531963707,3379,3379
1531965698,3377,3377
1531967580,3381,3381
1531969485,3381,3381
1531971394,3379,3379
1531973341,3380,3380
1531975493,3377,3377
1531977424,3377,3377
1531979311,3375,3375
1531981275,3376,3376
1531983341,3378,3378
1531985299,3379,3379
1531987286,3381,3381
1531989175,3382,3382
1531991111,3330,3330
1531993002,3331,3331
1531994928,3329,3329
1531996874,3330,3330
1531998759,3332,3332
1532000692,3331,3331
1532004530,3330,3330
1532006424,3330,3330
1532010295,3329,3329
1532012191,3331,3331
1532014104,3330,3330
1532016097,3332,3332
1532017953,3333,3333
1532019912,3332,3332
1532021790,3335,3335
1532023817,3338,3338
1532025635,3337,3337
1532027459,3338,3338
1532029459,3337,3337
1532031398,3337,3337
1532033298,3337,3337
1532035484,3338,3338
1532037411,3340,3340
1532039328,3341,3341
1532041246,3341,3341
1532043078,3339,3339
1532045347,2923,2923
1532047237,1576,1576
1532049416,63,63
1532051334,63,63
1532053224,62,62
1532055210,59,59
1532057068,58,58
1532059013,55,55
1532061163,58,58
1532063094,57,57
1532064994,58,58
1532066934,57,57
1532068824,57,57
1532070769,54,54
1532074590,54,54
1532076510,54,54
1532078488,55,55
1532080365,56,56
1532082302,58,58
1532084202,58,58
1532086130,59,59
