DateTime,AddedIPs,RemovedIPs
1529437214,1,0
1529439138,0,2
1529442975,1,0
1529458579,0,1
1529460519,0,1
1529502995,0,1
1529508762,1,0
1529518606,0,1
1529524584,0,1
1529530372,0,1
1529571177,1,0
1529579232,1,0
1529581217,1,0
1529585061,1,0
1529594898,1,1
1529596900,1,0
1529600922,1,0
1529612438,1,0
1529656583,0,1
1529666535,0,2
1529672192,0,1
1529681793,0,2
1529687562,0,1
1529697138,0,1
1529703383,1,0
1529750197,1,0
1529765557,1,0
1529767475,1,0
1529771303,2,0
1529784765,1,0
1529786655,1,0
1529790494,0,1
1529836839,0,1
1529852178,0,1
1529854111,0,1
1529857963,0,2
1529871816,0,1
1529879068,2,1
1529884961,1,0
1529896595,2,0
1529898505,5,0
1529900423,3,0
1529916988,1,0
1529918900,1,0
1529947714,2,0
1529961377,1,0
1529967388,0,2
1529971322,0,1
1529975076,1,0
1529984677,0,7
1529986582,0,2
1529988498,0,1
1530002198,1,1
1530006034,0,1
1530011791,3,0
1530032923,0,1
1530034819,0,1
1530048259,0,1
1530054263,1,0
1530060035,0,1
1530088826,0,1
1530098425,0,3
1530102295,1,0
1530139448,0,1
1530175946,1,0
1530185801,1,0
1530187738,1,1
1530189647,1,0
1530209085,1,0
1530210999,1,0
1530214822,1,0
1530221100,1,0
1530228746,1,0
1530233462,1,0
1530248503,1,0
1530262374,0,1
1530264271,1,0
1530271989,0,1
1530273917,0,1
1530275806,0,1
1530281548,1,0
1530294258,1,1
1530300992,0,2
1530306746,0,1
1530314427,0,1
1530318255,1,0
1530320191,0,1
1530335784,1,1
1530351145,0,1
1530354982,1,0
1530360991,1,0
1530364976,2,0
1530369143,0,1
1530372991,2,0
1530380658,0,1
1530390276,1,0
1530392173,1,0
1530404760,0,1
1530410556,1,0
1530412595,1,0
1530422423,0,1
1530428185,1,0
1530433984,1,0
1530439725,0,1
1530447535,1,1
1530449541,0,1
1530453877,0,1
1530457704,0,1
1530460220,1,1
1530465863,1,0
1530469700,1,0
1530477390,0,1
1530479301,0,1
1530481213,1,0
1530485055,1,0
1530496590,0,1
1530498519,0,1
1530516032,0,1
1530519879,0,1
1530521729,1,0
1530531859,1,0
1530533792,0,1
1530535708,1,0
1530541721,1,0
1530543700,1,0
1530545548,0,1
1530551297,0,1
1530553231,2,0
1530555138,1,1
1530557053,1,0
1530560898,1,0
1530566929,1,1
1530569021,1,0
1530571006,1,1
1530572917,1,0
1530584658,1,0
1530586911,1,0
1530600519,1,0
1530608199,0,1
1530614519,1,0
1530618257,4,1
1530622345,0,1
1530628119,0,1
1530630096,0,1
1530633812,1,0
1530642269,0,2
1530647923,0,1
1530654128,0,1
1530655955,0,1
1530657860,0,1
1530659789,0,1
1530671612,0,1
1530673721,0,1
1530687136,0,1
1530690986,1,0
1530692924,2,0
1530694915,1,0
1530701368,0,1
1530703229,0,2
1530705144,0,2
1530708984,1,0
1530713128,2,0
1530719799,2,1
1530729895,1,0
1530737554,1,0
1530739510,1,0
1530774295,0,1
1530776185,0,1
1530778120,0,2
1530780024,0,1
1530781946,0,1
1530785745,1,0
1530795695,0,1
1530797565,1,0
1530799474,0,2
1530805241,0,2
1530807195,1,0
1530811000,1,0
1530816745,0,1
1530820595,1,0
1530825327,0,2
1530840997,1,0
1530871966,1,1
1530884588,1,1
1530892913,0,1
1530896715,0,1
1530904489,1,0
1530906306,0,1
1530913951,1,0
1530923568,1,0
1530925500,1,0
1530927406,1,1
1530941075,2,0
1530948779,1,0
1530954510,1,0
1530958604,0,1
1530972108,0,1
1530985522,1,0
1530991221,0,1
1531000927,0,1
1531002765,4,0
1531011170,0,2
1531013093,0,1
1531022691,1,0
1531026766,0,2
1531036362,0,1
1531040199,0,1
1531071378,0,1
1531079308,1,0
1531081109,2,0
1531083157,2,0
1531085049,4,0
1531088445,5,4
1531090349,2,0
1531092271,2,0
1531094522,3,0
1531096365,3,0
1531098286,2,0
1531100422,4,0
1531102343,3,0
1531104621,2,0
1531106437,1,0
1531108356,3,0
1531110510,1,1
1531112504,1,0
1531114349,3,0
1531116282,3,0
1531118189,1,0
1531120122,1,0
1531123941,1,0
1531131714,1,0
1531137386,1,0
1531141495,2,0
1531143381,2,0
1531147233,2,0
1531149174,1,0
1531152990,3,0
1531156823,4,0
1531158749,2,0
1531164514,1,1
1531166496,1,0
1531169411,1,4
1531171221,0,4
1531173153,1,4
1531175072,1,1
1531177019,0,2
1531179160,0,3
1531181066,0,2
1531182978,1,3
1531184934,0,2
1531186854,0,4
1531188797,0,3
1531190694,1,2
1531192597,0,1
1531194514,0,3
1531196429,0,1
1531198583,0,1
1531200499,0,3
1531202506,0,3
1531204363,1,0
1531206267,2,2
1531210109,0,1
1531215859,1,0
1531217802,0,1
1531219700,1,0
1531223617,0,1
1531227376,0,1
1531229570,0,3
1531233394,0,2
1531235315,0,1
1531239202,0,3
1531242997,0,2
1531244904,0,4
1531250732,0,1
1531252622,0,1
1531254511,0,1
1531258358,1,0
1531260290,0,1
1531262201,0,1
1531269860,0,1
1531275636,1,0
1531277606,0,1
1531287687,1,0
1531289552,0,1
1531291486,0,1
1531293420,0,1
1531297236,1,0
1531303002,0,1
1531304907,0,1
1531316444,1,0
1531342115,1,0
1531344037,0,1
1531350101,3,0
1531353879,1,0
1531355792,1,0
1531357725,2,0
1531361561,0,1
1531365407,2,0
1531373057,0,1
1531382680,2,0
1531384592,0,1
1531401886,0,1
1531429012,0,1
1531437371,0,3
1531441206,0,1
1531443135,0,1
1531445049,0,2
1531450873,0,1
1531452751,0,1
1531462612,1,0
1531464503,3,0
1531468365,0,1
1531470266,1,1
1531483738,1,0
1531497373,1,0
1531514675,1,0
1531516635,3821,8
1531520484,108,0
1531522429,1,0
1531547810,1,0
1531552602,3,0
1531560536,1,0
1531570625,1,0
1531578277,1,0
1531586606,1,0
1531592465,1,0
1531594386,1,0
1531606371,1,0
1531608285,1,0
1531620406,4,0
1531626396,1,0
1531628503,1,0
1531674301,1,0
1531721599,1,0
1531723735,1,0
1531750889,2,0
1531760806,1,0
1531764780,1,0
1531766735,2,0
1531787347,1,0
1531801274,1,0
1531865571,0,3957
1531867470,1,0
1531873222,0,1
1531880918,1,0
1531888603,0,1
1531894369,1,0
1531898206,1,0
1531938517,1,0
1531944531,1,0
1531954124,1,1
1531963708,1,0
1531967581,0,1
1531975494,2,0
1531983342,1,0
1531985300,0,1
1531998760,1,0
1532006425,1,0
1532014105,1,0
1532019913,1,0
1532025636,0,1
1532031401,0,1
1532035485,1,0
1532041247,0,1
1532047238,1,0
1532049416,0,1
1532057069,1,0
