DateTime,Entries,UniqueIPs
1531194514,1391,1391
1531196429,1383,1383
1531198583,1364,1364
1531200499,1374,1374
1531202506,1380,1380
1531204363,1392,1392
1531206267,1395,1395
1531208184,1394,1394
1531210109,1394,1394
1531212034,1402,1402
1531213957,1413,1413
1531215859,1439,1439
1531217802,1424,1424
1531219700,1403,1403
1531221634,1404,1404
1531223617,1420,1420
1531225476,1415,1415
1531227377,1415,1415
1531229571,1406,1406
1531231478,1396,1396
1531233395,1389,1389
1531235316,1391,1391
1531237245,1388,1388
1531239202,1384,1384
1531241092,2313,2313
1531242997,2316,2316
1531244905,2325,2325
1531246822,2250,2250
1531248755,2244,2244
1531250732,2514,2514
1531252623,2826,2826
1531254511,2829,2829
1531256503,2819,2819
1531258359,2832,2832
1531260290,2821,2821
1531262201,2765,2765
1531264134,2752,2752
1531266023,2732,2732
1531267974,2729,2729
1531269860,2710,2710
1531271789,2716,2716
1531273716,2718,2718
1531275636,2736,2736
1531277607,2751,2751
1531279460,2758,2758
1531281386,2773,2773
1531283568,2805,2805
1531285735,2821,2821
1531287688,2829,2829
1531289552,2832,2832
1531291486,2828,2828
1531293420,2821,2821
1531295316,2822,2822
1531297237,2819,2819
1531299159,2809,2809
1531301071,2868,2868
1531303003,2976,2976
1531304908,3029,3029
1531306906,3094,3094
1531308779,3203,3203
1531310694,3247,3247
1531312596,3259,3259
1531314518,3244,3244
1531316444,3244,3244
1531318371,3253,3253
1531320311,3252,3252
1531322197,3247,3247
1531324117,3249,3249
1531326410,3249,3249
1531328498,3247,3247
1531330352,3235,3235
1531332265,3238,3238
1531334433,3246,3246
1531336362,3246,3246
1531338284,2609,2609
1531340200,2605,2605
1531342115,2609,2609
1531344037,2598,2598
1531345961,2599,2599
1531348110,2594,2594
1531350101,2606,2606
1531351946,2621,2621
1531353879,1696,1696
1531355792,1696,1696
1531357725,1695,1695
1531359618,1695,1695
1531361561,1684,1684
1531363470,1664,1664
1531365407,1644,1644
1531367303,1631,1631
1531369220,1612,1612
1531371161,1594,1594
1531373057,1578,1578
1531374997,1560,1560
1531376903,1562,1562
1531378895,1555,1555
1531380748,1547,1547
1531382681,1548,1548
1531384592,1561,1561
1531386528,1535,1535
1531388418,1424,1424
1531390358,1317,1317
1531392302,1284,1284
1531394193,1182,1182
1531396113,1070,1070
1531398039,1056,1056
1531400003,1053,1053
1531401887,1053,1053
1531403791,1041,1041
1531405703,1053,1053
1531407697,1077,1077
1531409558,1084,1084
1531411506,1081,1081
1531413418,1081,1081
1531415295,1077,1077
1531417230,1071,1071
1531419140,1067,1067
1531421054,1068,1068
1531422995,1057,1057
1531425164,1069,1069
1531427059,1068,1068
1531429012,1063,1063
1531430921,1064,1064
1531434405,1057,1057
1531437371,1034,1034
1531439310,1037,1037
1531441207,1034,1034
1531443135,1027,1027
1531445050,1031,1031
1531446987,1028,1028
1531448894,1028,1028
1531450889,1028,1028
1531452752,1029,1029
1531454731,1021,1021
1531456581,1054,1054
1531458519,1062,1062
1531460686,1061,1061
1531462612,1066,1066
1531464503,1090,1090
1531466435,1105,1105
1531468366,1110,1110
1531470266,1115,1115
1531472200,1123,1123
1531474114,1119,1119
1531476104,1119,1119
1531477952,1111,1111
1531479890,1092,1092
1531481814,1105,1105
1531483739,1109,1109
1531485636,1105,1105
1531487629,1116,1116
1531489472,1117,1117
1531491655,1110,1110
1531493553,1098,1098
1531495475,1093,1093
1531497373,1091,1091
1531499295,1084,1084
1531501307,1092,1092
1531503174,1094,1094
1531505076,1095,1095
1531507003,1091,1091
1531508936,1095,1095
1531510820,1109,1109
1531512739,1102,1102
1531514676,1094,1094
1531516640,0,0
1531865572,1258,1258
1531867470,1265,1265
1531869386,1275,1275
1531871305,1280,1280
1531873223,1272,1272
