DateTime,AddedIPs,RemovedIPs
1530469703,2,0
1530477394,0,1
1530481216,1,0
1530486986,1,1
1530488914,2,2
1530492737,1,0
1530494695,0,1
1530496592,2,0
1530498522,0,1
1530500689,2,1
1530502582,1,1
1530506436,1,0
1530508356,0,2
1530510306,2,0
1530512199,0,1
1530514106,0,3
1530516034,1,0
1530525701,1,0
1530528106,1,1
1530531861,1,1
1530533795,0,1
1530539682,0,1
1530541724,2,1
1530545550,0,1
1530547479,0,1
1530557055,0,1
1530566931,2,1
1530572920,0,2
1530574890,0,2
1530578663,0,1
1530580663,3,0
1530582777,2,1
1530589452,1,1
1530591652,0,1
1530593538,0,1
1530595477,0,1
1530601292,1,0
1530603155,3,1
1530606983,2,0
1530609001,2,0
1530610820,1,0
1530613008,1,0
1530615197,0,2
1530617075,1,0
1530618985,0,1
1530620903,1,0
1530626792,0,1
1530628830,2,1
1530646043,0,1
1530647926,1,0
1530651769,0,2
1530654132,0,1
1530661824,2,0
1530665797,0,1
1530667728,2,3
1530669703,2,0
1530675653,1,2
1530681385,1,1
1530687138,1,1
1530689068,0,1
1530690989,0,1
1530692927,0,1
1530694918,1,4
1530696763,0,1
1530701371,3,1
1530703232,0,1
1530705146,0,1
1530707065,2,1
1530713131,2,0
1530715873,1,1
1530717898,1,0
1530723691,1,0
1530731797,2,0
1530737556,1,0
1530745363,1,0
1530747179,1,1
1530749079,1,1
1530751005,0,1
1530752912,1,0
1530754823,1,3
1530756745,1,1
1530760833,8,0
1530762747,1,1
1530764679,2,0
1530768503,0,1
1530770505,1,0
1530772430,0,1
1530774298,1,0
1530778124,1,0
1530781956,1,1
1530785748,0,2
1530787731,1,1
1530793463,1,2
1530795699,1,0
1530797569,1,0
1530799477,1,1
1530805244,0,1
1530809072,1,1
1530811003,0,1
1530814833,1,0
1530818694,0,2
1530822765,2,1
1530825331,1,0
1530829239,1,0
1530831191,0,1
1530833266,1,0
1530835309,0,2
1530839083,0,1
1530841000,2,0
1530842915,1,2
1530846776,1,7
1530848681,1,1
1530850615,0,3
1530854445,1,1
1530856384,0,1
1530860200,0,1
1530862129,1,0
1530864100,8,1
1530865973,1,0
1530869821,2,1
1530871969,0,1
1530876044,1,0
1530879890,0,1
1530884591,0,3
1530888928,1,0
1530894765,0,1
1530900540,1,0
1530904492,2,0
1530908202,1,2
1530910110,2,0
1530912060,6,1
1530915881,1,1
1530921714,1,0
1530925503,1,0
1530927409,0,2
1530929328,0,1
1530933158,0,2
1530935104,2,1
1530936979,0,1
1530941077,1,1
1530942997,1,0
1530946897,0,1
1530948782,1,0
1530950707,0,8
1530952587,12,1
1530954512,0,1
1530956432,2,1
1530958607,1,0
1530960508,1,0
1530962431,0,1
1530966287,1,0
1530973957,0,2
1530977791,1,0
1530981626,1,0
1530987399,0,1
1530991223,0,2
1530993154,1,0
1530995080,0,1
1530996989,0,4
1530998902,0,3
1531002768,1,1
1531004923,1,0
1531008992,1,1
1531011172,15,1
1531013095,1,0
1531016926,3,0
1531018914,1,0
1531020774,2,1
1531022694,0,1
1531024850,2,0
1531026768,0,1
1531028696,1,0
1531030609,0,1
1531034448,2,1
1531038280,0,2
1531040202,0,10
1531044102,0,2
1531046201,0,2
1531048136,1,0
1531050039,1,0
1531051953,0,1
1531064313,1,1
1531068397,1,0
1531072482,1,0
1531074496,0,1
1531080278,0,1
1531084349,1,0
1531088447,0,1
1531092273,1,1
1531094525,0,1
1531096367,0,1
1531098289,0,14
1531100425,0,1
1531102345,0,1
1531104624,0,3
1531106439,1,1
1531108358,0,1
1531110512,1,1
1531112508,0,1
1531114351,1,1
1531120124,0,1
1531122024,1,0
1531125884,0,2
1531127803,1,0
1531133553,1,0
1531135459,1,0
1531137388,0,1
1531139552,1,0
1531141497,1,0
1531145316,1,0
1531147236,1,0
1531151096,0,1
1531152993,1,0
1531156825,0,1
1531158751,0,1
1531160667,2,0
1531162578,1,0
1531169414,0,1
1531181068,1,0
1531182982,1,0
1531188799,1,0
1531190699,0,1
1531194516,0,1
1531196431,0,1
1531198585,2,0
1531200501,0,1
1531202508,1,1
1531208185,0,1
1531213958,1,1
1531219702,0,1
1531221636,0,1
1531225478,1,0
1531229573,0,1
1531231480,0,1
1531233397,0,1
1531239204,0,1
1531244907,1,0
1531246824,0,1
1531254513,1,0
1531256506,1,0
1531258361,0,1
1531267976,0,1
1531269862,1,0
1531275638,3,1
1531277608,1,0
1531281388,1,0
1531283570,0,1
1531287690,0,1
1531291488,1,0
1531293422,2,0
1531297239,2,0
1531301073,0,1
1531310696,0,1
1531312598,0,1
1531314520,0,1
1531320313,1,0
1531322199,1,0
1531330354,0,2
1531338286,1,0
1531344039,0,1
1531351948,1,0
1531355794,1,2
1531357727,1,0
1531359620,1,0
1531361563,0,2
1531363472,2,1
1531365409,1,1
1531369222,0,1
1531371163,1,0
1531373059,2,0
1531376905,1,1
1531378897,1,1
1531380751,0,1
1531382682,1,2
1531386530,0,1
1531388420,1,0
1531396115,2,0
1531398041,1,0
1531401889,1,0
1531403792,1,0
1531405705,1,0
1531407699,0,1
1531409560,0,1
1531413420,9,0
1531415297,2,0
1531417232,1,0
1531419142,1,0
1531425166,1,0
1531427061,1,0
1531434407,2,0
1531436547,1,0
1531438598,0,1
1531440513,1,0
1531442461,0,1
1531444350,0,1
1531446277,1,0
1531448179,1,0
1531451310,0,3
1531455155,3,0
1531457103,0,1
1531459011,1,1
1531461161,0,1
1531463060,1,1
1531466897,2,1
1531468907,0,1
1531470765,1,1
1531472731,1,0
1531474595,0,1
1531476533,1,0
1531478442,1,0
1531482278,1,2
1531484187,1,1
1531488034,0,1
