DateTime,AddedIPs,RemovedIPs
1530651771,0,1
1530655959,1,0
1530657864,1,0
1530659793,2,0
1530661825,2,0
1530663875,3,0
1530665798,3,0
1530667729,1,0
1530671616,0,1
1530675655,0,2
1530683315,3,0
1530689069,2,0
1530692929,1,2
1530694919,0,1
1530701373,2,1
1530703234,1,0
1530707067,2,0
1530708989,1,0
1530710998,1,0
1530713133,0,1
1530715876,2,5
1530717900,1,0
1530719803,1,0
1530725573,1,0
1530727906,0,1
1530731799,0,1
1530733735,0,1
1530735630,0,1
1530737558,1,0
1530739513,1,0
1530741401,1,1
1530745365,2,2
1530747180,1,1
1530749081,0,1
1530751006,1,2
1530752913,1,3
1530754824,1,1
1530758683,1,0
1530762748,2,0
1530764680,1,0
1530766580,2,0
1530768505,0,2
1530770506,0,1
1530774300,0,2
1530776190,1,0
1530778126,0,1
1530780029,1,0
1530785751,1,0
1530787734,0,2
1530789627,0,1
1530793466,1,2
1530795701,0,1
1530797571,0,1
1530801404,1,0
1530803338,0,2
1530805246,0,1
1530807200,1,1
1530809074,2,0
1530811006,1,1
1530816750,1,0
1530818696,2,0
1530820601,1,0
1530822768,3,0
1530825333,0,2
1530827318,0,1
1530831194,1,2
1530833269,0,1
1530835311,1,0
1530837185,0,1
1530839085,0,1
1530841002,0,1
1530842917,1,1
1530844849,0,2
1530848683,0,2
1530850617,0,1
1530852512,1,2
1530856386,1,0
1530864102,0,1
1530865975,1,1
1530867903,1,0
1530871972,0,1
1530879892,0,1
1530881799,1,0
1530884593,1,0
1530888930,0,1
1530890916,1,0
1530894767,0,2
1530896719,0,2
1530902443,1,1
1530904493,4,1
1530906310,1,1
1530908204,0,4
1530915883,1,0
1530917802,1,1
1530921715,0,1
1530923572,1,0
1530927411,1,0
1530929330,0,1
1530933160,1,0
1530936981,1,0
1530938918,1,1
1530942998,2,1
1530944925,1,0
1530950709,1,0
1530952588,1,1
1530954514,2,0
1530956434,1,0
1530960509,1,0
1530962432,1,0
1530964393,1,0
1530966288,2,0
1530968205,2,1
1530970107,3,1
1530972112,1,0
1530973958,3,0
1530975869,2,1
1530977792,3,0
1530979743,2,0
1530981627,2,0
1530987400,2,0
1530989333,1,0
1530991225,2,1
1530993155,1,2
1530995082,4,2
1530996992,1,0
1530998905,1,0
1531000931,2,1
1531002769,1,0
1531006840,2,0
1531008994,1,0
1531011174,1,1
1531013097,2,0
1531016927,1,0
1531018915,1,0
1531022695,1,1
1531024852,1,1
1531028697,0,1
1531034449,1,0
1531036365,1,0
1531038281,0,1
1531042108,0,2
1531044103,1,0
1531051954,1,1
1531053868,1,0
1531055812,1,0
1531064315,1,1
1531066461,1,0
1531074497,1,0
1531076517,0,1
1531080279,3,1
1531086260,0,8
1531088448,0,1
1531090353,3,0
1531092275,0,1
1531096368,1,1
1531100426,0,1
1531104625,1,0
1531110514,0,39
1531112510,0,1
1531122026,0,1
1531127805,0,1
1531131719,1,1
1531141499,1,2
1531143384,1,0
1531160668,0,1
1531166501,0,6
1531177023,0,3
1531181070,0,1
1531190702,0,1
1531192601,1,0
1531213960,1,0
1531217806,0,1
1531221637,1,0
1531229574,1,2
1531243000,1,0
1531252626,0,1
1531254514,1,0
1531256507,1,0
1531258362,1,0
1531266026,2,0
1531269863,1,0
1531271792,1,0
1531277610,1,0
1531279463,1,1
1531285739,2,0
1531287691,2,0
1531291490,1,0
1531299163,1,0
1531301075,1,1
1531303006,1,0
1531304913,1,0
1531308782,0,1
1531316448,2,1
1531328501,0,1
1531334436,1,0
1531342119,0,1
1531344041,0,1
1531351950,1,0
1531353882,0,2
1531355796,1,1
1531357729,1,1
1531363473,0,1
1531365411,0,1
1531367306,1,0
1531371164,0,1
1531373061,0,1
1531375000,0,2
1531376906,1,0
1531378898,0,1
1531384595,1,0
1531386532,0,2
1531388422,1,0
1531390362,0,2
1531396117,1,0
1531400007,1,0
1531401890,0,1
1531403794,0,1
1531407701,1,0
1531413422,1,0
1531421057,0,1
1531430924,1,0
1531438599,1,1
1531442462,0,1
1531444351,0,1
1531451312,1,0
1531453216,0,1
1531459013,1,0
1531463062,0,1
1531466898,1,0
1531470767,0,1
1531472734,2,0
1531474598,1,1
1531476535,1,0
1531480436,1,0
1531482280,1,1
1531486100,1,1
1531490189,1,0
1531493917,0,1
1531497710,1,0
1531499674,1,1
1531511536,1,1
1531515397,0,16
1531520526,38721,0
1531522459,1,0
1531538261,9,0
1531558423,1,0
1531584437,1,0
1531598243,1,0
1531612214,1,0
1531614122,1,0
1531622566,1,0
1531638882,2,0
1531652292,1,0
1531660202,1,0
1531674345,5,0
1531706272,3,0
1531724754,1,0
1531732630,1,0
1531734591,6,0
1531736487,1,0
1531738645,3,0
1531740578,1,0
1531752338,3,0
1531756258,3,0
1531762330,1,0
1531764401,1,0
1531775876,1,0
1531778018,1,0
1531783576,1,0
1531792441,1,0
1531798259,4,0
1531805161,1,0
1531811155,2,0
1531817111,2,0
1531819103,3,0
1531830589,1,0
1531835622,3,0
1531837569,2,0
1531846207,4,0
1531856066,2,0
1531858000,2,0
1531863740,6,0
1531865576,0,38756
1531867474,2,1
1531869390,3,0
1531875163,1,0
1531877085,0,1
1531878981,0,1
1531884771,0,4
1531886666,1,9
1531890521,1,0
1531892452,0,1
1531894373,2,0
1531896281,1,0
1531898209,1,2
1531900115,2,0
1531902048,1,0
1531903951,0,4
1531905866,2,2
1531907805,1,0
1531909703,1,0
1531911714,1,0
1531915476,0,1
1531917385,4,1
1531921222,3,1
1531923182,0,6
1531932761,0,5
1531936699,1,0
1531940502,1,0
1531942636,1,2
1531944535,1,2
1531948364,0,1
1531950353,0,5
1531952186,0,1
1531954128,1,2
1531956066,0,3
1531961804,1,1
1531965703,1,0
1531971398,1,0
1531973347,0,1
1531975500,0,1
1531979316,2,1
1531981281,0,1
1531983349,0,1
1531985305,0,1
1531987293,2,2
1531989180,2,1
1531993015,0,2
1531994950,1,0
1531996879,2,2
1531998768,1,0
1532004535,0,2
1532006429,2,0
1532008401,0,3
1532010300,0,1
1532012196,1,0
1532017959,2,0
1532025640,2,1
1532027469,0,1
1532029465,0,1
1532031405,0,1
1532037416,0,1
1532039336,1,1
1532049421,1,0
1532051338,0,1
1532059018,0,1
1532061168,2,0
1532065002,1,2
1532066947,3,0
1532070775,3,0
1532072683,0,2
1532074595,1,1
1532076517,0,1
1532080372,4,1
1532082307,1,2
1532086135,0,1
1532088108,0,1
1532091892,0,1
1532093797,2,1
1532095737,2,0
1532099572,0,1
1532101475,1,0
1532103397,1,0
1532105330,0,2
1532107253,1,0
1532109175,3,0
1532111071,2,0
1532113008,0,3
1532114902,1,0
1532118772,2,0
1532120683,1,0
1532122669,1,0
1532126440,0,1
1532134357,0,1
1532146366,1,1
1532148342,0,1
1532152145,0,4
1532156056,0,2
1532159839,0,1
1532163922,3,0
1532165796,1,1
1532167756,4,4
1532169645,6,0
1532171605,8,0
1532173466,9,1
1532175467,7,0
1532177316,8,0
1532179288,6,0
1532181160,7,2
1532183132,9,2
1532184991,9,0
1532186984,4,0
1532188917,8,1
1532190845,5,1
1532192676,2,1
1532194646,1,0
1532196522,0,3
1532198482,1,2
1532200611,3,0
1532206610,0,3
1532208504,0,1
1532210445,0,1
1532212366,1,0
1532214541,2,0
1532216434,3,0
1532222213,1,0
1532226049,1,0
1532227973,1,0
1532233703,0,1
1532235723,1,0
1532241643,1,0
1532247406,1,0
1532249553,0,1
1532251486,0,2
1532253388,0,3
1532255455,0,3
1532257475,2,9
1532259387,0,9
1532261321,1,8
1532263224,0,7
1532265158,0,8
1532267067,0,9
1532268989,0,4
1532270929,0,9
1532272832,0,9
1532274766,2,8
1532276686,0,5
1532278766,2,2
1532280753,0,1
1532284583,1,1
1532286580,1,2
1532288436,1,1
1532292303,2,0
1532298026,2,1
1532299958,0,1
1532302128,0,1
1532304086,0,3
1532307883,0,1
1532313645,0,1
1532315571,1,0
1532317523,1,0
1532319402,2,0
1532321310,0,1
1532329019,1,1
1532330906,2,0
1532332880,1,1
1532338593,2,0
1532341435,1,0
1532343383,1,1
1532345329,0,1
1532347298,1,1
1532362858,0,2
1532364760,1,1
1532366909,0,1
1532368904,1,0
1532370778,499,1
1532372666,0,1
1532374586,0,1
1532376696,1,0
1532379776,1,2
1532383990,0,2
1532385913,2,0
1532387808,2,0
1532389721,1,1
1532391646,1,0
1532393613,2,0
1532395511,3,0
1532397394,1,0
1532399337,1,0
1532401306,0,1
1532405073,0,3
1532410838,1,0
1532416833,0,3
1532418775,1,1
1532424750,0,2
1532428586,1,1
1532430549,0,1
1532434380,2,1
1532442271,3,0
1532449990,0,1
1532451877,5,0
1532453806,1,0
1532455726,1,0
1532457627,0,500
1532463623,3,1
1532467466,0,1
1532469406,2,0
1532471308,0,1
1532473319,0,3
1532477107,1,2
1532478986,1,0
1532480941,0,1
1532482841,0,3
1532484778,0,1
1532486752,0,1
1532490510,1,0
1532494380,1,0
1532496274,0,1
1532504193,1,0
1532513793,0,1
