DateTime,AddedIPs,RemovedIPs
1530780032,2,1
1530783891,1,0
1530785753,1,1
1530791588,2,1
1530793468,4,0
1530795704,1,0
1530803341,0,1
1530807203,2,0
1530809076,1,1
1530811008,0,1
1530812835,2,1
1530816752,1,1
1530818699,1,0
1530820603,1,1
1530822770,0,1
1530825335,1,2
1530827321,2,0
1530829243,0,1
1530831197,0,2
1530833271,2,2
1530837187,2,1
1530846780,2,0
1530848686,1,0
1530850619,1,2
1530854449,1,0
1530856388,0,1
1530858276,1,0
1530864104,1,0
1530865977,0,1
1530867905,0,1
1530869825,0,1
1530871975,0,1
1530874129,2,0
1530877981,0,2
1530879895,0,4
1530886595,299,0
1530890918,1,1
1530892920,370,1
1530894769,1,1
1530896722,1,1
1530898594,2,1
1530900543,0,1
1530902445,0,1
1530910113,0,1
1530912064,1,0
1530913957,1,1
1530919734,0,1
1530921717,2,0
1530923574,0,1
1530925506,1,0
1530931229,1,0
1530933162,1,1
1530936983,1,2
1530938920,1,1
1530941081,2,1
1530943000,1,0
1530944927,0,1
1530950710,0,1
1530956435,1,0
1530958609,1,0
1530960511,1,0
1530964395,2,0
1530966290,2,0
1530968207,1,0
1530970109,2,0
1530975870,1,1
1530977794,2,0
1530979745,0,1
1530985528,1,1
1530991226,1,0
1530995084,0,678
1530996993,1,0
1530998906,2,2
1531008996,1,3
1531013099,1,1
1531014987,1,0
1531018917,1,2
1531020777,1,0
1531022697,1,0
1531024853,0,1
1531026772,0,2
1531028699,0,1
1531032518,1,1
1531042110,1,0
1531044105,0,1
1531050042,1,1
1531051956,0,2
1531053870,1,0
1531055814,0,3
1531057710,1,0
1531062101,1,2
1531064317,0,1
1531072487,1,1
1531078354,0,1
1531080281,1,0
1531082194,0,1
1531086262,1,2
1531094529,2,0
1531096371,0,1
1531098292,0,1
1531102349,1,1
1531104627,1,0
1531106442,0,2
1531108362,0,1
1531114354,1,0
1531118194,0,1
1531120128,5,0
1531122028,1,0
1531123946,1,0
1531131721,1,0
1531135462,0,1
1531137392,0,1
1531139555,2,1
1531141500,0,1
1531143387,0,1
1531147240,1,1
1531149180,194,1
1531151100,500,0
1531154921,1,0
1531158755,3,1
1531166503,1,1
1531181072,1,2
1531182986,1,0
1531192603,0,1
1531196434,1,0
1531200504,1,2
1531206272,2,2
1531208189,0,1
1531210114,1,0
1531213962,1,0
1531215864,1,0
1531233400,2,0
1531235321,0,3
1531237250,0,697
1531241097,1,1
1531243002,0,1
1531244909,1,2
1531246827,0,2
1531250737,1,0
1531252628,0,1
1531264139,1,0
1531267978,0,1
1531269865,2,0
1531275641,1,0
1531277611,1,0
1531281391,1,0
1531283573,0,1
1531287693,1,1
