DateTime,Entries,UniqueIPs
1531194519,9088,9088
1531196433,9072,9072
1531198588,9063,9063
1531200503,9084,9084
1531202511,9066,9066
1531204368,9070,9070
1531206272,9052,9052
1531208189,9000,9000
1531210114,8996,8996
1531212039,9063,9063
1531213961,9060,9060
1531215864,9008,9008
1531217807,9063,9063
1531219705,9096,9096
1531221638,9150,9150
1531223623,9211,9211
1531225481,9245,9245
1531227381,9258,9258
1531229575,9307,9307
1531231483,9316,9316
1531233400,9337,9337
1531235320,9347,9347
1531237249,5614,5614
1531239208,5265,5265
1531241097,5286,5286
1531243001,5302,5302
1531244909,5311,5311
1531246827,5314,5314
1531248761,5334,5334
1531250736,5307,5307
1531252627,5279,5279
1531254516,5346,5346
1531256509,5380,5380
1531258364,5376,5376
1531260295,5340,5340
1531262206,5392,5392
1531264138,5374,5374
1531266027,5368,5368
1531267978,5381,5381
1531269864,5381,5381
1531271793,5402,5402
1531273721,5389,5389
1531275640,5380,5380
1531277611,5378,5378
1531279465,5382,5382
1531281391,5375,5375
1531283573,5370,5370
1531285740,5366,5366
1531287693,5373,5373
1531289557,5384,5384
1531291491,6541,6541
1531293425,8747,8747
1531295321,10360,10360
1531297242,10354,10354
1531299164,10338,10338
1531301076,10329,10329
1531303007,10284,10284
1531304915,10309,10309
1531306911,10280,10280
1531308784,10259,10259
1531310699,10207,10207
1531312600,10198,10198
1531314523,10210,10210
1531316449,10206,10206
1531318375,10210,10210
1531320315,10202,10202
1531322201,10248,10248
1531324121,10167,10167
1531326414,9224,9224
1531328502,9202,9202
1531330356,9196,9196
1531332269,9185,9185
1531334437,9178,9178
1531336366,9198,9198
1531338288,9185,9185
1531340204,9145,9145
1531342120,9157,9157
1531344042,9177,9177
1531345966,9179,9179
1531348114,9178,9178
1531350106,9169,9169
1531351950,9160,9160
1531353883,9160,9160
1531355796,9168,9168
1531357730,9166,9166
1531359622,9151,9151
1531361565,9149,9149
1531363474,9132,9132
1531365411,9112,9112
1531367307,9086,9086
1531369224,9074,9074
1531371165,9064,9064
1531373062,9047,9047
1531375001,9026,9026
1531376907,8989,8989
1531378899,6529,6529
1531380754,4402,4402
1531382684,3765,3765
1531384596,3789,3789
1531386533,3791,3791
1531388423,3775,3775
1531390362,3785,3785
1531392305,3774,3774
1531394197,3755,3755
1531396117,3761,3761
1531398043,3766,3766
1531400007,3763,3763
1531401891,3781,3781
1531403795,3781,3781
1531405708,3782,3782
1531407702,3763,3763
1531409563,3758,3758
1531411510,3798,3798
1531413424,3791,3791
1531415300,3790,3790
1531417235,3800,3800
1531419145,3806,3806
1531421058,3823,3823
1531423000,3818,3818
1531425169,3763,3763
1531427063,3742,3742
1531429016,3783,3783
1531430925,3726,3726
1531434410,3705,3705
1531436558,3702,3702
1531438600,3684,3684
1531440516,3687,3687
1531442463,3657,3657
1531444352,3658,3658
1531446280,3652,3652
1531448181,3659,3659
1531451313,3666,3666
1531453218,3656,3656
1531455157,3636,3636
1531457105,3653,3653
1531459014,3666,3666
1531461164,3678,3678
1531463063,3695,3695
1531464994,3680,3680
1531466899,3666,3666
1531468910,7628,7628
1531470768,11912,11912
1531472735,12112,12112
1531474599,12126,12126
1531476537,12064,12064
1531478445,12113,12113
1531480437,12214,12214
1531482282,12247,12247
1531484190,12299,12299
1531486101,12313,12313
1531488037,12342,12342
1531490190,12342,12342
1531492095,12356,12356
1531493919,12347,12347
1531495764,12350,12350
1531497712,12341,12341
1531499676,12353,12353
1531501726,12356,12356
1531503629,12344,12344
1531505578,12345,12345
1531507522,12341,12341
