DateTime,Entries,UniqueIPs
1531143387,89,89
1531145320,88,88
1531147240,88,88
1531149181,84,84
1531151101,82,82
1531152997,77,77
1531154922,77,77
1531156830,75,75
1531158756,74,74
1531160672,70,70
1531162582,69,69
1531164520,69,69
1531166504,67,67
1531169418,63,63
1531173160,64,64
1531175079,62,62
1531177026,60,60
1531179168,56,56
1531181073,55,55
1531182987,52,52
1531184941,52,52
1531186861,49,49
1531188804,50,50
1531190713,48,48
1531192604,46,46
1531194520,48,48
1531198589,47,47
1531202512,43,43
1531204369,42,42
1531208190,44,44
1531212040,45,45
1531213962,47,47
1531215865,46,46
1531217808,49,49
1531219706,51,51
1531221639,52,52
1531223624,52,52
1531225482,51,51
1531227382,51,51
1531229576,53,53
1531231484,53,53
1531233401,55,55
1531235321,58,58
1531237250,59,59
1531239209,60,60
1531241098,60,60
1531243003,60,60
1531244910,58,58
1531246828,59,59
1531248763,61,61
1531250737,61,61
1531252629,62,62
1531254517,59,59
1531256510,61,61
1531258364,62,62
1531260296,61,61
1531262207,59,59
1531266028,60,60
1531267979,62,62
1531269865,63,63
1531271794,64,64
1531275641,63,63
1531277612,64,64
1531279466,65,65
1531281392,67,67
1531283574,69,69
1531285741,71,71
1531287694,73,73
1531289558,76,76
1531293426,76,76
1531295323,76,76
1531297243,77,77
1531299166,77,77
1531301078,79,79
1531303009,80,80
1531304916,77,77
1531306912,77,77
1531308785,80,80
1531310700,84,84
1531312602,83,83
1531314525,84,84
1531316451,81,81
1531318376,82,82
1531320317,80,80
1531322203,79,79
1531324122,79,79
1531326416,79,79
1531328504,77,77
1531330358,77,77
1531332270,76,76
1531334438,73,73
1531336367,72,72
1531338290,72,72
1531340206,72,72
1531342121,73,73
1531344043,72,72
1531345967,71,71
1531348116,73,73
1531350107,75,75
1531351952,76,76
1531353884,79,79
1531355798,81,81
1531357731,82,82
1531359624,83,83
1531361566,85,85
1531363475,84,84
1531365413,84,84
1531367308,85,85
1531369225,86,86
1531371166,86,86
1531373063,85,85
1531375003,82,82
1531376909,81,81
1531378900,80,80
1531380755,84,84
1531382685,82,82
1531384597,83,83
1531386534,82,82
1531388424,80,80
1531390364,82,82
1531392307,80,80
1531394198,81,81
1531396119,76,76
1531398045,74,74
1531400008,76,76
1531401892,76,76
1531403796,75,75
1531407704,73,73
1531409565,75,75
1531411511,75,75
1531413425,73,73
1531415301,72,72
1531417236,72,72
1531419146,72,72
1531421059,75,75
1531423001,76,76
1531425170,76,76
1531427064,78,78
1531429018,79,79
1531430926,80,80
1531434411,80,80
1531436559,78,78
1531438601,77,77
1531440517,77,77
1531442464,74,74
1531444353,76,76
1531446281,74,74
1531448182,73,73
1531451314,74,74
1531453218,70,70
1531455158,71,71
1531457106,70,70
1531459015,75,75
1531461165,77,77
1531463064,75,75
1531466900,73,73
1531468912,74,74
1531470770,73,73
1531472737,74,74
1531474600,77,77
1531476538,76,76
1531478446,78,78
1531480438,77,77
1531482283,77,77
1531484191,78,78
1531486103,77,77
1531488039,77,77
1531490191,77,77
1531492097,80,80
1531493920,82,82
1531495766,80,80
1531497713,83,83
1531499677,84,84
1531501727,86,86
1531503630,89,89
1531505579,89,89
1531507523,87,87
1531509394,86,86
1531511538,86,86
1531513457,84,84
1531515400,85,85
1531520556,0,0
1531865579,81,81
1531867476,80,80
1531869394,79,79
1531871311,79,79
1531873230,80,80
1531875166,78,78
1531877087,78,78
1531878984,81,81
1531880926,81,81
1531884773,80,80
1531886669,78,78
1531888610,75,75
1531890524,73,73
1531892455,75,75
1531894375,74,74
1531896283,73,73
1531898212,71,71
1531900117,71,71
1531902051,70,70
1531903953,72,72
1531905868,74,74
1531907807,75,75
1531909705,74,74
1531911717,74,74
1531913589,74,74
1531915481,75,75
1531917388,73,73
1531919354,72,72
1531921225,70,70
1531923184,72,72
1531925067,74,74
1531927022,76,76
1531928902,78,78
1531930851,78,78
1531932764,79,79
1531934708,76,76
1531936704,75,75
1531938525,76,76
1531940506,76,76
1531942641,73,73
1531944540,73,73
1531946452,75,75
1531948367,78,78
1531950355,79,79
1531952188,79,79
1531954131,79,79
1531956069,81,81
1531957995,82,82
1531959873,81,81
1531961806,88,88
1531963717,88,88
1531965706,85,85
1531967598,85,85
1531969495,85,85
1531971401,86,86
1531973350,90,90
1531977436,92,92
1531979321,92,92
1531981283,91,91
1531983351,92,92
1531985307,91,91
1531987296,92,92
1531989184,91,91
1531991119,89,89
1531993018,88,88
1531994952,87,87
1531996881,88,88
1531998770,86,86
1532000701,85,85
1532002617,86,86
1532004540,88,88
1532006432,87,87
1532008404,89,89
