DateTime,Entries,UniqueIPs
1531110517,107,107
1531112513,109,109
1531114356,109,109
1531116289,109,109
1531120130,113,113
1531127809,112,112
1531129736,114,114
1531133558,114,114
1531135464,113,113
1531137394,112,112
1531139557,109,109
1531141502,107,107
1531143389,106,106
1531145321,105,105
1531147241,105,105
1531151102,106,106
1531152999,107,107
1531154923,106,106
1531156831,105,105
1531158757,106,106
1531160673,107,107
1531162584,108,108
1531164522,109,109
1531166505,108,108
1531169420,106,106
1531171229,107,107
1531173161,108,108
1531175081,108,108
1531177027,94,94
1531179170,92,92
1531181074,91,91
1531182988,93,93
1531184942,94,94
1531186862,93,93
1531188806,94,94
1531190715,95,95
1531194521,94,94
1531196436,95,95
1531200506,96,96
1531202513,95,95
1531206274,92,92
1531208191,94,94
1531210116,95,95
1531212041,96,96
1531215866,97,97
1531217809,94,94
1531219707,94,94
1531221640,94,94
1531225483,92,92
1531235323,90,90
1531237252,88,88
1531239210,86,86
1531241100,85,85
1531243004,85,85
1531244911,83,83
1531246830,79,79
1531248764,77,77
1531250738,73,73
1531252630,72,72
1531256511,67,67
1531258365,65,65
1531260297,64,64
1531264140,64,64
1531266029,65,65
1531267980,67,67
1531269866,69,69
1531271796,70,70
1531273723,70,70
1531275642,65,65
1531277613,65,65
1531281393,64,64
1531283575,67,67
1531287695,67,67
1531289559,67,67
1531295324,66,66
1531297245,64,64
1531299167,65,65
1531301079,65,65
1531303010,66,66
1531306914,63,63
1531310702,74,74
1531312604,73,73
1531314526,75,75
1531316452,76,76
1531318378,77,77
1531322204,77,77
1531326417,76,76
1531328505,77,77
1531330359,76,76
1531332271,78,78
1531334440,81,81
1531336368,81,81
1531338290,80,80
1531340206,81,81
1531344044,80,80
1531345968,78,78
1531348117,79,79
1531350109,82,82
1531351953,83,83
1531353885,83,83
1531355799,84,84
1531357732,83,83
1531359625,84,84
1531361567,84,84
1531365414,86,86
1531367309,85,85
1531369226,84,84
1531371167,83,83
1531373064,84,84
1531376910,83,83
1531378901,83,83
1531380757,82,82
1531382686,82,82
1531384598,81,81
1531386535,82,82
1531390364,82,82
1531392307,81,81
1531394199,83,83
1531396120,73,73
1531398046,74,74
1531401893,73,73
1531405709,72,72
1531409566,72,72
1531413426,72,72
1531415302,72,72
1531417237,73,73
1531419147,72,72
1531421060,72,72
1531423002,71,71
1531425171,72,72
1531427066,73,73
1531429019,74,74
1531430928,74,74
1531434412,74,74
1531436560,73,73
1531438602,74,74
1531440518,76,76
1531442466,73,73
1531444354,72,72
1531448183,72,72
1531451315,72,72
1531455159,72,72
1531457107,73,73
1531459016,76,76
1531461166,75,75
1531463065,73,73
1531464996,74,74
1531468913,75,75
1531470771,75,75
1531472738,73,73
1531476539,71,71
1531480440,69,69
1531482285,70,70
1531484192,69,69
1531486104,70,70
1531488040,72,72
1531492098,72,72
1531493921,73,73
1531495767,77,77
1531499679,76,76
1531501728,75,75
1531503631,75,75
1531507524,76,76
1531509395,75,75
1531511539,76,76
1531513458,73,73
1531520589,12328,12328
1531524373,12329,12329
1531526365,12330,12330
1531534461,12331,12331
1531538297,12332,12332
1531552673,12333,12333
1531564650,12334,12334
1531584501,12335,12335
1531588674,12336,12336
1531590649,12337,12337
1531610327,12339,12339
1531614158,12341,12341
1531630533,12342,12342
1531650416,12343,12343
1531674385,12344,12344
1531683958,12345,12345
1531690316,12346,12346
1531694772,12347,12347
1531700560,12349,12349
1531702484,12350,12350
1531710277,12351,12351
1531714421,12353,12353
1531722366,12354,12354
1531742157,12355,12355
1531747097,12356,12356
1531752869,12357,12357
1531772540,12358,12358
1531775428,12359,12359
1531777579,12360,12360
1531779732,12363,12363
1531783615,12364,12364
1531789711,12366,12366
1531791935,12367,12367
1531795782,12368,12368
1531799619,12369,12369
1531801781,12371,12371
1531804009,12372,12372
1531806089,12374,12374
1531808002,12375,12375
1531812227,12376,12376
1531816172,12377,12377
1531842309,12378,12378
1531844355,12379,12379
1531846243,12380,12380
1531848166,12381,12381
1531856103,12382,12382
1531858036,12383,12383
1531861869,12383,12383
1531863781,12385,12385
1531865776,76,76
1531867709,79,79
1531869607,77,77
1531873450,80,80
1531875368,76,76
1531877298,75,75
1531879225,76,76
1531881135,77,77
