DateTime,AddedIPs,RemovedIPs
1532118752,7,4
1532119463,0,7
1532120180,4,2
1532120898,1,5
1532121630,4,7
1532122592,3,2
1532123301,2,2
1532124032,2,2
1532124741,4,2
1532125467,3,3
1532126180,3,6
1532128122,8,17
1532128817,2,3
1532129549,8,5
1532130507,6,1
1532131222,3,8
1532131952,1,4
1532132661,2,4
1532133382,4,5
1532134335,7,6
1532135051,4,5
1532135787,7,17
1532136487,8,0
1532137210,6,8
1532138172,13,12
1532138890,3,9
1532139616,2,8
1532140336,7,7
1532141051,8,8
1532141769,2,4
1532142491,7,0
1532143209,8,14
1532144192,3,3
1532145139,9,10
1532145861,1,0
1532146822,5,9
1532147791,10,4
1532148748,3,4
1532149718,6,4
1532150666,4,5
1532151628,3,7
1532152583,6,4
1532153556,5,3
1532154261,2,2
1532154988,1,0
1532155704,1,5
1532156427,1,3
1532157141,1,6
1532157867,5,4
1532158580,3,1
1532159413,3,6
1532160024,1,2
1532160733,2,3
1532161453,4,0
1532162170,1,3
1532162895,5,0
1532163867,4,2
1532164572,2,1
1532165290,4,1
1532166012,2,3
1532166752,5,3
1532167467,2,0
1532168189,8,12
1532168899,5,0
1532169627,2,4
1532170339,2,30
1532171065,6,43
1532171786,4,6
1532172503,2,4
1532173219,1,4
1532173943,1,2
1532174665,6,8
1532175403,0,1
1532176344,4,7
1532177054,1,6
1532177769,9,8
1532178739,1,5
1532179450,5,10
1532180173,4,4
1532181139,2,5
1532181855,6,6
1532182577,4,10
1532183538,6,5
1532184254,6,5
1532184970,1,6
1532185939,2,5
1532186927,3,4
1532187869,4,10
1532188840,9,4
1532189785,4,2
1532190489,6,4
1532191217,4,2
1532191928,4,4
1532192660,5,5
1532193370,2,0
1532194093,2,2
1532195057,5,2
1532195767,2,3
1532196499,2,6
1532197208,1,0
1532197940,5,6
1532198650,2,6
1532199371,3,5
1532200090,4,0
1532200807,7,2
1532201552,9,11
1532202271,2,7
1532202978,7,0
1532203704,1,2
1532204424,4,5
1532205144,16,4
1532205870,17,0
1532206585,4,0
1532207305,3,5
1532208026,2,1
1532208744,3,6
1532209468,2,0
1532210183,4,2
1532210905,3,2
1532211620,2,0
1532212347,2,6
1532213065,5,7
1532213778,2,0
1532214515,8,5
1532215466,2,1
1532216180,0,3
1532216905,1,3
1532217631,7,9
1532218354,4,5
1532219062,5,6
1532219782,8,8
1532220508,3,4
1532221236,2,3
1532222193,8,7
1532223150,6,10
1532223860,14,0
1532224583,5,17
1532225305,5,0
1532226028,3,11
1532226746,4,5
1532227466,3,3
1532228177,5,7
1532228914,5,3
1532229617,4,8
1532230351,6,3
1532231066,5,5
1532231787,5,7
1532232752,12,8
1532233460,1,5
1532234186,1,1
1532234904,2,4
1532235636,3,2
1532236594,2,5
1532237797,5,7
1532238747,1,4
1532239716,6,3
1532240420,2,5
1532241147,3,0
1532241862,4,9
1532242581,3,0
1532243556,4,3
1532244261,4,2
1532244982,7,3
1532245701,3,2
1532246681,2,0
1532247385,3,1
1532248101,3,2
1532249072,2,6
1532249780,1,4
1532250516,5,0
1532251465,5,1
1532252181,5,5
1532252904,2,1
1532253639,1,4
1532254339,2,2
1532255297,5,5
1532256261,1,2
1532257228,8,3
1532257930,6,6
1532258658,5,7
1532259369,3,0
1532260116,7,4
1532260840,1,5
1532261538,3,2
1532262249,5,4
1532262972,3,3
1532263953,3,6
1532264901,3,3
1532265866,4,10
1532266580,3,0
1532267305,2,10
1532268033,4,4
1532268741,4,0
1532269463,3,5
1532270183,3,2
1532270909,5,3
1532271625,20,8
1532272345,4,0
1532273062,0,7
1532273791,1,7
1532274748,6,0
1532275742,5,7
1532276664,4,4
1532277380,5,5
1532279084,4,8
1532279780,5,4
1532280503,5,0
1532281220,2,8
1532281943,1,0
1532282670,4,2
1532283388,3,5
1532284100,1,0
1532284827,2,2
1532285784,7,8
1532286502,1,5
1532287221,2,5
1532288911,6,5
1532289880,1,5
1532290831,2,3
1532291545,5,6
1532292265,3,4
1532293234,2,5
1532294193,1,9
1532294901,4,1
1532295623,2,7
1532296339,3,2
1532297072,2,4
1532297781,2,0
1532298510,2,17
1532299233,2,0
1532299939,2,3
1532300669,4,2
1532301629,7,4
1532302611,6,2
1532303550,5,3
1532304525,1,7
1532305216,4,0
1532305946,1,7
1532306911,2,2
1532307619,8,2
1532308357,5,3
1532309061,6,4
1532309783,4,5
1532310766,11,7
1532311468,8,12
1532312197,4,9
1532313153,3,4
1532314114,5,9
1532314821,7,0
