DateTime,AddedIPs,RemovedIPs
1532121630,22,40
1532122592,36,67
1532123301,56,55
1532124032,60,41
1532124741,34,37
1532125467,31,21
1532126180,24,35
1532128122,42,146
1532128817,117,49
1532129549,59,52
1532130507,45,52
1532131222,46,24
1532131952,28,29
1532132661,26,18
1532133382,31,29
1532134335,36,41
1532135051,34,35
1532135787,35,36
1532136487,40,44
1532137210,39,24
1532138172,38,50
1532138890,24,39
1532139616,31,31
1532140336,33,31
1532141051,37,28
1532141769,26,30
1532142491,32,33
1532143209,38,33
1532144192,28,57
1532145139,55,43
1532145861,42,20
1532146822,23,24
1532147791,34,44
1532148748,40,25
1532149718,30,83
1532150666,75,54
1532151628,44,28
1532152583,47,32
1532153556,37,60
1532154261,48,50
1532154988,48,73
1532155704,59,38
1532156427,34,105
1532157141,121,33
1532157867,44,32
1532158580,39,32
1532159413,32,44
1532160024,30,34
1532160733,46,61
1532161453,55,78
1532162170,70,64
1532162895,82,36
1532163867,37,17
1532164572,28,50
1532165290,37,30
1532166012,54,48
1532166752,52,41
1532167467,25,67
1532168189,55,38
1532168899,50,41
1532169627,35,38
1532170339,31,39
1532171065,46,29
1532171786,33,22
1532172503,20,41
1532173219,45,24
1532173943,21,27
1532174665,22,18
1532175403,17,48
1532176344,55,27
1532177054,26,35
1532177769,49,107
1532178739,69,101
1532179450,133,43
1532180173,44,28
1532181139,39,49
1532181855,58,20
1532182577,25,38
1532183538,33,31
1532184254,35,46
1532184970,35,49
1532185939,45,59
1532186927,67,48
1532187869,40,138
1532188840,149,33
1532189785,33,38
1532190489,44,26
1532191217,23,58
1532191928,57,29
1532192660,31,66
1532193370,57,46
1532194093,48,75
1532195057,91,38
1532195767,34,31
1532196499,33,19
1532197208,17,48
1532197940,47,49
1532198650,40,87
1532199371,79,65
1532200090,89,37
1532200807,32,45
1532201552,57,34
1532202271,28,35
1532202978,47,39
1532203704,26,13
1532204424,22,95
1532205144,118,36
1532205870,55,48
1532206585,27,60
1532207305,23,23
1532208026,29,25
1532208744,25,35
1532209468,30,49
1532210183,36,29
1532210905,27,34
1532211620,23,27
1532212347,27,34
1532213065,33,35
1532213778,32,32
1532214515,41,26
1532215466,28,42
1532216180,23,25
1532216905,14,27
1532217631,25,28
1532218354,34,23
1532219062,20,66
1532219782,52,103
1532220508,117,35
1532221236,30,33
1532222193,40,30
1532223150,26,38
1532223860,42,26
1532224583,28,61
1532225305,54,30
1532226028,26,23
1532226746,24,23
1532227466,25,26
1532228177,26,22
1532228914,25,32
1532229617,23,40
1532230351,35,32
1532231066,32,30
1532231787,37,37
1532232752,47,41
1532233460,26,34
1532234186,32,128
1532234904,111,42
1532235636,48,22
1532236594,30,34
1532237797,41,41
1532238747,24,29
1532239716,32,74
1532240420,44,139
1532241147,139,44
1532241862,70,25
1532242581,28,37
1532243556,36,47
1532244261,54,23
1532244982,35,48
1532245701,48,44
1532246681,39,172
1532247385,74,135
1532248101,166,50
1532249072,83,78
1532249780,96,36
1532250516,56,44
1532251465,41,66
1532252181,65,47
1532252904,55,121
1532253639,106,56
1532254339,70,41
1532255297,55,37
1532256261,32,62
1532257228,44,31
1532257930,31,23
1532258658,35,39
1532259369,26,64
1532260116,56,131
1532260840,127,49
1532261538,49,31
1532262249,40,67
1532262972,57,57
1532263953,70,47
1532264901,47,34
1532265866,22,59
1532266580,66,81
1532267305,88,38
1532268033,49,33
1532268741,28,66
1532269463,68,44
1532270183,53,56
1532270909,53,38
1532271625,64,40
1532272345,47,53
1532273062,33,50
1532273791,51,40
1532274748,53,40
1532275742,21,27
1532276664,33,34
1532277380,36,34
1532279084,45,42
1532279780,31,32
1532280503,29,33
1532281220,36,32
1532281943,29,41
1532282670,45,32
1532283388,27,44
1532284100,48,36
1532284827,28,48
1532285784,55,42
1532286502,37,36
1532287221,38,32
1532287956,35,42
1532288911,49,37
1532289880,30,51
1532290831,49,38
1532291545,40,76
1532292265,78,25
1532293234,33,42
1532294193,26,40
1532294901,41,21
1532295623,24,43
1532296339,43,22
1532297072,26,29
1532297781,17,42
1532298510,33,32
1532299233,27,37
1532299939,37,28
1532300669,27,30
1532301629,34,43
1532302611,41,27
1532303550,29,35
1532304525,18,61
1532305216,56,31
1532305946,34,39
1532306911,39,36
1532307619,40,109
1532308357,97,36
1532309061,41,35
1532309783,27,52
1532310766,63,28
1532311468,27,78
1532312197,67,20
1532313153,26,36
1532314114,36,46
1532314821,39,23
1532315546,27,56
1532316510,49,48
1532317460,37,37
1532318426,45,34
1532319380,38,43
1532320341,31,36
1532321048,27,37
1532321792,34,29
1532322753,45,36
1532323462,35,37
1532324184,36,40
1532324902,33,32
1532325641,29,51
1532326581,67,47
1532327541,47,40
1532328249,44,51
1532328970,54,44
1532329942,49,55
1532330670,48,40
1532331391,39,55
1532332345,67,27
1532333310,35,49
1532334034,50,48
1532334745,46,42
1532335463,42,27
1532336439,37,34
1532337146,35,62
1532337854,68,36
1532338573,33,35
1532339293,29,29
1532340019,36,52
1532341737,72,63
1532342435,43,35
1532343139,43,58
1532343869,45,44
1532344581,59,55
1532345303,49,43
1532346020,42,42
1532346741,44,38
1532347467,23,27
1532348182,43,34
1532348900,31,42
1532349622,46,33
1532350341,28,31
1532351064,35,35
1532351783,35,42
1532352586,38,37
1532353231,36,49
1532353946,51,36
1532354664,31,63
1532355385,53,42
1532356101,46,46
1532356822,53,37
1532357543,31,34
1532358263,32,52
1532358991,45,56
1532359697,49,38
1532360426,44,36
1532361140,38,36
1532361875,45,39
1532362581,41,33
1532363302,27,36
1532364268,48,59
1532364978,49,23
1532365721,31,29
1532366422,26,69
1532367149,65,25
1532367864,17,24
1532368581,25,45
1532369305,46,38
1532370017,43,38
1532370753,32,36
1532371471,39,36
1532372178,38,32
1532372907,27,17
1532373629,23,30
1532374344,35,39
1532375064,34,34
1532375780,34,38
1532376515,23,22
1532377465,32,31
1532378187,23,37
1532380126,67,67
1532380817,41,31
1532381548,35,58
1532382260,43,36
1532382980,34,38
1532383960,39,51
1532384663,44,35
1532385383,35,30
1532386348,46,22
1532387056,31,29
1532387781,34,31
1532388489,31,27
1532389224,29,47
1532389929,34,32
1532390655,27,34
1532391622,36,42
1532392332,33,20
1532393055,21,37
1532394040,39,48
1532394745,42,39
1532395487,44,20
1532396179,25,38
1532396904,27,33
1532397883,26,48
1532398586,42,27
1532399315,18,29
1532400018,24,27
1532400746,31,21
1532401718,24,29
1532402666,31,50
1532403380,44,31
1532404106,48,49
1532404826,42,22
1532405548,30,37
1532406262,31,40
1532406996,39,32
1532407701,30,36
1532408438,38,18
1532409130,26,31
1532409851,28,30
1532410571,22,35
1532411290,37,51
1532412037,56,30
1532412750,37,57
1532413467,62,42
1532414181,43,39
1532414903,38,47
1532415633,48,53
1532416346,51,135
1532417062,65,62
1532417784,43,39
1532418756,43,52
1532419714,64,32
1532420416,125,72
1532421153,78,44
1532421861,61,34
1532422854,35,82
1532423802,90,76
1532424498,51,50
1532425227,57,45
1532426185,45,40
1532426904,37,41
1532427624,45,14
1532428345,21,38
1532429068,52,27
1532430034,37,20
1532430742,25,42
1532431465,31,25
1532432183,24,20
1532432911,34,27
1532433656,28,32
1532434362,29,40
1532435062,41,52
1532435782,47,47
1532436505,32,27
1532437239,38,40
1532438188,39,42
1532439151,41,50
1532440111,65,60
1532440823,49,50
1532441795,58,36
1532442500,39,50
1532443228,46,48
1532443940,42,35
1532444669,35,52
1532445630,62,44
1532446349,37,39
1532447066,31,27
1532448034,50,46
1532448993,47,50
1532449960,62,42
1532450665,41,45
1532451380,38,31
1532452357,34,18
1532453306,38,49
1532454273,44,50
1532455231,42,46
1532455939,30,20
1532456667,27,36
1532457380,28,35
1532458110,34,38
1532458827,31,41
1532459550,47,12
1532460262,18,32
1532460981,28,48
1532461713,41,49
1532462674,49,28
1532463381,37,43
1532464102,37,45
1532464836,41,33
1532465559,24,31
1532466511,33,34
1532467218,25,33
1532467950,28,52
1532468660,47,37
1532469384,44,35
1532470352,25,38
1532471065,32,31
1532471785,31,37
1532472751,38,32
1532473717,21,18
1532474669,32,31
1532475380,31,35
1532476104,28,26
1532477077,32,52
1532478029,43,47
1532478749,34,34
1532479473,34,32
1532480440,30,24
1532481383,31,37
1532482344,43,41
1532483300,43,57
1532484281,46,37
1532485228,34,45
1532485947,29,42
1532486664,42,34
1532487377,41,40
1532488109,34,26
1532488818,21,47
1532489549,40,42
1532490260,38,50
1532490982,56,36
1532491953,42,44
1532492662,38,31
1532493384,32,22
1532494354,30,38
1532495312,40,38
1532496022,26,32
1532496755,32,57
1532497463,43,31
1532498439,41,73
1532499394,75,56
1532500431,57,30
1532501063,40,50
1532501782,48,43
1532502501,48,38
1532503221,43,70
1532503948,59,55
1532504668,59,59
1532505377,52,39
1532506103,37,39
1532506821,28,35
1532507562,34,40
1532508517,42,40
1532509220,46,38
1532509941,47,46
1532510654,44,69
1532511372,47,126
1532512095,55,130
1532512836,56,98
1532513543,240,42
1532514268,40,104
