DateTime,Entries,UniqueIPs
1532121630,8232,8232
1532122592,8201,8201
1532123301,8202,8202
1532124032,8221,8221
1532124741,8218,8218
1532125467,8228,8228
1532126180,8217,8217
1532128122,8113,8113
1532128817,8181,8181
1532129549,8188,8188
1532130507,8181,8181
1532131222,8203,8203
1532131952,8202,8202
1532132661,8210,8210
1532133382,8212,8212
1532134335,8207,8207
1532135051,8206,8206
1532135787,8205,8205
1532136487,8201,8201
1532137210,8216,8216
1532138172,8204,8204
1532138890,8189,8189
1532139616,8189,8189
1532140336,8191,8191
1532141051,8200,8200
1532141769,8196,8196
1532142491,8195,8195
1532143209,8200,8200
1532144192,8171,8171
1532145139,8183,8183
1532145861,8205,8205
1532146822,8204,8204
1532147791,8194,8194
1532148748,8209,8209
1532149718,8156,8156
1532150666,8177,8177
1532151628,8193,8193
1532152583,8208,8208
1532153556,8185,8185
1532154261,8183,8183
1532154988,8158,8158
1532155704,8179,8179
1532156427,8108,8108
1532157141,8196,8196
1532157867,8208,8208
1532158580,8215,8215
1532159413,8203,8203
1532160024,8199,8199
1532160733,8184,8184
1532161453,8161,8161
1532162170,8167,8167
1532162895,8213,8213
1532163867,8233,8233
1532164572,8211,8211
1532165290,8218,8218
1532166012,8224,8224
1532166752,8235,8235
1532167467,8193,8193
1532168189,8210,8210
1532168899,8219,8219
1532169627,8216,8216
1532170339,8208,8208
1532171065,8225,8225
1532171786,8236,8236
1532172503,8215,8215
1532173219,8236,8236
1532173943,8230,8230
1532174665,8234,8234
1532175403,8203,8203
1532176344,8231,8231
1532177054,8222,8222
1532177769,8164,8164
1532178739,8132,8132
1532179450,8222,8222
1532180173,8238,8238
1532181139,8228,8228
1532181855,8266,8266
1532182577,8253,8253
1532183538,8255,8255
1532184254,8244,8244
1532184970,8230,8230
1532185939,8216,8216
1532186927,8235,8235
1532187869,8137,8137
1532188840,8253,8253
1532189785,8248,8248
1532190489,8266,8266
1532191217,8231,8231
1532191928,8259,8259
1532192660,8224,8224
1532193370,8235,8235
1532194093,8208,8208
1532195057,8261,8261
1532195767,8264,8264
1532196499,8278,8278
1532197208,8247,8247
1532197940,8245,8245
1532198650,8198,8198
1532199371,8212,8212
1532200090,8264,8264
1532200807,8251,8251
1532201552,8274,8274
1532202271,8267,8267
1532202978,8275,8275
1532203704,8288,8288
1532204424,8215,8215
1532205144,8297,8297
1532205870,8304,8304
1532206585,8271,8271
1532207305,8271,8271
1532208026,8275,8275
1532208744,8265,8265
1532209468,8246,8246
1532210183,8253,8253
1532210905,8246,8246
1532211620,8242,8242
1532212347,8235,8235
1532213065,8233,8233
1532213778,8233,8233
1532214515,8248,8248
1532215466,8234,8234
1532216180,8232,8232
1532216905,8219,8219
1532217631,8216,8216
1532218354,8227,8227
1532219062,8181,8181
1532219782,8130,8130
1532220508,8212,8212
1532221236,8209,8209
1532222193,8219,8219
1532223150,8207,8207
1532223860,8223,8223
1532224583,8190,8190
1532225305,8214,8214
1532226028,8217,8217
1532226746,8218,8218
1532227466,8217,8217
1532228177,8221,8221
1532228914,8214,8214
1532229617,8197,8197
1532230351,8200,8200
1532231066,8202,8202
1532231787,8202,8202
1532232752,8208,8208
1532233460,8200,8200
1532234186,8104,8104
1532234904,8173,8173
1532235636,8199,8199
1532236594,8195,8195
1532237797,8195,8195
1532238747,8190,8190
1532239716,8148,8148
1532240420,8053,8053
1532241147,8148,8148
1532241862,8193,8193
1532242581,8184,8184
1532243556,8173,8173
1532244261,8204,8204
1532244982,8191,8191
1532245701,8195,8195
1532246681,8062,8062
1532247385,8001,8001
1532248101,8117,8117
1532249072,8122,8122
1532249780,8182,8182
1532250516,8194,8194
1532251465,8169,8169
1532252181,8187,8187
1532252904,8121,8121
1532253639,8171,8171
1532254339,8200,8200
1532255297,8218,8218
1532256261,8188,8188
1532257228,8201,8201
1532257930,8209,8209
1532258658,8205,8205
1532259369,8167,8167
1532260116,8092,8092
1532260840,8170,8170
1532261538,8188,8188
1532262249,8161,8161
1532262972,8161,8161
1532263953,8184,8184
1532264901,8197,8197
1532265866,8160,8160
1532266580,8145,8145
1532267305,8195,8195
1532268033,8211,8211
1532268741,8173,8173
1532269463,8197,8197
1532270183,8194,8194
1532270909,8209,8209
1532271625,8233,8233
1532272345,8227,8227
1532273062,8210,8210
1532273791,8221,8221
1532274748,8234,8234
1532275742,8228,8228
1532276664,8227,8227
1532277380,8229,8229
1532279084,8232,8232
1532279780,8231,8231
1532280503,8227,8227
1532281220,8231,8231
1532281943,8219,8219
1532282670,8232,8232
1532283388,8215,8215
1532284100,8227,8227
1532284827,8207,8207
1532285784,8220,8220
1532286502,8221,8221
1532287221,8227,8227
1532287956,8220,8220
1532288911,8232,8232
1532289880,8211,8211
1532290831,8222,8222
1532291545,8186,8186
1532292265,8239,8239
1532293234,8230,8230
1532294193,8216,8216
1532294901,8236,8236
1532295623,8217,8217
1532296339,8238,8238
1532297072,8235,8235
1532297781,8210,8210
1532298510,8211,8211
1532299233,8201,8201
1532299939,8210,8210
1532300669,8207,8207
1532301629,8198,8198
1532302611,8212,8212
1532303550,8206,8206
1532304525,8163,8163
1532305216,8188,8188
1532305946,8183,8183
1532306911,8186,8186
1532307619,8117,8117
1532308357,8178,8178
1532309061,8184,8184
1532309783,8159,8159
1532310766,8194,8194
1532311468,8143,8143
1532312197,8190,8190
1532313153,8180,8180
1532314114,8170,8170
1532314821,8186,8186
1532315546,8157,8157
1532316510,8158,8158
1532317460,8158,8158
1532318426,8169,8169
1532319380,8164,8164
1532320341,8159,8159
1532321048,8149,8149
1532321792,8154,8154
1532322753,8163,8163
1532323462,8161,8161
1532324184,8157,8157
1532324902,8158,8158
1532325641,8136,8136
1532326581,8156,8156
1532327541,8163,8163
1532328249,8156,8156
1532328970,8166,8166
1532329942,8160,8160
1532330670,8168,8168
1532331391,8152,8152
1532332345,8192,8192
1532333310,8178,8178
1532334034,8180,8180
1532334745,8184,8184
1532335463,8199,8199
1532336439,8202,8202
1532337146,8175,8175
1532337854,8207,8207
1532338573,8205,8205
1532339293,8205,8205
1532340019,8189,8189
1532341737,8198,8198
1532342435,8206,8206
1532343139,8191,8191
1532343869,8192,8192
1532344581,8196,8196
1532345303,8202,8202
1532346020,8202,8202
1532346741,8208,8208
1532347467,8204,8204
1532348182,8213,8213
1532348900,8202,8202
1532349622,8215,8215
1532350341,8212,8212
1532351064,8212,8212
1532351783,8205,8205
1532352586,8206,8206
1532353231,8193,8193
1532353946,8208,8208
1532354664,8176,8176
1532355385,8187,8187
1532356101,8187,8187
1532356822,8203,8203
1532357543,8200,8200
1532358263,8180,8180
1532358991,8169,8169
1532359697,8180,8180
1532360426,8188,8188
1532361140,8190,8190
1532361875,8196,8196
1532362581,8204,8204
1532363302,8195,8195
1532364268,8184,8184
1532364978,8210,8210
1532365721,8212,8212
1532366422,8169,8169
1532367149,8209,8209
1532367864,8202,8202
1532368581,8182,8182
1532369305,8190,8190
1532370017,8195,8195
1532370753,8191,8191
1532371471,8194,8194
1532372178,8200,8200
1532372907,8210,8210
1532373629,8203,8203
1532374344,8199,8199
1532375064,8199,8199
1532375780,8195,8195
1532376515,8196,8196
1532377465,8197,8197
1532378187,8183,8183
