DateTime,Entries,UniqueIPs
1531832738,6097,6097
1531833928,6136,6136
1531834945,6086,6086
1531836865,6206,6206
1531838555,6238,6238
1531839386,6256,6256
1531840477,6167,6167
1531842160,6156,6156
1531844072,6172,6172
1531845751,6172,6172
1531847679,6191,6191
1531848942,6173,6173
1531850128,6176,6176
1531851343,6200,6200
1531852868,6148,6148
1531853790,6175,6175
1531855706,6178,6178
1531856543,6175,6175
1531858466,6220,6220
1531859318,6277,6277
1531860990,6294,6294
1531862137,6269,6269
1531863751,6270,6270
1531865440,6261,6261
1531867352,6238,6238
1531868188,6300,6300
1531869272,6178,6178
1531870883,6139,6139
1531872869,6209,6209
1531873715,6225,6225
1531875390,6218,6218
1531876476,6198,6198
1531878156,6155,6155
1531879840,6185,6185
1531881751,6180,6180
1531883681,6195,6195
1531885355,6241,6241
1531887051,6265,6265
1531889803,6299,6299
1531890869,6296,6296
1531891719,6315,6315
1531894475,6237,6237
1531895665,6258,6258
1531898070,6291,6291
1531899755,6266,6266
1531901673,6329,6329
1531902504,6347,6347
1531904027,6335,6335
1531905280,6314,6314
1531906836,6318,6318
1531907786,6336,6336
1531908931,6352,6352
1531910498,6319,6319
1531911940,6307,6307
1531913442,6277,6277
1531914147,6293,6293
1531914988,6315,6315
1531916071,6283,6283
1531917687,6224,6224
1531918593,6251,6251
1531919676,6222,6222
1531920512,6321,6321
1531922198,6314,6314
1531923339,6244,6244
1531924953,6229,6229
1531926132,6185,6185
1531927237,6247,6247
1531928545,6188,6188
1531930475,6212,6212
1531931305,6227,6227
1531933004,6174,6174
1531934143,6180,6180
1531935351,6165,6165
1531936531,6206,6206
1531937675,6257,6257
1531938510,6281,6281
1531940126,6224,6224
1531942112,6216,6216
1531943792,6188,6188
1531944864,6151,6151
1531946554,6100,6100
1531948477,6089,6089
1531949736,6129,6129
1531952074,6126,6126
1531953676,6098,6098
1531954588,6123,6123
1531955739,6093,6093
1531957255,6099,6099
1531959038,6136,6136
1531960951,6144,6144
1531962325,6152,6152
1531963723,6228,6228
1531965396,6230,6230
1531966542,6242,6242
1531967895,6242,6242
1531968169,6246,6246
1531969001,6266,6266
1531970142,6265,6265
1531971756,6234,6234
1531972589,6275,6275
1531973668,6264,6264
1531975271,6273,6273
1531976200,6302,6302
1531977279,6331,6331
1531978108,6357,6357
1531979262,6342,6342
1531980642,6372,6372
1531983386,6436,6436
1531984527,6463,6463
1531985323,6488,6488
1531986925,6461,6461
1531988082,6456,6456
1531989933,6484,6484
1531991664,6505,6505
1531992505,6537,6537
1531994186,6507,6507
1531995291,6525,6525
1531996538,6494,6494
1531997738,6565,6565
1531998873,6595,6595
1532000476,6529,6529
1532001398,6559,6559
1532002464,6564,6564
1532004522,6583,6583
1532005838,6553,6553
1532006905,6593,6593
1532008591,6554,6554
1532009681,6532,6532
1532011347,6517,6517
1532012185,6553,6553
1532013278,6569,6569
1532014865,6558,6558
1532016190,6616,6616
1532017856,6594,6594
1532019357,6670,6670
1532020480,6725,6725
1532022159,6764,6764
1532024071,6803,6803
1532025749,6826,6826
1532027673,6832,6832
1532028513,6852,6852
1532029356,6826,6826
1532030201,6880,6880
1532031338,6805,6805
1532032112,6822,6822
1532033785,6851,6851
1532034885,6854,6854
1532036131,6837,6837
1532038239,6817,6817
1532039312,6837,6837
1532041538,6781,6781
1532042933,6810,6810
1532045437,6763,6763
1532047352,6797,6797
1532048200,6814,6814
1532049274,6763,6763
1532050119,6780,6780
1532050947,6741,6741
1532052349,6741,6741
1532053848,6730,6730
1532054558,6745,6745
1532055402,6766,6766
1532057314,6788,6788
1532058156,6719,6719
1532060067,6751,6751
1532061763,6754,6754
1532062587,6817,6817
1532063744,6826,6826
1532064510,6862,6862
1532066133,6892,6892
1532067276,6912,6912
1532068536,6892,6892
1532070331,6852,6852
1532070881,6889,6889
1532073388,6894,6894
1532074475,6873,6873
1532076128,6907,6907
1532078066,6948,6948
1532079327,6910,6910
1532080586,6918,6918
1532081740,6922,6922
1532082932,6919,6919
1532084738,6908,6908
1532085272,6927,6927
1532086106,6941,6941
1532087734,6902,6902
1532088873,6893,6893
1532089711,6944,6944
1532091031,6827,6827
1532092236,6860,6860
1532092472,6870,6870
1532093741,6852,6852
1532095609,6868,6868
1532097333,6814,6814
1532097756,6818,6818
1532098599,6854,6854
1532099682,6825,6825
1532101271,6835,6835
1532103266,6875,6875
1532104953,6882,6882
1532105797,6913,6913
1532106878,6878,6878
1532107716,6900,6900
1532110238,6786,6786
1532112146,6774,6774
1532114072,6755,6755
1532115857,6794,6794
1532117672,6763,6763
1532118521,6790,6790
1532119352,6701,6701
1532120192,6718,6718
1532121334,6678,6678
1532122539,6704,6704
1532124644,6685,6685
1532127388,6701,6701
1532128473,6710,6710
1532132079,6625,6625
1532132923,6645,6645
1532133746,6573,6573
1532135677,6539,6539
1532137364,6465,6465
1532138191,6474,6474
1532139278,6462,6462
1532140551,6458,6458
1532141794,6493,6493
1532142878,6454,6454
1532144550,6410,6410
1532145768,6401,6401
1532147619,6385,6385
1532149544,6357,6357
1532150909,6375,6375
1532152542,6341,6341
1532153666,6304,6304
1532155276,6263,6263
1532157266,6316,6316
1532158112,6350,6350
1532159786,6323,6323
1532160876,6319,6319
1532162474,6284,6284
1532163935,6271,6271
1532165467,6264,6264
1532166151,6283,6283
1532168077,6248,6248
1532168912,6287,6287
1532169754,6180,6180
1532171133,6215,6215
1532171705,6242,6242
1532172941,6221,6221
1532174187,6240,6240
1532175275,6197,6197
1532176107,6219,6219
1532176959,6170,6170
1532177802,6179,6179
1532178944,6144,6144
1532180464,6111,6111
1532181832,6129,6129
1532183315,6149,6149
1532184153,6105,6105
1532186067,6057,6057
1532187746,6001,6001
1532189679,6012,6012
1532190511,6028,6028
1532191830,5906,5906
1532193045,5871,5871
1532194257,5825,5825
1532195373,5842,5842
1532196872,5799,5799
1532198470,5755,5755
1532200466,5739,5739
1532201315,5762,5762
1532202147,5753,5753
1532203840,5709,5709
1532205749,5768,5768
1532207138,5755,5755
1532208418,5779,5779
1532209354,5750,5750
1532210188,5770,5770
1532211267,5753,5753
1532212116,5764,5764
1532213664,5753,5753
1532214867,5689,5689
1532215707,5702,5702
1532216560,5617,5617
1532217400,5662,5662
1532218473,5643,5643
1532219739,5619,5619
1532220935,5642,5642
1532222145,5641,5641
1532223348,5648,5648
1532224531,5683,5683
1532225743,5663,5663
1532227367,5613,5613
1532228192,5628,5628
1532229343,5638,5638
1532230110,5647,5647
1532231792,5609,5609
1532232939,5555,5555
1532233719,5569,5569
1532234554,5459,5459
1532235398,5512,5512
1532236544,5477,5477
1532238069,5417,5417
1532239390,5420,5420
1532241050,5349,5349
1532242227,5360,5360
1532243678,5342,5342
1532244507,5375,5375
1532245347,5319,5319
1532247008,5277,5277
1532248868,5162,5162
1532249788,5173,5173
1532250938,5226,5226
1532252314,5196,5196
1532254238,5192,5192
1532254500,5208,5208
1532256149,5194,5194
1532257532,5193,5193
1532258906,5236,5236
1532259759,5186,5186
1532261668,5173,5173
1532262932,5122,5122
1532264127,5159,5159
1532265280,5122,5122
1532266867,5088,5088
1532268239,4941,4941
1532269723,4950,4950
1532271038,4875,4875
1532272471,4855,4855
1532273740,4881,4881
1532276077,4858,4858
1532278604,4845,4845
1532279677,4817,4817
1532280933,4813,4813
1532282141,4838,4838
1532283336,4837,4837
1532284127,4854,4854
1532285788,4832,4832
