DateTime,AddedIPs,RemovedIPs
1531838549,84,50
1531839381,22,1
1531840468,37,136
1531842151,68,81
1531844067,110,60
1531845745,65,69
1531846860,55,75
1531847669,38,1
1531848935,72,81
1531850114,39,31
1531851333,69,40
1531852863,44,99
1531853783,33,0
1531854923,51,61
1531855700,26,0
1531856538,46,51
1531858459,74,33
1531859308,68,1
1531860980,93,94
1531862127,30,57
1531863741,36,46
1531865433,55,58
1531867346,55,84
1531868182,63,0
1531869266,29,163
1531870869,81,115
1531872863,128,68
1531873708,35,0
1531875383,68,87
1531876470,46,66
1531878150,84,128
1531879833,80,40
1531881744,70,65
1531883675,61,74
1531885347,93,60
1531887039,81,55
1531888956,69,65
1531889796,24,0
1531890862,44,56
1531891713,30,0
1531894468,99,201
1531895643,72,52
1531898064,110,81
1531899749,99,141
1531901668,127,40
1531902499,24,0
1531904020,68,88
1531905266,47,67
1531906830,88,82
1531907780,34,0
1531908924,87,86
1531910492,64,111
1531911931,50,58
1531913431,48,91
1531914140,32,17
1531914982,33,0
1531916065,58,88
1531917667,105,164
1531918587,42,1
1531919671,55,91
1531920506,104,0
1531922191,88,81
1531923330,56,126
1531924948,57,70
1531927231,117,101
1531928539,55,121
1531930466,103,69
1531931299,23,4
1531932998,31,105
1531934137,50,38
1531935344,74,79
1531936525,65,22
1531937666,66,20
1531938504,31,1
1531940119,92,119
1531942106,61,63
1531943786,72,111
1531944858,39,73
1531946549,60,128
1531948471,82,97
1531949729,64,36
1531951839,86,80
1531952068,3,0
1531953670,46,85
1531954582,31,1
1531955726,35,72
1531957249,54,53
1531959032,83,56
1531960943,109,102
1531962311,57,65
1531963716,92,0
1531965025,71,87
1531965388,10,1
1531966530,77,56
1531967881,44,45
1531968157,7,0
1531968989,26,0
1531970130,45,49
1531971750,50,71
1531972583,47,1
1531973662,44,69
1531975264,78,70
1531976194,41,0
1531977273,82,50
1531978101,31,1
1531979251,67,76
1531980628,72,36
1531983379,146,75
1531984522,66,46
1531985312,35,1
1531986920,64,92
1531988073,57,76
1531989926,78,48
1531991658,88,57
1531992499,38,1
1531994180,83,117
1531995282,53,32
1531996532,59,91
1531997732,106,26
1531998866,66,41
1532000461,90,185
1532001393,42,0
1532002458,64,42
1532004516,108,78
1532005832,78,114
1532006899,56,1
1532008585,94,126
1532009671,43,71
1532011340,63,96
