DateTime,Entries,UniqueIPs
1531838549,17221,17221
1531839381,17242,17242
1531840468,17143,17143
1531842151,17130,17130
1531844067,17180,17180
1531845745,17176,17176
1531846860,17156,17156
1531847669,17193,17193
1531848935,17184,17184
1531850114,17192,17192
1531851333,17221,17221
1531852863,17166,17166
1531853783,17199,17199
1531854923,17189,17189
1531855700,17215,17215
1531856538,17210,17210
1531858459,17251,17251
1531859308,17318,17318
1531860980,17317,17317
1531862127,17290,17290
1531863741,17280,17280
1531865433,17277,17277
1531867346,17248,17248
1531868182,17311,17311
1531869266,17177,17177
1531870869,17143,17143
1531872863,17203,17203
1531873708,17238,17238
1531875383,17219,17219
1531876470,17199,17199
1531878150,17155,17155
1531879833,17195,17195
1531881744,17200,17200
1531883675,17187,17187
1531885347,17220,17220
1531887039,17246,17246
1531888956,17250,17250
1531889796,17274,17274
1531890862,17262,17262
1531891713,17292,17292
1531894468,17190,17190
1531895643,17210,17210
1531898064,17239,17239
1531899749,17197,17197
1531901668,17284,17284
1531902499,17308,17308
1531904020,17288,17288
1531905266,17268,17268
1531906830,17274,17274
1531907780,17308,17308
1531908924,17309,17309
1531910492,17262,17262
1531911931,17254,17254
1531913431,17211,17211
1531914140,17226,17226
1531914982,17259,17259
1531916065,17229,17229
1531917667,17170,17170
1531918587,17211,17211
1531919671,17175,17175
1531920506,17279,17279
1531922191,17286,17286
1531923330,17216,17216
1531924948,17203,17203
1531927231,17219,17219
1531928539,17153,17153
1531930466,17187,17187
1531931299,17206,17206
1531932998,17132,17132
1531934137,17144,17144
1531935344,17139,17139
1531936525,17182,17182
1531937666,17228,17228
1531938504,17258,17258
1531940119,17231,17231
1531942106,17229,17229
1531943786,17190,17190
1531944858,17156,17156
1531946549,17088,17088
1531948471,17073,17073
1531949729,17101,17101
1531951839,17107,17107
1531952068,17110,17110
1531953670,17071,17071
1531954582,17101,17101
1531955726,17064,17064
1531957249,17065,17065
1531959032,17092,17092
1531960943,17099,17099
1531962311,17091,17091
1531963716,17183,17183
1531965025,17167,17167
1531965388,17176,17176
1531966530,17197,17197
1531967881,17196,17196
1531968157,17203,17203
1531968989,17229,17229
1531970130,17225,17225
1531971750,17204,17204
1531972583,17250,17250
1531973662,17225,17225
1531975264,17233,17233
1531976194,17274,17274
1531977273,17306,17306
1531978101,17336,17336
1531979251,17327,17327
1531980628,17363,17363
1531983379,17434,17434
1531984522,17454,17454
1531985312,17488,17488
1531986920,17460,17460
1531988073,17441,17441
1531989926,17471,17471
1531991658,17502,17502
1531992499,17539,17539
1531994180,17505,17505
1531995282,17526,17526
1531996532,17494,17494
1531997732,17574,17574
1531998866,17599,17599
1532000461,17504,17504
1532001393,17546,17546
1532002458,17568,17568
1532004516,17598,17598
1532005832,17562,17562
1532006899,17617,17617
1532008585,17585,17585
1532009671,17557,17557
1532011340,17524,17524
1532012179,17575,17575
1532013272,17575,17575
1532014858,17542,17542
1532016181,17610,17610
1532017838,17581,17581
1532019347,17677,17677
1532020472,17733,17733
1532022153,17784,17784
1532024066,17840,17840
1532025742,17863,17863
1532027667,17867,17867
1532028507,17893,17893
1532029350,17861,17861
1532030193,17919,17919
1532031327,17852,17852
1532032106,17879,17879
1532033778,17899,17899
1532034879,17900,17900
1532036121,17881,17881
1532038233,17877,17877
1532039306,17904,17904
1532041532,17808,17808
1532042926,17852,17852
1532045431,17792,17792
1532047346,17837,17837
1532048195,17866,17866
1532049268,17806,17806
1532050111,17829,17829
1532050941,17772,17772
1532052341,17782,17782
1532053838,17781,17781
1532054550,17817,17817
1532055394,17846,17846
1532057307,17856,17856
1532058148,17761,17761
1532060061,17802,17802
1532061755,17782,17782
1532062582,17850,17850
1532063735,17858,17858
1532064503,17900,17900
1532066127,17922,17922
1532067270,17921,17921
1532068529,17907,17907
1532070326,17865,17865
1532070871,17912,17912
1532073381,17951,17951
1532074469,17930,17930
1532076120,17960,17960
1532078060,17997,17997
1532079320,17955,17955
1532080581,17964,17964
1532081731,17975,17975
1532082926,17980,17980
1532084732,17960,17960
1532085266,17989,17989
1532086100,18015,18015
1532087728,17957,17957
1532088867,17936,17936
1532089705,17997,17997
1532091026,17870,17870
