DateTime,AddedIPs,RemovedIPs
1529219687,1,0
1529230480,0,1
1529232638,0,1
1529236745,1,0
1529246145,0,1
1529247335,1,0
1529250518,0,1
1529280931,0,1
1529282249,1,0
1529295281,2,0
1529296844,0,2
1529298873,0,1
1529316880,0,4
1529318558,2,0
1529319413,2,0
1529334873,3,0
1529344534,0,7
1529380403,0,1
1529381677,1,0
1529383260,1,0
1529384731,1,0
1529388872,0,1
1529393459,1,0
1529402640,0,1
1529405737,1,0
1529409647,2,0
1529412531,0,8
1529417439,0,1
1529422957,0,1
1529426567,1,0
1529453675,1,0
1529462575,0,1
1529489671,0,3
1529491358,0,1
1529494506,1,0
1529500483,1,0
1529505050,0,1
1529507676,2,0
1529526509,1,0
1529528087,0,1
1529530116,1,0
1529547043,1,0
1529550885,0,1
1529552486,0,1
1529554247,1,0
1529555325,1,0
1529566951,1,0
1529593537,0,1
1529594921,1,0
1529595764,0,1
1529599360,1,0
1529606271,0,1
1529638971,0,1
1529642558,1,1
1529643943,0,1
1529649758,1,0
1529657794,0,1
1529662485,1,0
1529665544,0,1
1529669672,0,1
1529670528,1,0
1529673280,1,1
1529678567,0,1
1529681448,0,2
1529684083,0,1
1529685766,1,0
1529699316,0,1
1529725379,0,1
1529727270,0,1
1529732554,0,1
1529747794,9,0
1529748943,0,1
1529754065,1,3
1529757810,0,1
1529760338,1,0
1529766872,2,1
1529768565,0,3
1529770472,0,3
1529778524,2,0
1529782117,1,0
1529811759,0,2
1529816203,0,1
1529818128,1,0
1529823333,0,1
1529826216,0,1
1529828073,0,1
1529830239,1,0
1529838345,0,1
1529841061,0,1
1529844994,0,1
1529848648,1,0
1529856938,1,1
1529858566,1,0
1529861132,2,0
1529862343,0,1
1529867743,1,0
1529871286,1,0
1529882079,0,1
1529885700,1,0
1529899007,0,1
1529900075,1,1
1529904817,1,0
1529908126,2,0
1529914550,0,1
1529916993,1,0
1529919759,0,1
1529923369,0,2
1529926469,1,1
1529939744,2,0
1529951646,0,1
1529970162,0,1
1529988164,1,1
1529992595,2,0
1529998961,0,1
1530004485,2,1
1530006260,1,0
1530010604,1,0
1530016405,0,1
1530027648,0,1
1530041329,0,1
1530052958,4,0
1530062142,0,1
1530071832,0,1
