DateTime,AddedIPs,RemovedIPs
1532112213,10,3
1532112935,7,7
1532113893,8,11
1532114614,6,6
1532115333,9,6
1532116052,10,5
1532116772,7,9
1532117733,9,6
1532118693,11,11
1532119413,9,7
1532120133,7,9
1532120852,6,3
1532121573,10,5
1532122533,17,6
1532123253,10,6
1532123973,3,1
1532124694,10,11
1532125413,7,0
1532126134,4,6
1532128053,14,15
1532128773,5,1
1532129493,3,3
1532130452,6,15
1532131173,5,3
1532131893,10,6
1532132613,14,4
1532133813,6,8
1532134533,6,3
1532135252,7,2
1532136213,12,5
1532136933,8,3
1532137653,9,5
1532138373,5,5
1532139093,8,2
1532139812,6,2
1532140773,5,8
1532141493,8,4
1532142212,9,0
1532142933,2,2
1532143653,5,2
1532144617,5,3
1532145334,4,0
1532146293,6,12
1532147014,4,2
1532147733,4,1
1532148693,6,10
1532149653,9,6
1532150613,8,2
1532151573,11,4
1532152533,3,5
1532153493,12,5
1532154214,7,10
1532154933,4,6
1532155653,6,4
1532156373,2,4
1532157093,5,4
1532157814,2,8
1532158533,18,1
1532159733,10,6
1532160453,4,8
1532161172,4,5
1532161893,6,3
1532162613,7,2
1532163333,13,12
1532164293,4,7
1532165013,5,3
1532165733,6,2
1532166693,10,16
1532167414,5,6
1532168133,2,15
1532168853,4,4
1532169572,9,4
1532170293,8,3
1532171013,9,4
1532171732,5,7
1532172453,5,3
1532173174,8,11
1532173893,4,5
1532174613,5,8
1532175813,9,3
1532176533,3,3
1532177253,7,6
1532178213,3,10
1532179172,10,3
1532179893,3,4
1532180613,5,2
1532181334,7,1
1532182053,9,6
1532183013,3,5
1532183973,13,4
1532184693,4,1
1532185412,4,1
1532186132,3,1
1532186853,6,6
1532187814,7,7
1532189253,9,12
1532189973,9,8
1532190692,3,7
1532191653,6,2
1532192373,27,10
1532193094,4,31
1532193813,5,5
1532194533,5,6
1532195494,5,5
1532196213,4,3
1532196933,4,4
1532197653,5,4
1532198374,9,7
1532199092,4,6
1532199813,3,5
1532200533,8,8
1532201493,8,6
1532202213,5,8
1532202933,5,9
1532203653,5,5
1532204374,1,8
1532205093,4,10
1532205813,8,8
1532206533,4,5
1532207252,6,5
1532207973,9,6
1532208694,3,13
1532209414,2,7
1532210134,1,7
1532210853,8,5
1532211574,4,9
1532212294,3,4
1532213013,4,2
1532213733,8,4
1532214419,5,6
1532215414,6,6
1532216133,6,2
1532216853,7,5
1532217574,5,5
1532218294,1,8
1532219013,1,11
1532219734,6,6
1532220454,2,5
1532221177,5,5
1532222134,10,9
1532223093,5,9
1532223813,5,11
1532224533,3,7
1532225253,8,4
1532225973,1,7
1532226693,4,4
1532227418,1,2
1532228133,5,9
1532228853,3,6
1532229574,5,3
1532230293,0,5
1532231012,5,3
1532231742,1,2
1532232692,6,5
1532233413,7,4
1532234133,2,5
1532234853,4,3
1532235574,5,7
1532236533,4,6
1532237733,9,14
1532238693,5,3
1532239653,10,7
1532240373,5,6
1532241093,5,2
1532241812,5,7
1532242533,3,3
1532243494,2,10
1532244213,5,2
1532244932,4,16
1532245654,4,7
1532246613,4,7
1532247333,5,5
1532248054,2,2
1532249013,4,6
1532249732,2,15
1532250453,5,3
1532251413,4,3
1532252133,2,7
1532252855,4,7
1532254053,2,8
1532254773,9,2
1532255734,5,7
1532256695,8,11
1532257414,3,8
1532258132,6,6
1532259093,1,4
1532260054,6,10
1532261253,6,7
1532261973,5,5
1532262692,2,2
1532263412,3,4
1532264374,3,4
1532265094,2,8
1532265813,2,2
1532266534,6,5
1532267253,4,6
1532267973,7,7
1532268692,4,8
1532269413,4,2
1532270133,5,3
1532270853,3,6
1532271573,5,3
1532272292,2,5
1532273013,3,3
1532273733,8,5
1532274694,6,8
1532275654,6,5
1532276612,5,10
1532277333,4,2
1532279013,27,33
1532279733,16,5
1532280453,9,7
1532281173,4,4
1532281894,9,5
1532282612,8,3
1532283333,21,3
1532284053,5,4
1532284773,3,7
1532285733,5,6
1532286454,3,3
1532287174,5,10
1532287893,5,2
1532288852,7,5
1532289813,4,5
1532290773,3,6
1532291492,2,4
1532292214,3,6
1532293174,3,7
1532294133,3,9
1532294853,3,5
1532295573,3,6
1532296293,3,2
1532297014,7,4
1532297733,3,6
1532298452,7,4
1532299174,7,3
1532299896,7,13
1532300613,2,2
1532301573,2,7
1532302533,7,6
1532303494,8,8
1532304453,1,7
1532305173,2,1
1532305893,4,2
1532306852,8,6
1532308293,7,10
1532309013,7,10
1532309733,3,5
1532310693,4,4
1532311413,3,8
1532312133,2,6
1532313093,13,6
1532314054,2,5
1532314772,3,4
1532315493,5,3
1532316971,5,3
1532317894,2,6
1532318853,3,5
1532319814,7,6
1532320773,6,4
1532321733,13,3
1532322693,8,8
1532323413,4,4
1532324133,3,5
1532324853,51,5
1532326053,3,11
1532327013,3,7
1532327734,3,4
1532328453,3,4
1532329413,7,3
1532330373,7,3
1532331093,3,4
1532331813,3,3
1532332773,6,5
1532333974,8,11
1532334693,4,1
1532335412,5,5
1532336853,8,7
1532337573,1,3
1532338293,2,1
1532339013,1,4
1532339733,5,3
1532342373,17,16
1532343093,3,6
1532343813,2,3
1532344534,9,6
1532345252,2,0
1532345974,2,2
1532346693,3,4
1532347413,4,3
1532348133,7,2
1532348854,2,3
1532349573,6,2
1532350293,5,3
1532351013,6,3
1532351733,5,2
1532352453,2,0
1532353174,16,6
1532353894,8,6
1532354613,9,8
1532355333,5,0
1532356053,4,5
1532356774,6,5
1532357494,2,5
1532358213,10,4
1532358933,8,2
1532359653,7,3
1532360374,3,7
1532361093,4,5
1532361814,10,5
1532362532,2,2
1532363253,8,5
1532364213,11,5
1532364933,7,1
1532365654,8,37
1532366372,10,5
1532367093,4,3
1532367814,7,4
1532368533,9,10
1532369253,6,9
1532369973,8,18
1532370693,6,3
1532371413,7,3
1532372133,8,1
1532372853,27,2
1532373573,8,5
1532374292,7,6
1532375012,8,5
1532375733,8,4
1532376453,11,6
1532377413,9,0
1532378133,21,3
1532380054,13,7
1532380773,8,1
1532381492,5,3
1532382213,3,5
1532382935,6,4
1532383893,4,7
1532384613,8,6
1532385333,3,5
1532386773,8,16
1532387494,6,3
1532388213,7,1
1532389653,8,11
1532390374,2,7
1532391093,6,3
1532392053,5,3
1532393255,8,8
1532393975,4,7
1532394693,4,3
1532395413,5,6
1532396133,5,5
1532396854,6,4
1532397813,5,3
1532398534,6,4
1532399254,2,6
1532399973,4,3
1532400694,6,3
1532401653,5,4
1532402614,2,6
1532403332,3,3
1532404064,2,4
1532404774,2,3
1532405493,6,1
1532406214,2,10
1532406933,3,3
1532407653,2,4
1532408885,7,13
1532409573,4,4
1532410293,22,5
1532411012,2,1
1532411974,4,52
1532412693,3,1
1532413412,4,2
1532414133,6,5
1532414853,6,4
1532415573,1,7
1532416294,25,7
1532417014,4,6
1532417733,1,4
1532418692,65,7
1532419653,8,9
1532420373,2,4
1532421093,2,5
1532421813,3,5
1532422834,9,6
1532423733,7,4
1532424453,5,0
1532425173,4,3
1532426133,6,3
1532426853,5,4
1532427574,3,4
1532428294,6,3
1532429014,2,5
1532429972,5,4
1532430693,5,7
1532431413,4,4
1532432133,5,2
1532432853,6,3
1532433634,8,3
1532434293,2,5
1532435013,2,7
1532435734,7,4
1532436453,4,5
1532437654,13,9
1532438373,1,4
1532439093,2,7
1532440053,3,14
1532440773,2,9
1532441734,6,11
1532442454,2,4
1532443173,5,8
1532443893,9,2
1532444613,8,10
1532445572,6,9
1532446293,9,5
1532447013,9,6
1532447973,13,6
1532448934,6,7
1532449893,4,6
1532450613,8,10
1532451333,16,9
1532452293,9,8
1532453253,7,8
1532454213,8,8
1532455174,15,11
1532455894,86,6
1532456613,31,5
1532457334,7,11
1532458054,11,6
1532458773,4,6
1532459493,7,30
1532460213,7,9
1532460934,7,8
1532461652,4,6
1532462614,9,12
1532463333,4,10
1532464053,5,8
1532464772,10,8
1532465493,10,11
1532466453,7,2
1532467174,6,6
1532467893,6,6
1532468613,4,3
1532469333,5,10
1532470293,2,6
1532471013,3,5
1532471734,4,4
1532472693,8,3
1532473653,48,4
1532474613,6,9
1532475334,4,9
1532476053,4,0
1532477014,4,4
1532477986,1,9
1532478695,8,0
1532479414,10,5
1532480852,15,9
1532481814,2,8
1532482773,6,7
1532483494,3,6
1532484213,6,5
1532485173,11,5
1532485893,11,3
1532486613,16,5
1532487333,6,4
1532488053,12,3
1532488772,7,2
1532489494,5,5
1532490213,6,2
1532490932,6,1
1532491894,5,6
1532492613,3,2
1532493333,4,4
1532494292,11,4
1532495254,3,4
1532495973,2,3
1532496693,2,19
1532497412,4,1
1532498372,5,3
1532499333,3,7
1532500292,3,6
1532501013,63,6
1532501734,11,5
1532502454,4,5
1532503174,2,1
1532503893,8,4
1532504612,2,54
1532505333,8,13
1532506052,3,3
1532506773,45,2
1532507973,9,2
1532508933,9,9
1532509653,1,2
1532510374,3,5
1532511093,7,5
1532511813,3,2
1532512773,7,1
1532513492,4,5
1532514214,4,6
