DateTime,AddedIPs,RemovedIPs
1529878803,129,148
1529884562,67,106
1529890322,115,155
1529896083,111,137
1529903763,136,156
1529907603,90,62
1529913363,111,109
1529920083,62,65
1529923922,116,85
1529929683,117,89
1529937603,69,62
1529941443,64,67
1529943363,82,74
1529947202,75,79
1529951043,93,70
1529954883,84,75
1529960883,136,134
1529964723,79,86
1529970482,124,206
1529976243,65,79
1529980083,141,145
1529988003,77,102
1529991843,82,84
1529997604,140,115
1530001684,110,111
1530012243,120,86
1530016083,57,64
1530021845,112,90
1530025683,55,61
1530031442,84,73
1530037203,155,90
1530041042,83,83
1530047763,123,145
1530053522,119,166
1530061444,125,165
1530067202,156,157
1530074883,86,109
1530076803,91,86
1530084483,148,127
1530088323,84,72
1530090245,67,65
1530094086,76,49
1530097923,68,53
1530103684,120,111
1530111363,110,106
1530117363,69,55
1530121202,84,74
1530127204,163,121
1530131284,77,90
1530134163,58,82
1530141844,112,171
1530147613,126,153
1530153603,128,135
1530159362,91,110
1530167044,158,141
1530172818,75,59
1530176883,131,104
1530182643,56,72
1530188654,117,92
1530194416,107,163
1530202322,161,115
1530210002,156,119
1530216017,143,128
1530221762,110,147
1530227762,82,110
1530233764,149,172
1530238804,82,73
1530243124,86,101
1530248883,126,164
1530252963,88,66
1530256803,82,62
1530262563,126,127
1530270483,123,123
1530276243,77,53
1530280083,116,98
1530286804,112,128
1530292563,102,117
1530297124,122,74
1530299286,76,132
1530305044,138,88
1530308883,80,79
1530312722,72,82
1530316563,127,138
1530322323,46,79
1530326163,70,82
1530330004,76,79
1530333843,71,100
1530339604,148,119
1530343443,67,60
1530347284,63,73
1530354003,124,100
1530359762,114,90
1530367683,142,100
1530373442,69,70
1530379203,129,135
1530384963,126,127
1530390722,88,90
1530394563,112,136
1530401044,69,99
1530405124,144,89
1530411124,159,133
1530418804,143,195
1530426483,174,151
1530430564,76,43
1530432483,76,62
1530440405,142,109
1530446164,130,110
1530450019,65,65
1530456244,79,88
1530460565,135,120
1530468483,124,107
1530476405,141,109
1530480244,80,68
1530484083,55,84
1530489843,137,174
1530495603,102,124
1530503283,83,66
1530505205,90,118
1530509765,145,137
1530519363,76,67
1530523203,127,113
1530527283,70,55
1530533043,116,100
1530539044,77,112
1530544803,142,114
1530550564,135,114
1530556323,97,80
1530562083,140,149
1530568563,80,93
1530572426,114,169
1530578163,93,95
1530582003,57,74
1530583924,75,78
1530589683,75,81
1530593523,152,174
1530601218,85,68
1530603124,68,60
1530606963,73,69
1530610805,115,107
1530618723,111,131
1530624723,160,107
1530632405,72,72
1530636725,152,99
1530644643,93,72
1530649205,142,111
1530653525,75,85
1530659524,109,191
1530665283,103,117
1530667203,58,62
1530673222,85,68
1530675123,146,193
1530683044,64,84
1530688805,143,91
1530695763,115,116
1530699605,67,73
1530703682,73,51
1530708725,115,103
1530714724,69,60
1530721204,114,117
1530725043,154,124
1530732963,72,76
1530737044,70,70
1530740883,83,76
1530746643,125,166
1530750483,94,110
1530756486,114,145
1530762243,78,77
1530766323,150,182
1530772323,89,70
1530776163,84,66
1530780005,80,66
1530783843,83,64
1530786004,55,48
1530789845,79,72
1530795845,116,103
1530803764,97,93
1530809523,75,85
1530813363,131,107
1530817224,83,71
1530825845,146,145
1530831628,114,182
1530839524,111,146
1530845283,75,55
1530849124,71,91
1530851044,74,107
1530856821,170,142
1530862564,84,65
1530866404,70,54
1530868324,56,71
1530874564,64,60
1530879364,142,96
1530883923,58,69
1530890403,112,103
1530898083,107,103
1530905763,118,117
1530909603,66,79
1530913443,64,67
1530917283,99,137
1530924963,132,146
1530930724,79,73
1530934563,64,87
1530938643,91,90
1530942482,63,82
1530946323,71,59
1530950163,121,86
1530956884,67,68
1530960963,116,73
1530966725,59,61
1530972483,62,54
1530976564,114,113
1530982563,78,67
1530984483,71,83
1530988325,73,77
1530992164,83,67
1530997924,102,118
1531003683,62,77
1531005843,63,88
1531011620,117,152
1531019283,144,159
1531023363,93,130
1531031044,177,133
1531034884,61,58
1531038725,74,53
1531044483,114,95
1531050483,110,84
1531056244,68,71
1531062723,111,102
1531066804,67,73
1531070643,85,68
1531074727,80,59
1531080722,117,121
1531084563,79,84
1531088643,62,96
1531092483,52,103
1531095362,80,98
1531101123,118,127
1531105443,79,77
1531111443,148,164
1531117202,94,80
1531121042,65,58
1531124883,67,60
1531129684,129,85
1531135443,60,64
1531139525,62,68
1531143364,59,61
1531149124,117,86
1531152963,66,63
1531158723,149,119
1531164487,108,75
1531168325,67,78
1531174083,109,153
1531178163,63,108
1531183923,107,146
1531191621,132,140
1531197364,79,98
1531201444,167,129
1531209124,88,101
1531217762,115,96
1531225443,114,85
1531229524,64,56
1531235283,113,102
1531242963,119,96
1531246804,78,79
1531254483,136,120
1531261203,112,137
1531266963,136,171
1531272723,43,85
1531278723,139,125
1531284483,91,115
1531288563,137,148
1531296243,69,53
1531300083,106,100
1531305842,62,46
1531309682,54,44
1531313522,105,86
1531319282,77,62
1531323125,72,57
1531326963,63,73
1531328882,89,75
1531332722,101,76
1531338722,74,76
1531342562,112,127
1531351443,103,161
1531357217,120,149
1531364883,132,128
1531370644,85,106
1531374483,148,150
1531380243,83,54
1531386963,66,58
1531388882,113,99
1531396563,54,54
1531398483,65,51
1531404242,98,81
1531410003,74,70
