DateTime,AddedIPs,RemovedIPs
1531462101,18,17
1531464021,22,19
1531465939,16,17
1531467867,18,12
1531471695,23,36
1531473623,11,7
1531475552,8,5
1531477471,16,4
1531479373,13,0
1531481305,19,5
1531483253,22,25
1531485160,17,21
1531487081,18,10
1531488975,13,0
1531493316,22,58
1531495213,10,0
1531497145,9,10
1531499065,31,17
1531501231,5,0
1531503155,20,17
1531505066,11,3
1531506984,17,3
1531508916,3,14
1531511082,19,10
1531512979,11,5
1531514900,28,4
1531516811,17,12
1531518733,11,13
1531520911,21,0
1531522844,8,20
1531524752,7,7
1531526674,8,0
1531528635,7,15
1531531009,13,24
1531532905,10,22
1531534820,14,10
1531536741,6,19
1531538656,19,18
1531540595,17,16
1531542493,21,29
1531544434,7,0
1531548273,15,57
1531550185,3,18
1531554029,10,44
1531555958,10,17
1531557871,16,0
1531560028,17,12
1531561941,18,10
1531564108,30,8
1531566068,14,14
1531567955,7,6
1531570103,20,20
1531572022,9,14
1531573951,17,0
1531575875,24,22
1531577794,15,19
1531579714,20,13
1531581612,19,20
1531583787,16,14
1531585953,10,25
1531588111,18,22
1531590028,5,0
1531591950,10,26
1531593868,14,0
1531595795,8,15
1531597696,22,16
1531599616,12,17
1531601540,9,11
1531603461,16,16
1531607310,21,36
1531609239,5,0
1531611153,30,24
1531613062,6,17
1531614988,16,10
1531619300,16,37
1531621463,19,19
1531623384,10,14
1531625308,17,18
1531627465,6,19
1531629382,8,17
1531633702,22,53
1531635643,25,25
1531637797,6,13
1531639714,26,24
1531641656,24,27
1531643540,18,15
1531645480,11,12
1531649316,10,17
1531651227,21,26
1531653157,26,14
1531655556,21,21
1531659639,21,37
1531661539,19,19
1531663475,17,18
1531665392,14,20
1531667312,16,24
1531671393,18,29
1531673547,7,20
1531675704,11,11
1531677885,11,11
1531679792,9,21
1531682280,7,11
1531686259,11,22
1531688456,6,12
1531690839,18,21
1531692999,11,9
1531695140,18,15
1531697053,11,8
1531698974,15,5
1531700903,17,7
1531702830,10,4
1531704742,6,13
1531706668,9,8
1531708584,10,15
1531712423,13,42
1531714361,14,18
1531716269,19,16
1531718183,26,17
1531720098,23,7
1531722269,26,18
1531724202,28,18
1531726106,17,21
1531728037,20,28
1531730185,10,0
1531732102,8,9
1531734025,8,9
1531735950,3,11
1531738096,10,3
1531740027,12,7
1531742130,3,11
1531744103,17,11
1531746024,5,0
1531747941,4,17
1531749881,9,16
1531751784,9,11
1531753699,13,18
1531755616,8,15
1531757784,17,11
1531761610,12,19
1531763545,4,17
1531765694,14,13
1531767631,2,0
1531769553,10,12
1531771472,6,16
1531773408,9,6
1531775812,11,18
1531777939,5,19
1531780104,15,6
1531782032,6,3
1531783942,4,9
1531785865,4,8
1531787793,6,3
1531790209,9,16
1531792335,4,6
1531794263,26,13
1531796170,6,11
1531798099,21,17
1531800031,5,8
1531802180,6,19
1531804354,17,8
1531806254,25,9
1531808170,5,6
1531810098,23,30
1531812136,14,18
1531813947,7,23
1531816097,12,14
1531818038,12,23
1531819939,4,11
1531821881,4,0
1531823791,11,9
1531825711,13,7
1531827617,2,5
1531829642,2,0
1531831458,6,15
1531833392,2,0
1531835292,10,9
1531837208,10,11
1531839138,9,10
1531841049,17,5
1531843236,8,9
1531845149,7,9
1531847072,6,15
1531848994,4,20
1531851142,5,5
1531853059,17,24
1531854987,16,9
1531858815,11,5
1531860745,13,6
1531862652,16,0
1531864586,8,11
1531866489,24,6
1531868432,8,18
1531870362,9,0
1531872265,8,17
1531874183,9,5
1531876095,5,21
1531878027,7,17
1531879942,19,20
1531883794,12,38
1531885708,20,22
1531887618,11,10
1531889547,18,0
1531891473,31,11
1531893384,12,0
1531895290,29,30
1531897226,13,25
1531899136,12,16
1531901072,10,16
1531902970,9,20
1531904912,11,10
1531906812,4,8
1531908759,7,4
1531912597,14,16
1531914495,3,14
1531916436,1,0
1531918345,3,5
1531922174,6,28
1531924109,1,24
1531926032,8,28
1531927947,6,13
1531929861,9,15
1531931794,11,11
1531933718,4,4
1531935631,5,23
1531937545,17,7
1531939467,16,13
1531942611,10,8
1531950269,12,69
1531952170,16,0
1531954103,11,8
1531956039,18,7
1531957952,6,23
1531959853,13,0
1531961777,14,18
1531963693,8,5
1531965641,10,9
1531967560,6,6
1531969472,3,5
1531971373,11,10
1531973316,8,0
1531975465,9,26
1531977398,21,0
1531979299,31,23
1531981235,25,23
1531983641,16,19
1531985541,16,19
1531987452,21,0
1531989622,23,19
1531991543,10,11
1531993467,9,1
1531995396,6,5
1531997310,12,11
1531999230,8,13
1532001152,17,17
1532003073,24,7
1532004993,11,26
1532006891,28,0
1532008846,10,15
1532010744,22,10
1532012667,7,15
1532014578,12,18
1532016541,10,5
1532018433,12,20
1532020343,5,4
1532022267,15,0
1532024195,16,7
1532026350,2,7
1532028254,14,6
1532030170,3,24
1532032111,17,0
1532034036,8,21
1532035950,9,8
1532037860,7,8
1532039779,8,5
1532041711,10,11
1532043866,13,12
1532045793,5,8
1532049853,12,24
1532051772,6,0
1532053703,8,8
1532057549,2,19
1532059470,6,0
1532061369,5,20
1532063548,19,15
1532067393,24,31
1532069295,26,20
1532071224,19,14
1532073144,33,22
1532075063,18,0
1532076985,21,26
1532078894,12,11
1532081064,12,8
1532083228,4,18
1532085155,20,11
1532087066,25,23
1532088976,21,25
1532090894,22,21
1532092809,12,17
1532094738,11,16
1532098570,15,22
1532100494,13,7
1532102437,6,5
1532106274,15,38
1532108201,6,23
1532110118,4,7
1532112018,3,16
1532113951,17,4
1532115857,19,0
1532117802,15,33
1532119693,17,0
1532121627,14,38
1532123555,20,8
1532125464,22,0
