DateTime,Entries,UniqueIPs
1531462101,4789,4889
1531464021,4792,4892
1531465939,4790,4891
1531467867,4796,4897
1531471695,4784,4884
1531473623,4788,4888
1531475552,4791,4891
1531477471,4803,4903
1531479373,4816,4916
1531481305,4830,4930
1531483253,4826,4927
1531485160,4822,4923
1531487081,4831,4931
1531488975,4844,4944
1531493316,4810,4908
1531495213,4820,4918
1531497145,4819,4917
1531499065,4833,4931
1531501231,4836,4936
1531503155,4839,4939
1531505066,4847,4947
1531506984,4860,4961
1531508916,4849,4950
1531511082,4858,4959
1531512979,4864,4965
1531514900,4888,4989
1531516811,4892,4994
1531518733,4892,4992
1531520911,4913,5013
1531522844,4901,5001
1531524752,4901,5001
1531526674,4909,5009
1531528635,4901,5001
1531531009,4892,4990
1531532905,4881,4978
1531534820,4884,4982
1531536741,4871,4969
1531538656,4872,4970
1531540595,4873,4971
1531542493,4867,4963
1531544434,4874,4970
1531548273,4832,4928
1531550185,4817,4913
1531554029,4784,4879
1531555958,4777,4872
1531557871,4793,4888
1531560028,4798,4893
1531561941,4806,4901
1531564108,4828,4923
1531566068,4828,4923
1531567955,4830,4924
1531570103,4830,4924
1531572022,4825,4919
1531573951,4842,4936
1531575875,4845,4938
1531577794,4841,4934
1531579714,4848,4941
1531581612,4847,4940
1531583787,4851,4942
1531585953,4837,4927
1531588111,4833,4923
1531590028,4838,4928
1531591950,4823,4912
1531593868,4837,4926
1531595795,4828,4919
1531597696,4834,4925
1531599616,4828,4920
1531601540,4826,4918
1531603461,4828,4918
1531607310,4814,4903
1531609239,4819,4908
1531611153,4824,4914
1531613062,4814,4903
1531614988,4819,4909
1531619300,4798,4888
1531621463,4798,4888
1531623384,4794,4884
1531625308,4793,4883
1531627465,4780,4870
1531629382,4771,4861
1531633702,4740,4830
1531635643,4740,4830
1531637797,4735,4823
1531639714,4737,4825
1531641656,4735,4822
1531643540,4738,4825
1531645480,4735,4824
1531649316,4728,4817
1531651227,4725,4812
1531653157,4737,4824
1531655556,4737,4824
1531659639,4722,4808
1531661539,4721,4808
1531663475,4721,4807
1531665392,4716,4801
1531667312,4707,4793
1531671393,4696,4782
1531673547,4683,4769
1531675704,4683,4769
1531677885,4684,4769
1531679792,4672,4757
1531682280,4667,4753
1531686259,4656,4742
1531688456,4649,4736
1531690839,4647,4733
1531692999,4645,4735
1531695140,4648,4738
1531697053,4652,4741
1531698974,4663,4751
1531700903,4673,4761
1531702830,4679,4767
1531704742,4673,4760
1531706668,4673,4761
1531708584,4668,4756
1531712423,4639,4727
1531714361,4636,4723
1531716269,4639,4726
1531718183,4646,4735
1531720098,4662,4751
1531722269,4671,4759
1531724202,4681,4769
1531726106,4677,4765
1531728037,4671,4757
1531730185,4680,4767
1531732102,4679,4766
1531734025,4678,4765
1531735950,4670,4757
1531738096,4677,4764
1531740027,4682,4769
1531742130,4674,4761
1531744103,4679,4767
1531746024,4684,4772
1531747941,4671,4759
1531749881,4664,4752
1531751784,4662,4750
1531753699,4657,4745
1531755616,4650,4738
1531757784,4656,4744
1531761610,4649,4737
1531763545,4636,4724
1531765694,4637,4725
1531767631,4639,4727
1531769553,4637,4725
1531771472,4625,4715
1531773408,4628,4718
1531775812,4619,4711
1531777939,4605,4697
1531780104,4614,4706
1531782032,4616,4709
1531783942,4611,4704
1531785865,4607,4700
1531787793,4610,4703
1531790209,4603,4696
1531792335,4601,4694
1531794263,4614,4707
1531796170,4609,4702
1531798099,4612,4706
1531800031,4609,4703
1531802180,4596,4690
1531804354,4605,4699
1531806254,4621,4715
1531808170,4621,4714
1531810098,4614,4707
1531812136,4610,4703
1531813947,4594,4687
1531816097,4592,4685
1531818038,4582,4674
1531819939,4575,4667
1531821881,4579,4671
1531823791,4581,4673
1531825711,4586,4679
1531827617,4583,4676
1531829642,4585,4678
1531831458,4576,4669
1531833392,4578,4671
1531835292,4577,4672
1531837208,4576,4671
1531839138,4575,4670
1531841049,4587,4682
1531843236,4588,4681
1531845149,4586,4679
1531847072,4579,4670
1531848994,4563,4654
1531851142,4563,4654
1531853059,4556,4647
1531854987,4563,4654
1531858815,4569,4660
1531860745,4576,4667
1531862652,4592,4683
1531864586,4589,4680
1531866489,4606,4698
1531868432,4595,4688
1531870362,4604,4697
1531872265,4595,4688
1531874183,4599,4692
1531876095,4583,4676
1531878027,4574,4666
1531879942,4574,4665
1531883794,4551,4639
1531885708,4548,4637
1531887618,4548,4638
1531889547,4566,4656
1531891473,4586,4676
1531893384,4598,4688
1531895290,4597,4687
1531897226,4585,4675
1531899136,4582,4671
1531901072,4575,4665
1531902970,4564,4654
1531904912,4565,4655
1531906812,4561,4651
1531908759,4564,4654
1531912597,4564,4652
1531914495,4553,4641
1531916436,4554,4642
1531918345,4552,4640
1531922174,4530,4618
1531924109,4507,4595
1531926032,4487,4575
1531927947,4480,4568
1531929861,4474,4562
1531931794,4474,4562
1531933718,4474,4562
1531935631,4456,4544
1531937545,4466,4554
1531939467,4469,4557
1531942611,4470,4559
1531950269,4415,4502
1531952170,4431,4518
1531954103,4434,4521
1531956039,4445,4532
1531957952,4430,4515
1531959853,4441,4528
1531961777,4437,4524
1531963693,4440,4527
1531965641,4441,4528
1531967560,4441,4528
1531969472,4439,4526
1531971373,4438,4527
1531973316,4446,4535
1531975465,4429,4518
1531977398,4450,4539
1531979299,4460,4547
1531981235,4462,4549
1531983641,4459,4546
1531985541,4455,4543
1531987452,4476,4564
1531989622,4480,4568
1531991543,4479,4567
1531993467,4486,4575
1531995396,4487,4576
1531997310,4488,4577
1531999230,4483,4572
1532001152,4482,4572
1532003073,4499,4589
1532004993,4485,4574
1532006891,4512,4602
1532008846,4507,4597
1532010744,4519,4609
1532012667,4511,4601
1532014578,4505,4595
1532016541,4510,4600
1532018433,4502,4592
1532020343,4503,4593
1532022267,4518,4608
1532024195,4527,4617
1532026350,4521,4612
1532028254,4529,4620
1532030170,4510,4599
1532032111,4527,4616
1532034036,4514,4603
1532035950,4515,4604
1532037860,4514,4603
1532039779,4517,4606
1532041711,4517,4605
1532043866,4518,4606
1532045793,4513,4603
1532049853,4501,4591
1532051772,4507,4597
1532053703,4507,4597
1532057549,4491,4580
1532059470,4497,4586
1532061369,4482,4571
1532063548,4486,4575
1532067393,4479,4568
1532069295,4485,4574
1532071224,4489,4579
1532073144,4501,4590
1532075063,4519,4608
1532076985,4514,4603
1532078894,4515,4604
1532081064,4519,4608
1532083228,4505,4594
1532085155,4514,4603
1532087066,4515,4605
1532088976,4511,4601
1532090894,4512,4602
1532092809,4506,4597
1532094738,4501,4592
1532098570,4494,4585
1532100494,4501,4591
1532102437,4502,4592
1532106274,4479,4569
1532108201,4461,4552
1532110118,4458,4549
1532112018,4445,4536
1532113951,4458,4549
1532115857,4477,4568
1532117802,4459,4550
1532119693,4474,4567
1532121627,4451,4543
1532123555,4462,4555
1532125464,4484,4577
1532128119,4460,4554
1532130012,4466,4560
1532131949,4469,4563
1532133870,4486,4581
1532135784,4490,4586
1532137708,4483,4580
1532139613,4499,4596
1532141542,4484,4581
1532143471,4487,4584
1532145379,4489,4586
1532147291,4487,4583
1532149229,4479,4575
1532151141,4477,4573
1532153068,4496,4592
1532154984,4498,4594
1532156903,4514,4610
1532159409,4514,4610
1532161222,4515,4611
1532163130,4507,4602
1532165080,4496,4591
1532166966,4491,4586
1532168896,4502,4597
1532170827,4506,4602
1532172734,4514,4610
1532174662,4528,4625
1532176581,4522,4619
1532178736,4518,4615
1532180664,4523,4620
1532184494,4510,4607
1532186438,4481,4578
1532188337,4501,4598
1532190250,4503,4600
1532192168,4506,4603
1532194089,4501,4598
1532197936,4494,4591
1532199871,4489,4586
1532201767,4487,4584
1532203701,4476,4572
1532205607,4472,4568
1532207534,4478,4574
1532209465,4472,4568
1532211372,4492,4589
1532213535,4482,4579
1532215463,4491,4588
1532217373,4489,4585
1532223369,4473,4569
1532225301,4472,4568
1532227208,4474,4570
1532229137,4486,4582
1532231063,4490,4586
1532232970,4498,4595
1532234900,4500,4597
1532237057,4519,4616
1532238965,4518,4615
1532242823,4508,4605
1532244739,4495,4592
1532246678,4487,4584
1532248583,4487,4584
1532250513,4492,4589
1532252415,4501,4598
1532254336,4497,4593
1532256257,4479,4575
1532258192,4465,4561
1532260113,4480,4576
1532262036,4474,4570
1532263950,4487,4583
1532267791,4463,4558
1532269935,4457,4552
1532272103,4455,4550
1532274010,4464,4560
1532276184,4477,4573
1532280973,4462,4556
1532282898,4452,4546
1532284823,4459,4553
1532286980,4473,4567
1532288908,4480,4575
1532290828,4496,4591
1532292736,4508,4604
1532294653,4514,4609
1532296570,4503,4596
1532298507,4506,4598
1532300429,4496,4588
1532302607,4488,4580
1532304522,4487,4579
1532306420,4495,4587
1532308354,4493,4585
1532310262,4498,4590
1532312194,4496,4588
1532314111,4499,4591
1532316018,4505,4597
1532317953,4506,4598
1532319864,4498,4588
1532321789,4491,4580
1532323689,4483,4572
1532327538,4442,4530
1532329477,4426,4514
1532331387,4420,4510
1532333307,4416,4506
1532335209,4414,4504
1532337143,4413,4503
1532339061,4416,4506
1532341734,4415,4505
1532343627,4403,4493
1532347463,4394,4485
1532349375,4382,4471
1532351294,4387,4475
1532353228,4382,4470
1532355148,4377,4466
1532357058,4384,4474
1532358988,4385,4476
1532360896,4386,4478
1532363781,4374,4466
1532365718,4393,4485
1532367609,4388,4480
1532369783,4391,4483
1532371942,4394,4486
1532373867,4423,4515
1532375777,4425,4519
1532377687,4446,4540
1532380123,4450,4544
1532382015,4452,4546
1532383957,4457,4552
1532385858,4460,4555
1532387778,4476,4571
1532389702,4489,4584
1532391619,4508,4603
1532393531,4515,4609
1532395485,4526,4620
1532397370,4538,4632
1532399312,4524,4618
1532401224,4531,4625
1532403140,4532,4624
1532405055,4527,4619
1532406993,4531,4623
1532408912,4544,4636
1532410815,4551,4643
1532412747,4552,4643
1532414653,4564,4655
1532416814,4554,4643
1532418753,4546,4634
1532420658,4554,4642
1532422851,4535,4624
1532424734,4545,4634
1532426670,4553,4642
1532428569,4556,4646
1532432409,4540,4630
1532434360,4555,4645
1532436250,4578,4668
1532438185,4580,4670
1532440108,4583,4674
1532442258,4589,4680
1532444168,4588,4679
1532446097,4585,4676
1532448032,4591,4683
1532449957,4582,4674
1532451857,4589,4681
1532453784,4591,4683
1532455704,4590,4683
1532457613,4595,4688
1532459547,4587,4679
1532461710,4580,4672
1532463607,4583,4675
1532465556,4570,4662
1532467452,4582,4674
1532469382,4566,4658
1532471288,4569,4661
1532473259,4544,4634
1532475142,4553,4644
1532477074,4541,4634
1532478968,4557,4650
1532480915,4567,4660
1532482824,4575,4668
1532484741,4574,4667
1532486661,4558,4649
1532488579,4569,4662
1532490493,4576,4669
1532492421,4555,4648
1532494351,4544,4637
1532496257,4561,4654
1532500427,4500,4592
1532502253,4500,4594
1532504175,4498,4592
1532506100,4498,4591
1532508032,4502,4595
1532509938,4495,4588
1532511864,4496,4589
1532513778,4493,4586
