DateTime,AddedIPs,RemovedIPs
1531462101,33,24
1531464021,38,31
1531465939,43,37
1531467867,53,42
1531471695,53,52
1531473623,26,57
1531475552,22,27
1531477471,45,22
1531479373,27,46
1531481305,55,27
1531483253,48,54
1531485160,45,43
1531487081,47,46
1531488975,35,47
1531493316,56,36
1531495213,22,54
1531497145,24,26
1531499065,54,21
1531501231,16,58
1531503155,52,16
1531505066,14,52
1531506984,45,14
1531508916,26,45
1531511082,56,26
1531512979,39,55
1531514900,58,33
1531516811,50,59
1531518733,24,50
1531520911,59,31
1531522844,24,59
1531524752,28,22
1531526674,25,24
1531528635,21,29
1531531009,40,19
1531532905,34,37
1531534820,36,34
1531536741,18,41
1531538656,49,17
1531540595,52,47
1531542493,54,51
1531544434,24,55
1531548273,40,23
1531550185,7,41
1531554029,34,12
1531555958,33,32
1531557871,47,34
1531560028,29,48
1531561941,25,29
1531564108,62,25
1531566068,33,62
1531567955,16,30
1531570103,53,16
1531572022,19,54
1531573951,47,19
1531575875,56,45
1531577794,39,56
1531579714,51,38
1531581612,49,51
1531583787,44,49
1531585953,24,50
1531588111,55,20
1531590028,16,56
1531591950,22,17
1531593868,46,21
1531595795,27,41
1531597696,53,30
1531599616,24,50
1531601540,20,31
1531603461,55,19
1531607310,55,53
1531609239,17,58
1531611153,58,16
1531613062,17,55
1531614988,44,20
1531619300,57,45
1531621463,51,52
1531623384,26,52
1531625308,54,30
1531627465,15,53
1531629382,30,14
1531633702,54,29
1531635643,53,51
1531637797,30,56
1531639714,51,30
1531641656,51,52
1531643540,30,52
1531645480,31,28
1531649316,11,33
1531651227,50,12
1531653157,63,48
1531655556,56,62
1531659639,52,54
1531661539,53,52
1531663475,46,46
1531665392,35,49
1531667312,40,34
1531671393,43,45
1531673547,20,46
1531675704,47,19
1531677885,44,41
1531679792,27,48
1531682280,22,29
1531686259,39,19
1531688456,31,38
1531690839,52,34
1531692999,37,54
1531695140,62,36
1531697053,52,56
1531698974,48,56
1531700903,43,51
1531702830,27,42
1531704742,17,28
1531706668,39,14
1531708584,46,39
1531712423,36,48
1531714361,46,35
1531716269,54,45
1531718183,59,55
1531720098,56,60
1531722269,62,56
1531724202,63,63
1531726106,61,64
1531728037,45,60
1531730185,32,45
1531732102,24,34
1531734025,17,25
1531735950,21,15
1531738096,29,22
1531740027,35,29
1531742130,13,31
1531744103,56,14
1531746024,21,56
1531747941,24,22
1531749881,26,24
1531751784,26,25
1531753699,34,23
1531755616,30,36
1531757784,47,30
1531761610,38,46
1531763545,17,42
1531765694,38,15
1531767631,13,40
1531769553,27,13
1531771472,23,26
1531773408,18,25
1531775812,26,17
1531777939,16,27
1531780104,38,13
1531782032,24,38
1531783942,13,25
1531785865,13,14
1531787793,21,13
1531790209,18,23
1531792335,13,17
1531794263,50,13
1531796170,20,50
1531798099,43,18
1531800031,13,44
1531802180,26,12
1531804354,39,25
1531806254,59,41
1531808170,20,60
1531810098,54,19
1531812136,38,55
1531813947,15,37
1531816097,27,16
1531818038,30,28
1531819939,10,30
1531821881,9,10
1531823791,19,8
1531825711,20,20
1531827617,3,20
