DateTime,AddedIPs,RemovedIPs
1532148294,29,24
1532148755,10,15
1532149231,36,24
1532149724,4,0
1532150193,27,20
1532150672,13,1
1532151143,40,3
1532151636,3,0
1532152103,27,4
1532152589,7,0
1532153070,34,23
1532153562,2,0
1532154014,29,27
1532154491,6,0
1532155029,42,22
1532155472,19,4
1532156446,41,41
1532157379,11,45
1532158356,11,92
1532159423,23,53
1532160501,19,37
1532161498,28,46
1532162411,53,9
1532163409,44,46
1532164353,74,33
1532165298,62,27
1532166289,42,26
1532167219,36,29
1532168204,38,6
1532169138,48,17
1532170093,36,15
1532171104,37,10
1532172010,49,27
1532172972,45,26
1532173968,37,10
1532174933,37,9
1532175889,34,11
1532176811,37,63
1532177777,23,86
1532178763,23,70
1532179713,42,29
1532180697,47,41
1532181634,59,38
1532182590,49,30
1532183545,55,30
1532184506,39,22
1532185466,14,12
1532186184,28,24
1532186440,14,18
1532187384,44,32
1532188359,42,38
1532189368,32,29
1532190259,10,14
1532191229,53,33
1532192171,33,32
1532193159,49,36
1532194101,49,31
1532195095,38,21
1532196025,20,25
1532196987,34,34
1532198049,34,18
1532199168,40,29
1532200103,22,17
1532201074,36,29
1532202011,30,16
1532203039,43,32
1532203941,28,26
1532204891,14,6
1532205609,25,28
1532205898,8,5
1532206592,22,13
1532207059,5,10
1532207536,17,11
1532208032,5,14
1532208489,23,15
1532209028,11,5
1532209530,16,12
1532209947,6,8
1532210655,29,12
1532210911,2,9
1532211626,23,14
1532212096,13,15
1532212814,28,10
1532213076,10,32
1532213784,10,5
1532214028,1,0
1532214993,45,27
1532215944,34,27
1532216914,36,28
1532217860,27,31
1532218815,50,29
1532219800,35,28
1532220765,32,30
1532221701,37,22
1532222677,25,31
1532223612,34,25
1532224617,32,33
1532225546,32,20
1532226490,34,22
1532227511,38,16
1532228467,35,32
1532229378,27,25
1532230391,29,22
1532231292,25,19
1532232257,24,28
1532233226,29,25
1532234194,35,22
1532235156,26,5
1532236098,20,4
1532237092,27,9
1532238295,33,19
1532239229,20,6
1532240182,53,13
1532241154,33,2
1532242095,26,9
1532243090,37,35
1532244024,32,45
1532244994,20,30
1532245973,41,26
1532247155,35,51
1532248140,37,27
1532249119,33,27
1532250076,30,16
1532250984,24,6
1532251944,42,25
1532252912,41,19
1532253860,33,31
1532254825,27,28
1532255794,23,31
1532256794,50,33
1532257699,43,20
1532258688,24,25
1532259657,39,20
1532260572,39,37
1532261549,40,32
1532262498,36,21
1532263512,38,18
1532264440,25,18
1532265461,43,23
1532266587,33,28
1532267555,38,31
1532268494,25,3
1532269485,44,42
1532270412,27,3
1532271377,38,22
1532272356,32,25
1532273319,25,38
1532274307,34,16
1532275277,27,20
1532275748,7,11
1532276186,20,1
1532276670,11,9
1532277134,27,22
1532277610,3,6
1532279092,32,48
1532280011,24,1
1532280989,27,37
1532282008,30,37
1532282899,6,6
1532283131,26,13
1532283851,12,0
1532284106,21,15
1532284833,8,9
1532285400,21,11
1532285790,6,0
1532286509,52,23
1532286982,8,10
1532287467,29,17
1532287964,6,4
1532288417,25,16
1532288917,2,12
1532289390,22,20
1532289888,0,5
1532290387,26,18
1532290837,6,5
1532291302,20,18
1532291774,4,6
1532292288,25,19
1532292745,5,10
1532293240,13,12
1532293706,2,6
1532294200,23,13
1532294658,1,8
1532295135,20,16
1532295629,4,1
1532296107,27,13
1532296572,4,10
1532297098,20,8
1532297539,0,10
1532298008,28,16
1532298524,6,16
1532299239,23,12
1532299698,7,0
1532300168,21,16
1532300675,0,11
1532301167,30,11
1532301635,2,13
1532302113,37,8
1532302618,4,16
1532303101,13,13
1532303559,2,21
1532304022,18,23
1532304539,7,10
1532304981,23,14
1532305454,4,23
1532305952,20,12
1532306421,5,26
1532306917,25,18
1532307380,6,22
1532307864,35,23
1532308365,2,18
1532308812,28,25
1532309293,5,32
1532309789,19,24
1532310271,8,22
1532310791,30,13
1532311225,0,15
1532311693,24,14
1532312202,5,15
1532312674,19,19
1532313159,7,14
1532313624,32,11
1532314120,10,13
1532314571,25,21
1532315063,8,12
1532315557,24,11
