DateTime,AddedIPs,RemovedIPs
1532148294,1581,1577
1532148755,9,19
1532149231,1579,1559
1532149724,4,9
1532150193,1492,1511
1532150672,13,17
1532151143,1584,1557
1532151636,3,13
1532152103,1541,1537
1532152589,7,8
1532153070,1546,1523
1532153562,1,9
1532154014,1619,1630
1532154491,6,13
1532155029,1549,1551
1532155472,19,19
1532156446,1656,1618
1532157379,1744,1725
1532158356,1743,1759
1532159423,1696,1713
1532160501,1645,1686
1532161498,1636,1651
1532162411,1654,1636
1532163409,1622,1650
1532164353,1587,1570
1532165298,1571,1558
1532166289,1667,1634
1532167219,1632,1672
1532168204,1567,1574
1532169138,1617,1601
1532170093,1611,1606
1532171104,1622,1614
1532172010,1543,1538
1532172972,1633,1652
1532173968,1539,1548
1532174933,1591,1593
1532175889,1650,1625
1532176811,1687,1699
1532177777,1588,1599
1532178763,1464,1464
1532179713,1315,1319
1532180697,1290,1306
1532181634,1295,1302
1532182590,1324,1311
1532183545,1321,1314
1532184506,1332,1342
1532185466,14,13
1532186184,1333,1318
1532186440,14,17
1532187384,1356,1367
1532188359,1342,1327
1532189368,1316,1306
1532190259,9,12
1532191229,1307,1291
1532192171,1304,1298
1532193159,1453,1451
1532194101,1422,1411
1532195095,1295,1294
1532196025,1291,1272
1532196987,1323,1310
1532198049,1343,1354
1532199168,1332,1336
1532200103,1346,1332
1532201074,1346,1337
1532202011,1326,1311
1532203039,1280,1295
1532203941,1293,1309
1532204891,14,18
1532205609,1322,1306
1532205898,7,15
1532206592,1277,1281
1532207059,5,21
1532207536,1343,1317
1532208032,5,18
1532208489,1326,1327
1532209028,11,18
1532209530,1302,1288
1532209947,6,17
1532210655,1272,1272
1532210911,2,9
1532211626,1284,1282
1532212096,13,23
1532212814,1281,1270
1532213076,10,20
1532213784,1299,1299
1532214028,1,8
1532214993,1388,1375
1532215944,1353,1362
1532216914,1320,1316
1532217860,1305,1302
1532218815,1330,1332
1532219800,1327,1328
1532220765,1276,1290
1532221701,1302,1282
1532222677,1255,1269
1532223612,1267,1245
1532224617,1286,1285
1532225546,1307,1311
1532226490,1320,1323
1532227511,1306,1302
1532228467,1270,1280
1532229378,1292,1290
1532230391,1286,1304
1532231292,1285,1297
1532232257,1273,1280
1532233226,1320,1310
1532234194,1292,1301
1532235156,1296,1293
1532236098,1307,1312
1532237092,1327,1334
1532238295,1318,1339
1532239229,1313,1328
1532240182,1313,1311
1532241154,1293,1312
1532242095,1278,1280
1532243090,1260,1280
1532244024,1274,1272
1532244994,1286,1266
1532245973,1419,1388
1532247155,1480,1494
1532248140,1424,1429
1532249119,1312,1319
1532250076,1253,1283
1532250984,1248,1265
1532251944,1268,1280
1532252912,1224,1229
1532253860,1276,1264
1532254825,1154,1183
1532255794,750,761
1532256794,1320,1300
1532257699,1267,1275
1532258688,1268,1287
1532259657,1242,1221
1532260572,1180,1193
1532261549,1224,1223
1532262498,1238,1223
1532263512,1237,1256
1532264440,1161,1176
1532265461,1195,1177
1532266587,1203,1212
1532267555,1251,1254
1532268494,1215,1206
1532269485,1274,1262
1532270412,1221,1238
1532271377,1219,1214
1532272356,1214,1224
1532273319,1201,1198
1532274307,1208,1207
1532275277,1224,1213
1532275748,7,20
1532276186,1297,1271
1532276670,10,18
1532277134,1307,1285
1532277610,3,4
1532279092,1286,1305
1532280011,1273,1275
1532280989,1284,1301
1532282008,1231,1239
1532282899,6,4
1532283131,1311,1300
1532283851,12,12
1532284106,1294,1290
1532284833,8,12
1532285400,1218,1232
1532285790,6,8
1532286509,1818,1771
1532286982,8,13
1532287467,1785,1820
1532287964,5,19
1532288417,1263,1251
1532288917,2,7
1532289390,1240,1240
1532289888,0,9
1532290387,1233,1233
1532290837,6,11
1532291302,1213,1209
1532291774,4,6
1532292288,1187,1186
1532292745,4,12
1532293240,1214,1201
1532293706,3,4
1532294200,1240,1234
1532294658,1,8
1532295135,1260,1263
1532295629,3,7
1532296107,1240,1234
1532296572,4,13
1532297098,1257,1256
1532297539,1,5
1532298008,1214,1210
1532298524,7,8
1532299239,1217,1206
1532299698,7,13
1532300168,1224,1234
1532300675,0,11
1532301167,1256,1241
1532301635,2,16
1532302113,1293,1295
1532302618,4,15
1532303101,1314,1294
1532303559,2,19
1532304022,1233,1236
1532304539,7,13
1532304981,1250,1251
1532305454,4,25
1532305952,1258,1252
1532306421,5,16
1532306917,1211,1204
1532307380,6,19
1532307864,1253,1269
1532308365,2,24
1532308812,1254,1235
1532309293,5,14
1532309789,1246,1242
1532310271,8,27
1532310791,1289,1280
1532311225,0,10
1532311693,1310,1301
1532312202,5,12
1532312674,1313,1306
1532313159,7,13
1532313624,1251,1244
1532314120,10,18
1532314571,1222,1233
1532315063,9,8
1532315557,1286,1270
1532316020,6,11
1532316516,1310,1314
1532316992,9,8
1532317493,1317,1310
1532317955,19,6
1532318444,1229,1248
1532318914,16,13
1532319386,1272,1248
1532319899,18,16
1532320346,1278,1262
1532320831,16,12
1532321295,1263,1268
1532321798,7,4
1532322260,1282,1275
1532322759,23,7
1532323215,1320,1310
1532323691,7,8
1532324190,1280,1277
1532324658,4,8
1532325129,1289,1275
1532325647,14,11
1532326120,1369,1355
1532326587,21,13
1532327103,1355,1325
1532327547,6,20
1532328024,1221,1246
1532328507,7,7
1532328999,1258,1240
1532329479,9,9
1532329948,1271,1280
1532330424,12,12
1532330890,1290,1255
1532331401,0,5
1532331904,1327,1322
1532332352,8,6
1532332834,1428,1424
1532333316,3,8
1532334040,1465,1441
1532334493,13,16
1532334970,1420,1419
1532335469,10,11
1532335986,1294,1263
1532336445,3,6
1532336905,1270,1251
1532337374,9,11
1532337875,1337,1319
1532338346,12,16
1532338811,1228,1237
1532339300,9,16
1532339783,1160,1158
1532341757,1248,1242
1532342895,1201,1185
1532343894,1223,1218
1532344812,1161,1176
1532345772,1185,1147
1532346768,1149,1149
1532347695,1223,1175
1532348653,1211,1209
1532349630,1129,1146
1532350570,1141,1119
1532351541,1315,1297
1532352608,1336,1333
1532353689,1190,1172
1532354672,1158,1150
1532355609,1293,1271
1532356573,1320,1339
1532357576,1222,1207
1532358497,1234,1225
1532359453,1229,1228
