DateTime,AddedIPs,RemovedIPs
1532021770,5,16
1532022736,6,17
1532023801,13,8
1532024903,13,14
1532025868,9,6
1532026821,2,18
1532027803,9,3
1532028741,10,7
1532029698,13,11
1532030673,4,12
1532031612,10,15
1532032571,7,17
1532033557,7,16
1532034497,0,17
1532035465,9,12
1532036421,5,12
1532037396,6,10
1532038370,13,10
1532039317,3,18
1532040275,3,14
1532041222,5,20
1532042191,12,20
1532043409,6,14
1532044329,15,24
1532045333,7,27
1532046260,13,13
1532047222,11,22
1532048437,14,17
1532049403,10,22
1532050357,15,11
1532051322,13,17
1532052281,12,16
1532053212,20,10
1532054180,12,34
1532055201,13,11
1532056109,4,24
1532057059,14,19
1532058023,19,15
1532059003,14,18
1532059946,7,11
1532061148,14,24
1532062100,20,6
1532063080,9,9
1532064021,15,12
1532064982,10,9
1532065945,1,11
1532066906,9,6
1532067865,21,4
1532068814,5,11
1532069784,17,18
1532070759,14,8
1532071961,15,2
1532073156,9,30
1532074099,3,0
1532075072,14,13
1532076032,21,8
1532076995,15,11
1532077943,12,17
1532078896,15,59
1532079870,21,84
1532081068,28,94
1532082289,39,61
1532083239,19,36
1532084191,26,55
1532085165,29,33
1532086120,19,46
1532087075,15,27
1532088052,18,34
1532088978,16,43
1532089946,15,43
1532090897,11,39
1532091874,10,28
1532092811,19,36
1532093776,21,21
1532094789,16,33
1532095704,9,39
1532096674,21,25
1532097618,14,24
1532098572,14,26
1532099552,18,20
1532100496,15,31
1532101459,15,57
1532102439,14,0
1532103382,13,99
1532104347,28,58
1532105315,7,55
1532106283,13,47
1532107231,13,12
1532108210,5,23
1532109156,7,26
1532110128,4,18
1532111056,8,0
1532112021,12,69
1532112991,10,27
1532113962,3,37
1532114888,6,0
1532115859,12,41
1532116852,24,35
1532117812,18,34
1532118758,22,36
1532119695,20,22
1532120668,5,30
1532121636,9,20
1532122650,13,36
1532123561,21,45
1532124501,13,30
1532125476,16,36
1532126415,7,31
1532128128,19,68
1532129087,16,41
1532130014,11,28
1532130975,18,46
1532131974,12,35
1532132886,7,36
1532133872,12,28
1532134819,12,18
1532135793,5,7
1532136738,18,0
1532137710,9,0
1532138657,5,0
1532139622,19,0
1532140825,19,0
1532141775,10,0
1532142743,14,50
1532143702,11,118
1532144664,17,60
1532145905,13,103
1532146828,10,49
1532147797,17,16
1532148755,21,28
1532149724,13,0
1532150672,21,2
1532151636,11,0
1532152589,18,0
1532153562,9,0
1532154491,12,0
1532155472,33,4
1532156434,10,0
1532157377,0,75
1532158339,1,72
1532159421,1,73
1532160500,3,35
1532161467,9,39
1532162409,28,10
1532163380,24,23
1532164351,43,3
1532165296,22,26
1532166265,25,12
1532167218,20,16
1532168203,21,0
1532169137,25,1
1532170092,18,2
1532171071,14,1
1532172008,24,2
1532172970,22,4
1532173956,13,6
1532174896,15,1
1532175876,18,0
1532176809,14,46
1532177775,10,82
1532178745,12,78
1532179690,13,20
1532180666,16,26
1532181626,22,18
1532182589,17,20
1532183544,19,21
1532184496,16,21
1532185466,15,16
1532186440,21,21
1532187380,19,29
1532188348,23,27
1532189349,15,26
1532190259,9,26
1532191223,29,12
1532192170,23,25
1532193147,24,20
1532194099,21,19
1532195069,19,31
1532196023,9,12
1532196986,14,30
1532198047,15,14
1532199142,17,25
1532200101,8,14
1532201051,15,29
1532202010,19,10
1532202985,13,29
1532203940,13,22
1532204891,14,13
1532205898,16,10
1532207059,11,16
1532208032,11,20
1532209028,20,7
1532209947,12,13
1532210911,5,19
1532212096,21,29
1532213076,15,43
1532214028,6,0
1532214988,10,24
1532215943,38,29
1532216913,20,26
1532217859,7,24
1532218814,23,27
1532219799,24,24
1532220746,23,39
1532221699,21,24
1532222654,13,36
1532223610,19,26
1532224595,18,44
1532225544,16,22
1532226489,14,33
1532227492,19,20
1532228428,12,35
1532229377,18,24
1532230370,13,27
1532231290,9,27
1532232256,5,31
1532233213,12,29
1532234193,20,24
1532235139,15,1
1532236097,3,0
1532237059,8,0
1532238268,9,0
1532239214,13,0
1532240176,15,0
1532241153,15,0
1532242093,10,8
