DateTime,AddedIPs,RemovedIPs
1532021770,5,11
1532022736,6,7
1532023801,13,6
1532024903,13,6
1532025868,9,11
1532026821,2,2
1532027803,9,8
1532028741,10,13
1532029698,13,6
1532030673,4,5
1532031612,10,5
1532032571,7,13
1532033557,7,17
1532034497,0,3
1532035465,9,12
1532036421,5,9
1532037396,6,6
1532038370,13,8
1532039317,3,9
1532040275,3,14
1532041222,5,13
1532042191,12,13
1532043409,6,6
1532044329,15,18
1532045333,7,5
1532046260,13,8
1532047222,11,15
1532048437,14,15
1532049403,10,6
1532050357,15,13
1532051322,13,11
1532052281,12,5
1532053212,20,6
1532054180,12,13
1532055201,13,8
1532056109,4,3
1532057059,14,17
1532058023,19,13
1532059003,14,11
1532059946,7,9
1532061148,14,16
1532062100,20,8
1532063080,9,4
1532064021,15,10
1532064982,10,10
1532065945,1,10
1532066906,9,9
1532067865,21,20
1532068814,5,21
1532069784,17,15
1532070759,14,8
1532071961,15,5
1532073156,9,11
1532074099,3,7
1532075072,14,18
1532076032,21,21
1532076995,15,21
1532077943,12,14
1532078896,15,9
1532079870,21,11
1532081068,28,11
1532082289,39,10
1532083239,19,11
1532084191,26,5
1532085165,29,1
1532086120,19,0
1532087075,15,4
1532088052,18,0
1532088978,16,4
1532089946,15,14
1532090897,11,16
1532091874,10,16
1532092811,19,12
1532093776,21,24
1532094789,16,9
1532095704,9,5
1532096674,21,16
1532097618,14,14
1532098572,14,14
1532099552,18,5
1532100496,15,14
1532101459,15,8
1532102439,14,8
1532103382,13,17
1532104347,28,12
1532105315,7,3
1532106283,13,9
1532107231,13,9
1532108210,5,10
1532109156,7,10
1532110128,4,13
1532111056,8,6
1532112021,12,6
1532112991,10,12
1532113962,3,8
1532114888,6,8
1532115859,12,10
1532116852,24,11
1532117812,18,9
1532118758,22,8
1532119695,20,5
1532120668,5,2
1532121636,9,10
1532122650,13,11
1532123561,21,4
1532124501,13,7
1532125476,16,14
1532126415,7,3
1532128128,19,12
1532129087,16,13
1532130014,11,15
1532130975,18,14
1532131974,12,11
1532132886,7,9
1532133872,12,17
1532134819,12,18
1532135793,5,11
1532136738,18,25
1532137710,9,13
1532138657,5,12
1532139622,19,21
1532140825,19,23
1532141775,10,13
1532142743,14,9
1532143702,11,12
1532144664,17,16
1532145905,13,17
1532146828,10,3
1532147797,17,16
1532148755,21,19
1532149724,13,9
1532150672,21,18
1532151636,11,14
1532152589,18,8
1532153562,9,10
1532154491,12,13
1532155472,33,20
1532156434,10,19
1532157377,0,21
1532158339,1,21
1532159421,1,6
1532160500,3,17
