DateTime,Entries,UniqueIPs
1532012179,28281,30430
1532013148,28282,30418
1532014093,28295,30432
1532015096,28320,30469
1532016040,28138,30240
1532016983,28135,30235
1532017940,28205,30327
1532018895,28216,30341
1532019901,28253,30373
1532020810,28266,30381
1532021779,28256,30384
1532022739,28304,30448
1532023803,28298,30430
1532024905,28306,30447
1532025891,28303,30432
1532027824,28289,30416
1532028742,28418,30563
1532029699,28466,30609
1532030674,28505,30647
1532031613,28496,30649
1532032573,28495,30654
1532033573,28490,30648
1532034498,28498,30659
1532035472,28517,30697
1532036913,28417,30586
1532037862,28436,30614
1532038816,28410,30580
1532039781,28539,30739
1532040780,28552,30756
1532041721,28536,30742
1532043425,28435,30617
1532044843,28325,30477
1532045861,28382,30527
1532047012,28412,30555
1532047954,28387,30525
1532048894,28409,30554
1532049894,28461,30605
1532050861,28468,30607
1532051782,28488,30617
1532052754,28507,30647
1532053713,28526,30682
1532054652,28551,30703
1532055634,28570,30743
1532056625,28600,30780
1532057551,28633,30827
1532058523,28709,30895
1532059515,28656,30842
1532060671,28687,30862
1532061610,28712,30894
1532062590,28715,30887
1532063550,28740,30920
1532064490,28779,30967
1532065481,28732,30915
1532066424,28747,30937
1532067397,28758,30953
1532068345,28898,31108
1532069305,29022,31258
1532070254,29018,31267
1532071257,29047,31306
1532072416,29087,31346
1532073642,29143,31408
1532074577,29046,31289
1532075540,29063,31296
1532076497,29060,31296
1532077456,29181,31433
1532078476,29120,31355
1532079608,29175,31416
1532080584,29187,31424
1532081560,29198,31435
1532082775,29215,31439
1532083700,29303,31544
1532084658,29468,31728
1532085644,29614,31891
1532086584,29632,31918
1532088054,29216,31476
1532088986,29387,31672
1532089947,29301,31574
1532090898,29454,31744
1532091875,29435,31698
1532092813,29463,31727
1532093777,29613,31915
1532094806,29521,31825
1532095706,29678,32000
1532096684,29617,31915
1532097619,29776,32093
1532098585,29598,31906
1532099553,29588,31900
1532100998,29624,31939
1532101976,29647,31961
1532102947,29633,31964
1532103895,29706,32067
1532104809,29710,32066
1532105772,29748,32104
1532106771,29751,32103
1532107708,29762,32117
1532108709,29815,32185
1532109618,29869,32255
1532110582,29949,32331
1532111553,30007,32399
1532112490,30070,32476
1532113459,30290,32722
1532114416,30282,32699
1532115394,30329,32741
1532116334,30355,32778
1532117303,30392,32822
1532118274,30447,32897
1532119213,30474,32940
1532120220,30484,32961
1532121141,30550,33026
1532122095,30550,33029
1532123599,30559,33037
1532124502,30578,33053
1532125478,30632,33111
1532126417,30634,33106
1532128143,30540,32989
1532129088,30704,33173
1532130016,30707,33200
1532130976,30858,33374
1532131976,30873,33391
1532132906,30918,33434
1532133873,30947,33472
1532134821,30961,33495
1532135794,30973,33502
1532136739,31036,33564
1532137711,31019,33548
1532138659,30990,33521
1532139623,30977,33515
1532140827,30980,33511
1532141811,30986,33501
1532142759,30967,33466
1532143727,30994,33487
1532145381,30864,33324
1532146349,30836,33312
1532147294,30836,33317
1532148294,30845,33327
1532149231,30883,33375
1532150193,30867,33355
1532151143,30985,33492
1532152103,30968,33474
1532153070,31068,33592
1532154014,31121,33654
1532155029,31173,33734
1532156446,31296,33888
1532157379,31366,33979
1532158356,31452,34074
1532159423,31509,34145
1532160501,31649,34307
1532161498,31685,34357
1532162411,31705,34381
1532163409,31720,34414
1532164353,31731,34438
1532165298,31799,34514
1532166289,31766,34478
1532167219,31738,34445
1532168204,31782,34491
1532169138,31932,34670
1532170093,31942,34694
1532171104,31794,34526
1532172010,31959,34717
1532172972,32012,34764
1532173968,32082,34833
1532174933,32098,34854
1532175889,32137,34905
1532176811,32198,34960
1532177777,32169,34932
1532178763,32116,34861
1532179713,32107,34863
1532180697,32074,34815
1532181634,32086,34825
1532182590,32065,34801
1532183545,32057,34783
1532184506,32073,34811
1532186184,32011,34736
1532187384,32149,34882
1532188359,32132,34857
1532189368,31973,34681
1532191229,31835,34503
1532192171,31972,34660
1532193159,31966,34643
1532194101,31972,34653
1532195095,31976,34662
1532196025,31685,34317
1532196987,31595,34208
1532198049,31479,34093
1532199168,31406,34006
1532200103,31242,33826
1532201074,31097,33649
1532202011,31001,33546
1532203039,30972,33531
1532203941,30928,33465
1532205609,30888,33398
1532206592,30847,33359
1532207536,30765,33260
1532208489,30707,33193
1532209530,30718,33195
1532210655,30698,33172
1532211626,30667,33140
1532212814,30618,33070
1532213784,30555,33002
1532214993,30558,33009
1532215944,30517,32967
1532216914,30477,32914
1532217860,30435,32869
1532218815,30437,32846
1532219800,30338,32728
1532220765,30281,32672
1532221701,30185,32560
1532222677,30090,32463
1532223612,30009,32375
1532224617,29952,32302
1532225546,29925,32277
1532226490,29858,32194
1532227511,29803,32138
1532228467,29716,32051
1532229378,29615,31951
1532230391,29510,31846
1532231292,29605,31966
1532232257,29467,31825
1532233226,29381,31733
1532234194,29326,31655
1532235156,29266,31564
1532236098,29146,31427
1532237092,29077,31346
1532238295,28975,31228
1532239229,28942,31191
1532240182,28868,31114
1532241154,28740,30965
1532242095,28594,30807
1532243090,28425,30615
1532244024,28194,30364
1532244994,28010,30160
1532245973,27812,29953
1532247155,27697,29829
1532248140,27611,29712
1532249119,27582,29675
1532250076,27515,29604
1532250984,27446,29529
1532251944,27361,29435
1532252912,27321,29383
1532253860,27271,29316
1532254825,27161,29186
1532255794,27055,29055
1532256794,26968,28959
1532257699,26956,28947
1532258688,26822,28795
1532259657,26678,28637
1532260572,26519,28466
1532261549,26449,28391
1532262498,26215,28138
1532263512,26051,27969
1532264440,25993,27896
1532265461,25947,27858
1532266587,25939,27831
1532267555,25942,27848
1532268494,25911,27816
1532269485,25886,27790
1532270412,25889,27789
1532271377,25912,27814
1532272356,26012,27928
1532273319,25960,27879
1532274307,25941,27847
1532275277,25947,27857
1532276186,25938,27850
1532277134,26062,27986
1532279092,25914,27823
1532280011,25919,27844
1532280989,25908,27822
1532282008,25938,27854
1532283131,25966,27896
1532284106,25906,27836
1532285400,25935,27874
1532286509,27348,29298
1532287467,27477,29439
1532288417,27355,29308
1532289390,27506,29474
1532290387,27414,29374
1532291302,27512,29492
1532292288,27511,29479
1532293240,27490,29441
1532294200,27502,29456
1532295135,27508,29470
1532296107,27521,29488
1532297098,27526,29479
1532298008,27644,29613
