DateTime,AddedIPs,RemovedIPs
1532012179,1515,1515
1532013148,1554,1554
1532014093,1490,1490
1532015096,1514,1514
1532016040,1511,1511
1532016983,1403,1403
1532017940,1480,1480
1532018895,1562,1562
1532019901,1513,1513
1532020810,1538,1538
1532021779,1516,1516
1532022739,1478,1478
1532023803,1472,1472
1532024905,1510,1510
1532025891,1499,1499
1532027824,1439,1439
1532028742,1476,1476
1532029699,1550,1550
1532030674,1549,1549
1532031613,1538,1538
1532032573,1482,1482
1532033573,1480,1480
1532034498,1471,1471
1532035472,1536,1536
1532036913,1585,1585
1532037862,1577,1577
1532038816,1493,1493
1532039781,1555,1555
1532040780,1562,1562
1532041721,1247,1247
1532043425,1495,1495
1532044843,1322,1322
1532045861,1473,1473
1532047012,1466,1466
1532047954,1523,1523
1532048894,1488,1488
1532049894,1561,1561
1532050861,1506,1506
1532051782,1543,1543
1532052754,1555,1555
1532053713,1536,1536
1532054652,1573,1573
1532055634,1622,1622
1532056625,1576,1576
1532057551,1598,1598
1532058523,1586,1586
1532059515,1569,1569
1532060671,1514,1514
1532061610,1556,1556
1532062590,1561,1561
1532063550,1509,1509
1532064490,1570,1570
1532065481,1128,1128
1532066424,1522,1522
1532067397,1548,1548
1532068345,1513,1513
1532069305,1449,1449
1532070254,1414,1414
1532071257,1569,1569
1532072416,1617,1617
1532073642,1580,1580
1532074577,301,301
1532075540,1498,1498
1532076497,1516,1516
1532077456,1567,1567
1532078476,1601,1601
1532079608,1635,1635
1532080584,1661,1661
1532081560,1523,1523
1532082775,1470,1470
1532083700,1530,1530
1532084658,1467,1467
1532085644,1447,1447
1532086584,1551,1551
1532088054,1469,1469
1532088986,1567,1567
1532089947,1606,1606
1532090898,1584,1584
1532091875,1562,1562
1532092813,1620,1620
1532093777,1613,1613
1532094806,1514,1514
1532095706,1327,1327
1532096684,1574,1574
1532097619,1571,1571
1532098585,1487,1487
1532099553,1387,1387
1532100998,1564,1564
1532101976,1578,1578
1532102947,1395,1395
1532103895,1578,1578
1532104809,1659,1659
1532105772,1595,1595
1532106771,1617,1617
1532107708,1466,1466
1532108709,1591,1591
1532109618,1580,1580
1532110582,1612,1612
1532111553,1569,1569
1532112490,1584,1584
1532113459,1594,1594
1532114416,1596,1596
1532115394,1614,1614
1532116334,1592,1592
1532117303,1510,1510
1532118274,1506,1506
1532119213,1524,1524
1532120220,1576,1576
1532121141,1616,1616
1532122095,1617,1617
1532123599,1579,1579
1532124502,1577,1577
1532125478,1619,1619
1532126417,1598,1598
1532128143,1562,1562
1532129088,1533,1533
1532130016,1550,1550
1532130976,1574,1574
1532131976,1565,1565
1532132906,1635,1635
1532133873,1651,1651
1532134821,1608,1608
1532135794,1610,1610
1532136739,1608,1608
1532137711,1641,1641
1532138659,1463,1463
1532139623,1580,1580
1532140827,1562,1562
1532141811,1617,1617
1532142759,1640,1640
1532143727,1641,1641
1532145381,1613,1613
1532146349,1554,1554
1532147294,1573,1573
1532148294,1633,1633
1532149231,1623,1623
1532150193,1558,1558
1532151143,1629,1629
1532152103,1588,1588
1532153070,1586,1586
1532154014,1678,1678
1532155029,1611,1611
1532156446,1684,1684
1532157379,1750,1750
1532158356,1747,1747
1532159423,1712,1712
1532160501,1680,1680
1532161498,1666,1666
1532162411,1660,1660
1532163409,1666,1666
1532164353,1610,1610
1532165298,1604,1604
1532166289,1678,1678
1532167219,1680,1680
1532168204,1605,1605
1532169138,1659,1659
1532170093,1655,1655
1532171104,1650,1650
1532172010,1562,1562
1532172972,1664,1664
1532173968,1561,1561
1532174933,1620,1620
1532175889,1664,1664
1532176811,1724,1724
1532177777,1624,1624
1532178763,1492,1492
1532179713,1340,1340
1532180697,1312,1312
1532181634,1313,1313
1532182590,1344,1344
1532183545,1342,1342
1532184506,1362,1362
1532186184,1368,1368
1532187384,1379,1379
1532188359,1359,1359
1532189368,1341,1341
1532191229,1326,1326
1532192171,1333,1333
1532193159,1479,1479
1532194101,1450,1450
1532195095,1327,1327
1532196025,1327,1327
1532196987,1347,1347
1532198049,1382,1382
1532199168,1367,1367
1532200103,1373,1373
1532201074,1376,1376
1532202011,1352,1352
1532203039,1314,1314
1532203941,1331,1331
1532205609,1359,1359
1532206592,1318,1318
1532207536,1369,1369
1532208489,1361,1361
1532209530,1329,1329
1532210655,1305,1305
1532211626,1317,1317
1532212814,1312,1312
1532213784,1337,1337
