DateTime,AddedIPs,RemovedIPs
1530432231,1,0
1530435828,1,0
1530439428,1,1
1530443038,0,2
1530446636,2,1
1530450221,0,2
1530453803,3,3
1530457387,21,0
1530461010,1,2
1530464554,1,3
1530468224,2,2
1530471837,2,1
1530475416,1,6
1530479034,3,3
1530482626,5,3
1530486238,1,3
1530489827,3,1
1530493425,0,2
1530497031,0,3
1530504191,1,1
1530507811,1,0
1530511413,0,1
1530515032,1,0
1530518572,0,1
1530522224,1,1
1530525829,0,3
1530529424,1,3
1530533025,0,1
1530536627,5,1
1530540235,0,5
1530543832,1,21
1530547439,6,0
1530551028,1,0
1530554620,2,0
1530558227,2,0
1530561837,1,0
1530565388,2,0
1530569014,4,1
1530572640,3,0
1530576227,9,4
1530579833,6,3
1530583435,3,1
1530587034,2,7
1530590615,3,0
1530594227,0,3
1530597808,1,0
1530601392,0,1
1530605011,1,3
1530608616,0,1
1530612239,0,3
1530615831,1,0
1530619437,0,1
1530623029,1,0
1530626634,1,0
1530630235,2,0
1530633835,1,1
1530637429,2,1
1530641043,1,1
1530644627,3,0
1530651828,1,2
1530655424,2,2
1530659017,1,1
1530662636,0,1
1530669826,0,2
1530673431,0,1
1530677033,2,0
1530680622,0,1
1530684226,0,1
1530687838,0,1
1530694981,0,2
1530709421,1,1
1530716622,2,1
1530720240,2,2
1530723832,1,0
1530727421,0,1
1530731037,1,0
1530734629,1,1
1530738231,1,1
1530741821,3,2
1530745435,0,1
1530749022,1,3
1530752619,0,3
1530756233,1,28
1530759821,2,2
1530763411,0,1
1530767015,1,1
1530770593,1,0
1530774220,1,0
1530777802,1,0
1530781436,1,1
1530785018,2,1
1530792232,0,1
1530795815,0,1
1530799439,0,1
1530803018,27,0
1530810196,0,3
1530813840,0,1
1530817441,3,1
1530821032,1,4
1530824622,1,3
1530828223,2,0
1530835420,0,1
1530839027,2,2
1530842635,1,0
1530846224,3,1
1530849806,1,0
1530853437,2,1
1530857004,0,2
1530864225,1,2
1530867827,1,0
1530871423,1,0
1530878644,0,1
1530882225,0,1
1530885828,0,2
1530889430,2,0
1530893005,2,0
1530896626,3,1
1530900224,1,1
1530903806,1,1
1530907435,0,3
1530911007,1,0
1530914641,1,0
1530918239,3,0
1530921821,2,2
1530925413,3,4
1530929010,1,1
1530932610,5,1
1530936217,0,2
1530939831,2,0
1530943421,1,1
1530947015,1,0
1530950620,1,0
1530957825,0,2
1530965056,0,3
1530968641,1,0
1530972222,0,1
1530975828,1,3
1530979425,2,0
1530983014,0,2
1530986611,0,1
1530990212,0,2
1530993812,2,0
1530997409,0,1
1531004636,4,2
1531008222,2,3
1531011822,4,2
1531015415,0,2
1531019018,15,1
1531022614,1,1
1531026235,2,0
1531029823,0,1
1531033427,0,2
1531037008,0,1
1531040619,1,2
1531044203,1,1
1531047815,1,2
1531051405,0,1
1531055031,2,0
1531058621,0,5
1531062217,0,18
1531065832,2,3
1531069417,1,2
1531073028,2,2
1531076634,0,1
1531080229,0,1
1531083805,2,4
1531087428,0,4
1531091015,1,1
1531094611,0,1
1531098221,2,2
1531101808,0,3
1531105428,1,0
1531109031,1,3
1531112627,4,2
1531116222,0,2
1531119815,1,0
1531123426,1,0
1531127020,2,0
1531130644,0,1
1531134223,2,0
1531145018,1,0
1531148598,20,0
1531152224,1,7
1531155831,0,2
1531159424,0,1
1531163042,1,3
1531166614,2,2
1531170217,0,2
1531173806,2,1
1531177413,2,2
1531180946,2,4
1531184605,1,4
1531188223,0,5
1531191823,1,7
1531195416,0,1
1531199013,1,2
1531206215,1,1
1531217019,2,0
1531220626,0,2
1531227831,1,0
1531231424,2,1
1531235022,2,1
1531238626,0,1
1531242225,2,3
1531245814,0,2
1531249440,1,4
1531253043,0,3
1531256616,2,0
1531263831,2,0
1531267431,3,1
1531271039,3,0
1531274636,3,1
1531278239,1,1
1531285445,3,0
1531289040,0,1
1531292633,0,1
1531296220,1,0
1531299830,0,2
1531303423,0,1
1531307015,1,0
1531310624,4,1
1531314236,1,1
1531317825,1,0
1531321436,1,0
1531325039,1,1
1531328611,0,1
1531332210,2,2
1531335825,2,3
1531339429,1,0
1531343035,1,1
1531346630,2,1
1531350232,3,1
1531353833,2,0
1531357435,2,1
1531361043,0,2
1531364645,1,0
1531371827,1,0
1531375399,0,2
1531379046,1,1
1531382640,1,3
1531389843,0,1
1531397019,1,1
1531400612,0,1
1531404214,0,3
1531407836,1,17
1531411436,0,1
1531415032,1,0
1531418624,2,1
