DateTime,AddedIPs,RemovedIPs
1530716873,4,27
1530720473,57,11
1530724080,50,9
1530727684,71,21
1530731285,36,28
1530734887,30,13
1530738485,30,24
1530742086,23,20
1530745688,24,31
1530749287,36,19
1530752882,11,21
1530756485,12,35
1530760094,12,40
1530763694,16,16
1530767277,36,17
1530770878,20,20
1530774487,22,35
1530778070,14,22
1530781680,30,27
1530785281,18,15
1530788877,12,28
1530792482,28,11
1530796081,16,22
1530799686,16,35
1530803281,14,18
1530806876,9,29
1530810477,20,21
1530814085,35,20
1530817689,21,41
1530821286,31,15
1530824887,20,30
1530828488,19,14
1530832091,36,18
1530835699,37,18
1530839299,39,24
1530842892,12,35
1530846488,20,21
1530850074,14,10
1530853694,24,18
1530857292,14,10
1530860895,14,38
1530864494,27,22
1530868093,12,14
1530871690,8,27
1530875291,8,25
1530878887,13,22
1530882492,72,12
1530886089,66,66
1530889690,72,55
1530893297,54,27
1530896900,77,22
1530900498,41,21
1530904108,53,41
1530907697,72,41
1530911298,42,35
1530914905,39,36
1530918499,32,20
1530922101,21,31
1530925710,51,34
1530929313,31,37
1530932907,34,34
1530936501,24,19
1530940106,31,23
1530943704,23,19
1530947305,21,21
1530950908,45,40
1530954508,21,29
1530958104,14,25
1530961705,13,20
1530965303,14,39
1530968902,49,16
1530972504,23,65
1530976086,18,42
1530979699,28,20
1530983303,24,13
1530986898,29,18
1530990502,23,13
1530994104,21,47
1530997698,26,13
1531001301,17,22
1531004900,14,27
1531008507,3,20
1531012096,24,29
1531015699,29,20
1531019299,12,39
1531022898,19,18
1531026501,27,14
1531030106,23,18
1531033702,17,14
1531037303,16,23
1531040904,29,39
1531044505,20,20
1531048102,15,26
1531051691,9,31
1531055300,22,22
1531058897,25,14
1531062488,16,27
1531066097,31,22
1531069696,14,26
1531073297,31,12
1531076946,15,13
1531080496,16,24
1531084093,28,36
1531087693,14,14
1531091295,5,43
1531094896,13,24
1531098488,12,25
1531102091,37,10
1531105691,11,18
1531109288,25,40
1531112891,13,21
1531116500,18,13
1531120088,17,16
1531123700,21,12
1531127296,36,43
1531130896,18,23
1531134478,5,41
1531138089,12,16
1531141690,10,27
1531145291,36,13
1531148878,22,26
1531152495,21,40
1531156090,33,34
1531159723,22,52
1531163290,19,41
1531166892,12,27
1531170487,30,69
1531174074,44,39
1531177695,14,40
1531181257,36,53
1531184880,7,32
1531188481,24,36
1531192075,31,34
1531195685,17,64
1531199267,24,43
1531202872,17,34
1531206467,19,28
1531210072,6,22
1531213672,16,35
1531217272,27,27
1531220869,58,49
1531224468,59,26
1531228073,45,29
1531231671,59,35
1531235275,52,32
1531238875,41,42
1531242476,41,23
1531246081,36,24
1531249680,38,38
1531253278,30,30
1531256876,33,30
1531260474,48,29
1531264079,36,32
1531267676,14,36
1531271275,21,25
1531274875,18,23
1531278477,46,27
1531282080,62,59
1531285685,28,66
1531289285,20,19
1531292883,32,28
1531296489,17,33
1531300089,29,30
1531303684,39,19
1531307267,22,23
1531310864,12,42
1531314467,10,27
1531318067,34,23
1531321672,42,16
1531325274,16,63
1531328872,25,39
1531332470,19,26
1531336076,28,43
1531339664,15,24
1531343273,24,38
1531346883,36,22
1531350471,18,25
1531354069,15,36
1531357672,13,18
1531361294,18,19
1531364873,35,18
1531368468,9,25
1531372076,27,42
1531375659,15,32
1531379272,27,33
1531382869,12,23
1531386473,19,28
1531390073,30,28
1531393669,60,12
1531397273,8,33
1531400871,12,17
1531404471,20,18
1531408071,35,23
1531411668,14,15
1531415274,20,25
1531418877,11,32
1531422470,24,24
1531426060,15,35
1531429677,18,22
1531433264,37,28
1531436862,14,36
1531440474,9,39
1531444066,8,40
1531447664,14,16
1531451267,34,22
1531454861,9,22
1531458466,40,23
1531462060,19,13
1531465650,20,20
1531469254,16,22
1531472848,14,19
1531476455,34,15
1531480062,41,9
1531483663,68,14
1531487262,49,56
1531490849,20,36
1531494457,27,57
1531498076,38,38
1531501662,18,62
1531505272,32,30
1531508869,20,28
1531512459,18,59
1531516062,17,26
1531519668,22,19
1531523267,26,23
1531526874,14,16
1531530460,9,53
1531534116,5,27
1531537653,26,40
1531541247,33,25
1531544858,13,34
1531548454,23,25
1531552050,13,28
1531555646,26,47
1531559251,14,14
1531562848,22,15
1531566444,26,16
1531570048,11,10
1531573639,8,61
1531577246,8,30
1531580842,21,25
1531584448,33,34
1531588052,15,18
1531591652,20,36
1531595251,12,17
1531598848,28,27
1531602450,13,36
1531606049,26,20
1531609644,38,20
1531613251,13,6
1531616854,9,27
1531620449,8,43
1531624051,17,17
1531627643,41,26
1531631249,17,27
1531634852,21,28
1531638449,7,16
1531642053,37,23
1531645651,64,38
1531649257,53,15
1531652857,64,19
1531656456,70,13
1531660055,26,19
1531663652,27,28
1531667240,24,14
1531670861,66,29
1531674462,29,17
1531678059,26,29
1531681658,32,17
1531685255,42,16
1531688864,53,36
1531692462,22,14
1531696059,26,6
1531699675,30,14
1531703263,22,15
1531706865,25,47
1531710460,18,15
1531714059,26,36
1531717666,35,16
1531721256,17,28
1531724859,28,14
1531728458,25,26
1531732050,37,42
1531735658,37,17
1531739260,27,12
1531742859,58,16
1531746461,30,13
1531750057,17,49
1531753724,14,18
1531757264,29,17
1531760867,42,28
1531764473,46,22
