DateTime,AddedIPs,RemovedIPs
1530716915,4,11
1530720522,55,11
1530724126,49,4
1530727730,68,15
1530731332,37,27
1530734932,25,10
1530738532,25,20
1530742135,21,18
1530745735,20,26
1530749335,30,14
1530752933,12,17
1530756531,9,32
1530760133,11,35
1530763729,12,13
1530767324,31,12
1530770923,12,20
1530774524,21,30
1530778121,11,14
1530781725,19,26
1530785322,11,10
1530788920,8,22
1530792526,26,10
1530796126,9,18
1530799728,9,34
1530803324,5,14
1530806926,4,11
1530810526,18,16
1530814142,28,13
1530817742,19,38
1530821342,28,11
1530824944,12,29
1530828546,10,12
1530832142,26,15
1530835744,20,14
1530839357,28,16
1530842943,9,28
1530846541,15,16
1530850137,8,5
1530853749,21,14
1530857346,12,6
1530860951,12,33
1530864550,23,15
1530868150,11,12
1530871752,5,26
1530875352,4,19
1530878946,10,17
1530882548,46,11
1530886145,31,45
1530889728,34,43
1530893344,24,14
1530896943,52,16
1530900549,15,13
1530904160,35,26
1530907747,53,35
1530911348,28,30
1530914947,22,29
1530918545,22,17
1530922149,13,26
1530925748,42,19
1530929367,21,30
1530932946,22,24
1530936546,12,15
1530940157,27,15
1530943757,14,15
1530947358,15,16
1530950956,35,33
1530954554,12,25
1530958155,8,23
1530961754,6,15
1530965352,7,35
1530968950,43,12
1530972550,20,56
1530976117,12,40
1530979743,24,14
1530983343,18,11
1530986947,22,11
1530990548,14,10
1530994147,18,41
1530997746,23,7
1531001346,10,17
1531004943,9,26
1531008545,4,15
1531012141,20,21
1531015744,28,15
1531019342,11,38
1531022939,15,15
1531026555,23,11
1531030150,20,13
1531033751,12,10
1531037350,17,22
1531040953,23,34
1531044552,13,15
1531048154,10,23
1531051746,7,25
1531055342,19,15
1531058942,21,9
1531062522,11,19
1531066141,26,19
1531069739,9,18
1531073340,26,7
1531076975,12,7
1531080540,11,19
1531084146,23,32
1531087741,10,11
1531091340,3,27
1531094943,9,10
1531098539,7,22
1531102143,30,6
1531105739,9,12
1531109337,22,31
1531112943,6,17
1531116552,17,10
1531120150,10,9
1531123754,19,11
1531127353,32,25
1531130949,15,13
1531134517,1,25
1531138139,10,7
1531141742,8,24
1531145339,34,9
1531148918,15,19
1531152543,10,32
1531156146,23,17
1531159741,16,23
1531163339,13,18
1531166943,9,16
1531170537,22,42
1531174140,41,26
1531177742,11,28
1531181345,11,36
1531184937,3,19
1531188536,20,21
1531192135,27,30
1531195737,14,49
1531199331,19,27
1531202927,13,17
1531206528,15,19
1531210127,5,10
1531213732,15,24
1531217330,23,16
1531220920,42,41
1531224522,37,19
1531228120,23,17
1531231723,32,17
1531235317,33,19
1531238927,22,35
1531242526,27,15
1531246127,19,12
1531249728,25,27
1531253326,20,22
1531256926,22,22
1531260526,33,21
1531264128,17,24
1531267727,5,24
1531271324,13,18
1531274923,12,17
1531278526,36,15
1531282127,55,42
1531285750,23,49
1531289350,12,11
1531292954,20,21
1531296550,11,18
1531300152,19,22
1531303751,26,14
1531307309,9,14
1531310912,7,35
1531314511,9,18
1531318113,22,15
1531321712,31,8
1531325327,13,58
1531328921,20,32
1531332524,14,15
1531336121,22,36
1531339723,14,17
1531343328,17,32
1531346932,28,19
1531350522,11,21
1531354121,8,29
1531357720,9,18
1531361354,11,14
1531364919,29,10
1531368512,7,18
1531372125,21,36
1531375726,9,24
1531379327,22,32
1531382920,8,17
1531386527,13,19
1531390125,27,22
1531393720,53,9
1531397319,6,31
1531400920,7,12
1531404520,11,9
1531408105,33,8
1531411720,10,6
1531415320,18,20
1531418925,9,27
