DateTime,AddedIPs,RemovedIPs
1532055632,70,12
1532057549,176,141
1532058340,41,176
1532059471,10,10
1532061029,113,73
1532061370,11,10
1532061727,110,148
1532062566,84,0
1532063549,9,19
1532063706,85,77
1532064605,65,0
1532065455,5,14
1532066106,142,136
1532067394,105,137
1532069296,86,124
1532070305,139,176
1532071223,14,11
1532071806,60,0
1532073144,11,19
1532073366,241,167
1532075063,17,14
1532076338,69,105
1532076985,198,155
1532078162,193,131
1532078894,14,25
1532079307,103,147
1532081064,16,990
1532081738,142,106
1532083228,24,22
1532083548,116,101
1532085155,553,142
1532085860,39,0
1532086206,35,0
1532087066,36,32
1532087707,143,197
1532088976,32,28
1532089686,135,110
1532090895,22,19
1532091011,90,242
1532092207,77,68
1532092809,22,24
1532093267,16,0
1532094738,120,150
1532095589,128,125
1532096665,24,16
1532097307,129,145
1532097730,17,0
1532098571,21,28
1532098861,42,0
1532100494,98,135
1532101210,143,107
1532102438,10,13
1532103327,871,1083
1532104338,0,21
1532104930,113,179
1532106274,52,14
1532106930,70,107
1532108201,46,12
1532108720,0,254
1532110119,0,12
1532110536,128,342
1532112018,58,16
1532112127,165,126
1532113952,66,14
1532114132,400,149
1532115858,25,26
1532115922,183,112
1532117803,165,169
1532118494,70,0
1532119327,54,196
1532119694,36,16
1532120448,59,0
1532121627,40,19
1532122235,68,100
1532123556,92,120
1532124930,97,189
1532125464,37,13
1532125821,48,108
1532128120,807,299
1532128527,85,128
1532130013,16,32
1532131950,8,27
1532132046,170,271
1532132886,45,0
1532133871,49,155
1532135785,164,151
1532137709,90,214
1532138167,59,0
1532139614,22,22
1532140208,38,66
1532140512,65,90
1532141543,22,27
1532142042,0,256
1532143472,98,55
1532144527,137,235
1532145380,25,17
1532145720,75,71
1532147293,23,16
1532147577,88,121
1532149230,25,22
1532149505,94,119
1532151143,22,15
1532151938,52,0
1532153070,121,135
1532154467,70,149
1532154986,25,16
1532155534,99,126
1532156903,11,17
1532157247,136,109
1532158086,65,1
1532159410,24,37
1532159766,146,180
1532161223,13,19
1532161806,63,69
1532163131,125,152
1532163905,80,135
1532165081,12,18
1532165432,84,115
1532166357,38,0
1532166967,22,27
1532168047,100,136
1532168897,15,847
1532169005,63,0
1532169728,42,221
1532170828,338,0
1532171739,189,94
1532172735,22,21
1532172914,97,166
1532174662,21,11
1532175339,113,126
1532176208,41,0
1532176581,44,10
1532176928,55,151
1532178047,53,0
1532178737,29,15
1532180664,122,156
1532180762,72,97
1532181800,107,123
1532182574,30,15
1532184126,129,95
1532184495,30,12
1532186139,147,166
1532186439,28,11
1532187145,63,91
1532187726,34,53
1532188338,17,11
1532189758,167,603
1532190251,15,9
1532190486,56,0
1532190718,758,0
1532192169,25,13
1532192437,84,249
1532193337,60,91
1532194091,15,9
1532194230,81,169
1532195337,64,0
1532196022,32,11
1532196040,0,252
1532196847,64,126
1532197937,17,13
1532198411,100,123
1532199872,14,14
1532200533,131,164
1532201286,45,0
1532201768,18,12
1532202126,62,122
1532203702,21,14
1532205609,164,185
1532205727,199,127
1532207535,16,22
1532207705,79,89
1532208356,76,0
1532209467,59,156
1532210166,55,0
1532211374,17,17
1532211897,552,345
1532212086,38,0
1532213536,10,19
1532213630,80,112
1532214908,62,157
1532215465,303,0
1532215687,41,0
1532216528,37,234
1532217375,10,23
1532218547,75,0
1532219539,312,82
1532219711,63,129
1532220906,54,0
1532221451,15,19
1532222111,88,121
1532223371,14,23
1532223952,111,136
1532225303,8,13
1532225734,377,133
1532227209,16,16
1532227329,99,180
1532228166,41,0
1532229139,14,9
1532230086,124,79
1532231065,76,156
1532231766,48,0
1532232972,8,14
1532233687,90,113
1532234528,29,193
1532234902,8,12
1532235365,85,0
1532237059,9,10
1532238006,128,215
1532238967,15,15
1532239351,88,144
1532240891,19,18
1532241151,72,210
1532242825,14,14
1532243411,121,118
1532244739,69,12
1532245327,47,141
1532246678,21,12
1532246985,107,140
1532248584,14,22
1532248806,94,185
1532250513,17,23
1532250905,42,39
1532250911,107,74
1532252415,22,17
1532252732,79,153
1532254336,102,1068
1532254544,19,0
1532256258,31,25
1532257248,125,168
1532258192,510,111
1532258887,85,0
1532260113,89,152
1532262037,101,131
1532263951,58,117
1532264106,63,0
1532265863,18,14
1532266806,154,265
1532267792,18,16
1532268216,46,498
1532269936,21,22
1532270732,49,1
1532272104,84,235
1532272213,73,81
1532274011,43,24
1532274349,145,138
1532276184,1641,136
1532277007,250,748
1532279081,160,138
1532280974,42,119
