DateTime,AddedIPs,RemovedIPs
1531532906,26,13
1531534821,33,7
1531536742,46,17
1531538658,105,19
1531540596,30,20
1531542495,25,16
1531544436,24,21
1531546340,25,16
1531548275,11,23
1531550187,28,26
1531552114,15,17
1531554028,18,15
1531555958,21,27
1531557871,18,28
1531560027,19,25
1531561941,51,27
1531564108,23,1204
1531566068,37,64
1531567955,526,2
1531570103,20,22
1531572025,28,17
1531573951,22,20
1531575875,29,21
1531577794,36,24
1531579714,31,20
1531581613,28,13
1531583788,29,16
1531585954,17,20
1531588111,24,13
1531590029,31,29
1531591950,23,14
1531593868,39,11
1531595796,29,31
1531597696,46,27
1531599617,21,17
1531601541,16,22
1531603462,16,35
1531605384,21,17
1531607311,9,31
1531609239,448,0
1531611154,23,30
1531613063,24,18
1531614989,6,16
1531617141,19,19
1531619301,22,23
1531621465,17,18
1531623385,18,23
1531625309,9,11
1531627466,17,11
1531629383,19,20
1531631540,13,13
1531633704,13,27
1531635645,36,17
1531637798,19,17
1531639714,13,25
1531641656,27,28
1531643540,19,15
1531645480,38,25
1531647392,21,33
1531649316,26,1404
1531651227,28,27
1531653158,632,0
1531655556,33,33
1531657708,61,35
1531659640,24,28
1531661540,24,31
1531663476,23,34
1531665393,29,45
1531667313,20,37
1531669216,26,34
1531671395,57,32
1531673548,45,29
1531675705,17,39
1531677886,20,19
1531679793,26,27
1531682281,28,18
1531684343,14,25
1531686260,15,20
1531688457,22,24
1531690840,19,26
1531693000,32,25
1531695141,17,34
1531697055,572,0
1531698975,11,26
1531700905,16,25
1531702831,13,27
1531704744,22,30
1531706669,18,34
1531708586,30,42
1531710505,45,36
1531712425,27,32
1531714362,50,25
1531716271,28,26
1531718184,21,35
1531720100,17,15
1531722271,22,26
1531724204,19,17
1531726106,1,6
1531728038,74,18
1531730186,4,41
1531732103,11,18
1531734026,2,19
1531735950,6,1075
1531738097,21,36
1531740027,473,0
1531742130,51,27
1531744103,25,20
1531747941,206,34
1531749881,113,19
1531751784,45,16
1531753699,23,14
1531755615,31,13
1531757784,17,19
1531759692,25,22
1531761610,22,16
1531763545,24,17
1531765693,27,21
1531767631,27,24
1531769553,18,16
1531771472,22,27
1531773408,30,21
1531775812,37,27
1531777939,44,31
1531780104,22,21
1531782032,426,0
1531783942,20,15
1531785865,19,24
1531787794,20,10
1531790210,46,21
1531792335,16,18
1531794263,33,13
1531796170,48,20
1531798100,31,11
1531800031,23,17
1531802180,25,21
1531804354,28,18
1531806255,35,15
1531808170,50,21
1531810098,32,13
1531812136,31,17
1531813947,26,23
1531816097,26,27
1531818039,29,17
1531819940,24,21
1531821881,20,1002
1531823791,26,11
1531825711,427,0
1531827617,31,18
1531829643,24,17
1531831459,24,11
1531833393,33,22
1531835293,27,23
1531837209,33,26
1531839139,41,34
1531841050,29,35
1531843237,46,46
1531845150,65,41
1531847073,56,21
1531848994,48,26
1531851143,38,26
1531853060,31,1
1531854988,33,3
1531856892,22,0
1531858816,17,0
1531860746,23,5
1531862653,21,3
1531864587,26,1
1531866490,16,6
1531868433,374,0
1531870363,55,12
1531872266,17,12
1531874184,20,14
1531876097,20,16
1531878028,15,24
1531879943,24,24
1531881870,15,29
1531883795,20,37
1531885709,15,34
1531887620,16,45
1531889549,8,19
1531891475,18,21
1531893386,16,28
1531895292,26,8
1531897228,17,3
1531899137,17,0
1531901073,18,0
1531902971,24,1
1531904912,17,7
1531906812,31,0
1531908760,17,1597
1531910656,38,22
1531912598,644,0
1531914496,26,28
1531916437,30,11
1531918346,27,30
1531920272,26,16
1531922175,24,19
1531924110,32,34
1531926033,31,46
1531927948,25,29
1531929862,30,21
1531931795,21,27
1531933719,22,27
1531935633,91,36
1531937547,28,34
1531939469,34,40
1531942612,35,52
1531944502,29,24
1531946422,47,36
1531948340,34,27
1531950271,30,23
1531952171,44,26
1531954105,48,29
1531956041,621,0
1531957954,47,19
1531959854,22,8
1531961779,28,30
1531963694,23,16
1531965642,23,18
1531967562,21,27
1531969474,29,37
1531971375,18,26
1531973319,25,21
1531975468,31,27
1531977401,19,27
1531979301,13,33
1531981238,37,34
1531983644,23,41
1531985542,29,26
1531987453,25,27
1531989623,29,40
1531991544,20,28
1531993468,22,22
1531995396,21,1284
1531997311,39,36
1531999231,518,0
