DateTime,Entries,UniqueIPs
1531532906,2583,2583
1531534821,2609,2609
1531536742,2638,2638
1531538658,2724,2724
1531540596,2734,2734
1531542495,2743,2743
1531544436,2746,2746
1531546340,2755,2755
1531548275,2743,2743
1531550187,2745,2745
1531552114,2743,2743
1531554028,2746,2746
1531555958,2740,2740
1531557871,2730,2730
1531560027,2724,2724
1531561941,2748,2748
1531564108,1567,1567
1531566068,1540,1540
1531567955,2064,2064
1531570103,2062,2062
1531572025,2073,2073
1531573951,2075,2075
1531575875,2083,2083
1531577794,2095,2095
1531579714,2106,2106
1531581613,2121,2121
1531583788,2134,2134
1531585954,2131,2131
1531588111,2142,2142
1531590029,2144,2144
1531591950,2153,2153
1531593868,2181,2181
1531595796,2179,2179
1531597696,2198,2198
1531599617,2202,2202
1531601541,2196,2196
1531603462,2177,2177
1531605384,2181,2181
1531607311,2159,2159
1531609239,2607,2607
1531611154,2600,2600
1531613063,2606,2606
1531614989,2596,2596
1531617141,2596,2596
1531619301,2595,2595
1531621465,2594,2594
1531623385,2589,2589
1531625309,2587,2587
1531627466,2593,2593
1531629383,2592,2592
1531631540,2592,2592
1531633704,2578,2578
1531635645,2597,2597
1531637798,2599,2599
1531639714,2587,2587
1531641656,2586,2586
1531643540,2590,2590
1531645480,2603,2603
1531647392,2591,2591
1531649316,1213,1213
1531651227,1214,1214
1531653158,1846,1846
1531655556,1846,1846
1531657708,1872,1872
1531659640,1868,1868
1531661540,1861,1861
1531663476,1850,1850
1531665393,1834,1834
1531667313,1817,1817
1531669216,1809,1809
1531671395,1834,1834
1531673548,1850,1850
1531675705,1828,1828
1531677886,1829,1829
1531679793,1828,1828
1531682281,1838,1838
1531684343,1827,1827
1531686260,1822,1822
1531688457,1820,1820
1531690840,1813,1813
1531693000,1820,1820
1531695141,1803,1803
1531697055,2375,2375
1531698975,2360,2360
1531700905,2351,2351
1531702831,2337,2337
1531704744,2329,2329
1531706669,2313,2313
1531708586,2301,2301
1531710505,2310,2310
1531712425,2305,2305
1531714362,2330,2330
1531716271,2332,2332
1531718184,2318,2318
1531720100,2320,2320
1531722271,2316,2316
1531724204,2318,2318
1531726106,2313,2313
1531728038,2369,2369
1531730186,2332,2332
1531732103,2325,2325
1531734026,2308,2308
1531735950,1239,1239
1531738097,1224,1224
1531740027,1697,1697
1531742130,1721,1721
1531744103,1726,1726
1531747941,1898,1898
1531749881,1992,1992
1531751784,2021,2021
1531753699,2030,2030
1531755615,2048,2048
1531757784,2046,2046
