DateTime,AddedIPs,RemovedIPs
1532061005,815,899
1532061904,783,595
1532062805,846,337
1532063705,730,545
1532064606,750,764
1532065505,881,954
1532066406,850,918
1532067307,659,504
1532068205,819,951
1532069106,893,918
1532070006,793,934
1532070906,698,950
1532071805,707,1043
1532072705,755,1150
1532073607,740,916
1532074506,690,890
1532075406,771,851
1532076306,682,1082
1532077207,774,1109
1532078107,782,890
1532079007,861,1043
1532079907,824,967
1532080807,1026,881
1532081706,1003,776
1532082607,904,744
1532083506,989,1396
1532084407,925,1316
1532085306,1019,1251
1532086207,875,1256
1532087106,744,883
1532088007,684,789
1532088907,698,797
1532089807,856,978
1532090707,744,775
1532091607,795,793
1532092507,706,908
1532093406,752,840
1532094305,673,690
1532095205,775,783
1532096107,722,635
1532097006,681,594
1532097906,638,682
1532098806,677,721
1532099706,606,565
1532100605,575,685
1532101506,617,883
1532102406,628,769
1532103306,631,1036
1532104206,571,743
1532105106,649,682
1532106006,840,875
1532106906,830,991
1532107806,799,835
1532108705,847,886
1532109606,738,649
1532110506,550,469
1532111406,34,14
1532112305,46,30
1532113206,33,29
1532114106,37,44
1532115005,1336,805
1532115905,757,673
1532116805,727,513
1532117705,818,412
1532118606,709,492
1532119505,695,637
1532120406,669,651
1532121306,610,827
1532122206,677,992
1532123105,414,577
1532124005,410,592
1532124906,486,4554
1532125806,458,451
1532127605,1097,1766
1532128507,440,1205
1532129406,489,961
1532130307,551,1533
1532131207,564,1522
1532132107,557,888
1532133007,488,1030
1532133906,495,1003
1532134807,578,893
1532135708,602,5248
1532136608,536,329
1532137508,482,621
1532138408,483,529
1532139308,578,389
1532140208,541,403
1532141108,509,286
1532142010,527,24
1532142909,557,32
1532143808,722,33
1532144709,627,20
1532145609,551,5
1532146509,593,28
1532147408,535,9
1532148309,573,9
1532149208,620,21
1532150108,479,51
1532151008,646,26
1532151908,674,27
1532152808,617,37
1532153708,590,5
1532154608,551,11
1532155507,618,22
1532156409,510,4362
1532157309,628,761
1532158209,693,685
1532159109,610,1399
1532160009,730,902
1532160909,630,613
1532161809,683,410
1532162709,679,504
1532163609,761,640
1532164509,781,597
1532165409,745,843
1532166309,640,1239
1532167209,462,18
1532168110,566,2
1532169008,582,5
1532169908,588,1
1532170809,612,9
1532171709,591,13
1532172608,625,28
1532173509,639,557
1532174408,687,370
1532175309,743,770
1532176210,725,305
1532177109,638,226
1532178008,466,265
1532178913,451,538
1532179809,623,4644
1532180710,646,193
1532181608,729,342
1532182508,682,624
1532183409,583,718
1532184308,656,731
1532185209,597,587
1532186108,648,603
1532187008,654,555
1532187908,497,444
1532188808,472,566
1532189709,575,456
1532190608,622,490
1532191508,692,632
1532192409,709,761
1532193309,694,560
