DateTime,AddedIPs,RemovedIPs
1529634636,18,0
1529638838,21,41
1529643636,15,0
1529647234,13,0
1529650837,6,15
1529654434,9,34
1529658036,5,0
1529661635,4,8
1529665236,4,13
1529668234,3,11
1529672437,7,22
1529676035,4,0
1529679037,9,19
1529682634,8,13
1529686837,12,14
1529690435,7,0
1529694037,16,56
1529697634,17,24
1529700636,5,37
1529704837,11,35
1529708434,21,0
1529711435,15,41
1529715636,20,24
1529719235,16,0
1529722836,6,9
1529725833,6,0
1529729436,10,14
1529733033,14,0
1529736636,7,19
1529740235,14,5
1529744436,25,10
1529748034,20,8
1529751036,30,8
1529755237,50,7
1529758834,37,0
1529762436,33,12
1529766034,19,9
1529769036,15,29
1529773237,30,0
1529776834,42,40
1529780437,23,0
1529783434,10,14
1529788237,12,23
1529793037,11,30
1529796634,8,0
1529799635,6,9
1529803234,6,0
1529807436,5,50
1529811034,1,0
1529814036,10,13
1529821234,15,27
1529824835,4,27
1529829636,13,43
1529832633,6,0
1529835636,13,69
1529843434,36,45
1529847038,18,59
1529850635,8,10
1529854236,12,4
1529857233,11,13
1529865035,22,21
1529868038,6,4
1529871635,13,10
1529875237,24,0
1529879437,39,13
1529883636,69,6
1529887836,43,6
1529892637,43,0
1529896838,27,23
1529901635,34,24
1529907036,33,15
1529911836,21,16
1529915433,9,0
1529918436,9,11
1529925634,8,42
1529929835,5,7
1529933434,8,0
1529936436,5,19
1529940035,5,8
1529944236,4,45
1529947835,12,0
1529950836,1,0
1529954433,3,12
1529958637,15,59
1529962234,15,32
1529969433,25,62
1529973637,22,44
1529977836,13,16
1529985034,13,18
1529988636,4,35
1529992234,9,13
1529996435,11,18
1530000034,7,0
1530003636,26,13
1530007234,11,8
1530010836,17,0
1530013833,17,13
1530017435,31,0
1530024634,71,21
1530031833,53,12
1530035436,34,13
1530039034,17,11
1530043237,19,35
1530046834,11,0
1530049835,5,46
1530053435,5,0
1530057035,3,17
1530060633,6,0
1530064235,6,16
1530067833,5,28
1530071436,7,0
1530075033,5,17
1530078635,11,0
1530082836,4,44
1530086433,8,0
1530089435,11,24
1530093636,14,71
1530097234,3,62
1530100835,30,0
1530104434,11,93
1530107435,14,0
1530111636,11,35
