DateTime,Entries,UniqueIPs
1529370036,4019,4090
1529373634,4020,4091
1529377238,4021,4092
1529380235,4017,4088
1529387435,4011,4083
1529394634,4009,4077
1529398237,3999,4066
1529402437,3995,4062
1529406037,3996,4063
1529409037,3993,4060
1529416234,3995,4062
1529419837,3993,4060
1529427036,3991,4058
1529431237,3988,4055
1529438439,3990,4057
1529442035,3991,4058
1529445637,3991,4058
1529449235,3987,4054
1529452236,3985,4052
1529456437,3991,4058
1529460035,4004,4071
1529463036,4002,4069
1529467236,4001,4068
1529473836,3996,4063
1529477434,4000,4067
1529481637,3997,4064
1529485234,4000,4067
1529488837,4001,4068
1529491834,3999,4066
1529496036,3992,4059
1529503236,3985,4052
1529506834,3978,4045
1529509836,3979,4046
1529512834,3974,4041
1529517637,3972,4039
1529524837,3970,4037
1529528435,3967,4034
1529532636,3965,4032
1529536836,3966,4033
1529540434,3963,4030
1529544037,3964,4031
1529551235,3958,4025
1529554835,3960,4027
1529562037,3955,4022
1529565636,3956,4023
1529572835,3950,4017
1529580036,3944,4011
1529583636,3943,4010
1529587837,3941,4009
1529595037,3936,4004
1529598034,3929,3997
1529602237,3927,3995
1529605835,3928,3996
1529609436,3927,3995
1529612434,3926,3994
1529620237,3924,3992
1529627436,3924,3992
1529631035,3925,3993
1529638838,3919,3987
1529643636,3917,3985
1529647234,3918,3986
1529650837,3912,3980
1529654434,3913,3981
1529658036,3914,3982
1529661635,3911,3979
1529665236,3912,3980
1529668234,3911,3979
1529672437,3907,3975
1529682634,3906,3974
1529686837,3906,3974
1529694037,3905,3973
1529700636,3899,3967
1529704837,3897,3965
1529708434,3898,3966
1529711435,3898,3967
1529715636,3896,3965
1529719235,3902,3971
1529725833,3899,3967
1529729436,3900,3968
1529733033,3897,3965
1529736636,3894,3962
1529740235,3883,3950
1529744436,3880,3947
1529748034,3881,3948
1529751036,3882,3949
1529755237,3877,3943
1529758834,3879,3945
1529762436,3880,3946
1529766034,3869,3934
1529769036,3862,3927
1529773237,3869,3934
1529776834,3894,3959
1529780437,3898,3963
1529783434,3901,3966
1529788237,3906,3971
1529793037,3907,3972
1529807436,3906,3970
1529814036,3903,3967
1529821234,3896,3960
1529829636,3889,3953
1529843434,3883,3946
1529847038,3885,3948
1529850635,3881,3944
1529854236,3880,3943
1529857233,3882,3945
1529865035,3881,3944
1529868038,3880,3943
1529871635,3880,3943
1529875237,3879,3942
1529879437,3879,3942
1529883636,3879,3942
1529887836,3878,3942
1529892637,3879,3943
1529896838,3876,3940
1529901635,3872,3936
1529907036,3872,3935
1529911836,3871,3934
1529915433,3873,3936
1529918436,3869,3932
1529925634,3870,3933
1529929835,3866,3929
1529936436,3866,3929
1529944236,3861,3924
1529947835,3862,3925
1529950836,3860,3923
1529954433,3858,3921
1529958637,3857,3920
1529962234,3857,3920
1529969433,3854,3917
1529973637,3848,3911
1529977836,3846,3909
1529985034,3847,3910
1529988636,3844,3907
1529992234,3843,3906
1529996435,3836,3899
1530003636,3837,3900
1530007234,3835,3898
1530010836,3833,3896
1530017435,3831,3894
1530024634,3832,3895
1530031833,3835,3898
1530035436,3836,3899
1530039034,3835,3898
1530043237,3831,3894
1530046834,3833,3896
1530053435,3834,3897
1530057035,3833,3896
1530060633,3831,3894
1530067833,3828,3891
1530071436,3826,3889
1530078635,3823,3886
1530082836,3818,3881
1530089435,3816,3879
1530093636,3814,3877
1530100835,3809,3872
1530104434,3807,3870
1530107435,3808,3871
1530111636,3802,3865
1530118236,3796,3858
1530125434,3797,3859
1530129036,3793,3855
1530139834,3789,3851
1530143435,3783,3845
1530150633,3781,3843
1530157833,3783,3845
1530162035,3782,3844
1530165634,3784,3846
1530169236,3778,3837
1530175836,3775,3834
1530183035,3773,3832
1530190234,3771,3830
1530193836,3769,3828
1530201035,3763,3822
1530208236,3765,3824
1530212436,3788,3847
1530216034,3811,3870
1530220236,3809,3868
1530225635,3806,3865
1530228633,3807,3866
1530232235,3807,3866
1530238834,3803,3862
1530242434,3800,3859
1530249633,3798,3857
1530257434,3797,3856
1530261035,3794,3853
1530264634,3794,3853
1530268235,3795,3854
1530271834,3789,3848
1530274835,3787,3846
1530282035,3783,3842
1530285634,3783,3842
1530289235,3785,3844
1530292835,3782,3841
1530297037,3783,3842
1530300634,3784,3843
1530304236,3781,3839
1530312037,3774,3832
1530317436,3776,3834
1530324036,3768,3826
1530331235,3766,3824
1530334833,3767,3825
1530337836,3765,3823
1530342037,3762,3820
1530348635,3760,3818
1530352836,3764,3822
1530360036,3760,3818
1530363633,3759,3817
1530373836,3756,3814
1530378036,3755,3813
1530388834,3751,3809
1530392436,3749,3807
1530396636,3748,3806
1530401435,3750,3808
1530405034,3746,3804
1530409235,3742,3800
1530412833,3743,3801
1530418832,3737,3795
1530422435,3738,3796
1530426033,3736,3794
1530430836,3731,3789
1530434436,3732,3790
1530438636,3730,3788
1530442837,3729,3787
1530446435,3779,3837
1530450037,3954,4014
1530453635,3961,4020
1530457837,3985,4044
1530461436,3993,4052
1530464437,3997,4056
1530468035,3999,4058
1530471637,4001,4060
