DateTime,AddedIPs,RemovedIPs
1529634636,101,110
1529638838,127,148
1529643636,120,158
1529647234,105,101
1529650837,136,141
1529654434,114,122
1529658036,106,97
1529661635,98,120
1529665236,101,115
1529668234,111,101
1529672437,141,114
1529676035,100,128
1529679037,105,85
1529682634,127,112
1529686837,147,133
1529690435,121,121
1529694037,120,168
1529697634,125,111
1529700636,117,101
1529704837,107,110
1529708434,132,117
1529711435,117,97
1529715636,132,158
1529719235,111,99
1529722836,102,116
1529725833,82,107
1529729436,109,100
1529733033,117,112
1529736636,124,109
1529740235,100,97
1529744436,130,132
1529748034,108,125
1529751036,106,81
1529755237,151,142
1529758834,124,134
1529762436,130,163
1529766034,107,123
1529769036,122,98
1529773237,176,116
1529776834,135,125
1529780437,117,122
1529783434,125,85
1529788237,133,169
1529793037,131,168
1529796634,107,117
1529799635,108,108
1529803234,138,86
1529807436,121,145
1529811034,109,158
1529814036,82,93
1529821234,182,189
1529824835,120,104
1529829636,129,141
1529832633,94,96
1529835636,125,85
1529843434,208,202
1529847038,118,95
1529850635,124,117
1529854236,101,111
1529857233,123,110
1529865035,183,212
1529868038,106,85
1529871635,123,127
1529875237,129,107
1529879437,157,125
1529883636,160,162
1529887836,132,164
1529892637,163,178
1529896838,166,159
1529901635,150,147
1529907036,191,179
1529911836,156,199
1529915433,112,123
1529918436,88,104
1529925634,184,181
1529929835,137,140
1529933434,118,108
1529936436,99,103
1529940035,114,111
1529944236,91,116
1529947835,137,138
1529950836,80,78
1529954433,139,126
1529958637,169,113
1529962234,111,104
1529969433,210,205
1529973637,107,139
1529977836,117,162
1529985034,172,209
1529988636,125,77
1529992234,103,94
1529996435,138,141
1530000034,113,102
1530003636,120,111
1530007234,97,126
1530010836,101,101
1530013833,94,138
1530017435,113,109
1530024634,209,211
1530031833,200,194
1530035436,130,128
1530039034,152,104
1530043237,122,137
1530046834,99,136
1530049835,102,124
1530053435,106,103
1530057035,111,95
1530060633,110,102
1530064235,87,114
1530067833,85,129
1530071436,90,99
1530075033,124,110
1530078635,120,93
1530082836,129,97
1530086433,91,117
1530089435,97,122
1530093636,138,140
1530097234,91,86
1530100835,156,138
1530104434,104,114
1530107435,90,96
1530111636,132,129
1530115234,121,103
1530118236,103,74
1530125434,194,208
1530129036,124,126
1530132635,140,108
1530139834,181,205
1530143435,121,90
1530150633,196,213
1530154235,110,114
1530157833,154,135
1530162035,124,134
1530165634,114,141
1530169236,100,102
1530172833,98,109
1530175836,92,94
1530179434,120,95
1530183035,114,101
1530190234,178,195
1530193836,108,87
1530197433,114,134
1530201035,81,98
1530204633,131,101
1530208236,125,87
1530212436,137,137
1530216034,147,101
1530220236,126,117
1530225635,149,204
1530228633,94,111
1530232235,140,121
1530235233,92,104
1530238834,101,124
1530242434,98,105
1530246035,114,97
1530249633,127,105
1530257434,207,209
1530261035,104,126
1530264634,102,98
1530268235,106,130
1530271834,111,146
1530274835,128,98
1530278434,118,109
1530282035,140,132
1530285634,138,123
1530289235,130,104
1530292835,128,105
1530297037,160,152
1530300634,155,125
1530304236,110,97
1530307834,126,99
1530312037,124,149
1530317436,155,175
1530319833,104,113
1530324036,146,126
1530327633,93,120
1530331235,97,126
1530334833,84,99
1530337836,115,107
1530342037,117,121
1530345634,122,129
1530348635,109,92
1530352836,141,118
1530356435,110,116
1530360036,104,119
1530363633,114,139
1530366635,99,112
1530370234,143,109
1530373836,135,107
1530378036,147,127
1530381634,134,125
1530385236,110,104
1530388834,119,129
1530392436,108,121
1530396636,125,114
1530401435,144,179
1530405034,117,89
1530409235,138,130
1530412833,128,145
1530415837,106,133
1530418832,102,100
1530422435,112,111
1530426033,143,114
1530430836,139,131
1530434436,97,160
1530438636,135,126
1530442837,125,110
1530446435,178,135
1530450037,291,120
1530453635,103,126
1530457837,129,152
1530461436,103,111
1530464437,139,96
1530468035,131,135
1530471637,96,133
1530478835,228,178
1530482438,128,105
1530485434,150,117
1530489637,164,99
1530493837,135,163
1530499238,159,231
1530504036,191,130
1530508237,131,139
1530511836,114,143
1530517236,149,176
1530520235,100,104
1530523838,138,84
1530526834,124,126
1530531036,141,135
1530534635,131,130
1530539437,118,174
1530543639,168,182
1530547234,198,129
1530552036,172,183
1530556836,187,171
1530562235,215,171
1530565834,140,136
1530568847,124,110
1530572434,123,129
1530576036,124,128
1530580236,135,130
1530585036,159,207
1530589236,160,116
1530594636,159,188
1530597634,93,96
1530601236,150,138
1530604834,120,118
1530612034,226,197
1530616240,151,157
1530621036,168,161
1530625235,147,157
1530630639,168,197
1530635436,197,182
1530639034,163,88
1530643236,143,136
1530648036,157,178
1530651635,140,142
1530655237,132,119
1530658834,129,104
1530662436,124,109
1530666034,100,122
1530669636,125,137
1530676833,213,237
1530680437,122,111
1530684636,164,187
1530690036,253,200
1530695434,202,215
1530700834,194,189
1530706234,219,180
1530709833,131,169
1530715233,176,210
1530720034,202,170
1530724235,195,124
1530729634,177,157
1530735034,156,196
1530739834,158,162
1530743433,134,108
1530747033,132,110
1530750633,118,114
1530754833,113,149
1530760234,158,208
1530765633,183,184
1530769833,148,152
1530774633,161,154
1530777633,139,92
1530781834,141,156
1530787834,158,225
1530792634,193,233
1530798034,195,171
1530803434,174,172
1530808233,204,182
1530811833,148,118
1530815434,129,130
1530819033,135,122
1530822634,149,96
1530829833,216,225
1530833433,129,95
1530840632,218,204
1530844834,111,140
1530848433,131,138
1530853834,161,195
1530859233,180,198
1530864633,194,187
1530868233,125,164
1530873035,213,130
1530880234,206,200
1530884433,111,137
1530888033,126,123
1530891634,133,129
1530896434,183,159
1530900634,137,130
1530906034,153,167
1530909033,145,106
1530912635,140,105
1530919833,176,190
1530924033,97,106
1530927633,149,143
1530933634,151,240
1530941432,281,231
1530945637,182,149
1530949232,138,162
1530954034,205,172
1530958234,133,171
1530963634,176,226
1530969033,190,187
1530974434,175,185
1530978033,152,162
1530982834,194,126
1530986433,135,131
1530990035,113,101
1530993634,120,151
1530997234,124,85
1531005032,163,241
1531009834,268,154
1531013433,140,113
1531017633,120,137
1531023034,153,154
1531028434,188,155
1531032034,92,153
1531036834,175,143
1531040433,135,100
1531044035,122,120
1531047634,102,90
1531051234,109,100
1531058460,164,216
1531062034,141,124
1531065633,136,94
1531069235,1228,54
1531076438,1246,201
1531085437,393,517
1531094437,458,468
1531104037,436,488
1531114238,1427,514
1531128657,812,919
1531143637,652,1025
1531157437,758,703
1531168839,771,624
1531181437,650,624
1531195837,645,775
1531209637,780,1257
1531222237,644,765
1531233636,527,743
1531245037,740,674
1531255837,736,588
1531266636,583,587
1531279236,509,648
1531291236,624,673
1531304436,691,728
1531315236,647,572
1531326637,549,546
1531335636,714,496
1531345236,749,628
1531356037,542,441
1531368635,457,745
1531381236,683,901
1531392036,633,673
1531403437,727,625
1531413636,545,524
1531424437,601,520
1531434036,551,433
1531443036,428,441
1531454435,404,698
1531464636,514,619
1531475435,696,794
1531486235,602,578
1531496436,564,597
1531506036,683,508
1531515637,662,571
1531524635,521,453
1531534235,451,483
1531546835,490,755
1531557635,613,607
1531567836,558,516
1531577436,485,474
1531585852,494,469
1531594911,479,465
1531604436,682,617
1531612836,567,443
1531623635,477,590
1531633835,495,698
1531642835,581,472
1531651836,614,540
1531661436,572,551
1531670435,411,482
1531679436,511,407
1531689035,415,518
1531698035,489,423
1531707635,510,451
1531717835,466,592
1531728035,498,488
1531738236,605,676
1531747234,556,563
1531756835,468,525
1531765836,585,399
1531774836,501,559
1531783835,527,555
1531794034,451,579
1531804835,474,630
1531815034,532,544
1531825240,589,539
1531835435,471,546
1531845634,516,518
1531855835,585,540
1531865435,512,502
1531873835,663,476
1531884635,460,628
1531893035,491,476
1531903237,552,541
1531914034,553,705
1531926034,546,770
1531933235,517,344
1531941035,502,387
1531951235,472,468
1531960234,362,487
1531969233,407,482
1531977633,466,409
1531986034,500,375
1531993235,382,346
1532002833,548,581
1532011233,472,509
1532020234,495,485
1532031634,426,705
1532041833,573,572
1532051433,559,545
1532061633,486,545
1532070632,536,434
1532078433,430,405
1532087434,441,477
1532096433,451,485
1532106047,428,499
1532115034,493,462
1532123434,442,427
1532132433,508,548
1532142033,479,560
1532149833,398,403
1532159433,386,397
1532167843,452,420
1532176833,486,513
1532185833,482,464
1532194833,533,361
1532204434,473,465
1532212834,411,362
1532219434,303,320
1532226633,365,331
1532234434,304,359
1532243433,563,390
1532252434,439,482
1532261434,416,400
1532269234,485,467
1532278234,419,432
1532287836,444,448
1532295634,417,439
1532304634,469,460
1532313635,442,548
1532320834,366,419
1532329234,436,393
1532336433,342,324
1532343634,301,301
1532351434,304,343
1532360433,366,479
1532369451,441,403
1532376046,316,298
1532383233,340,304
1532391033,345,356
1532397033,382,330
1532404833,442,353
1532412034,323,362
1532419833,344,374
1532429436,381,546
1532437833,463,409
1532446834,519,441
1532452847,378,285
1532461235,345,351
1532467234,318,276
1532474433,302,252
1532481633,305,293
1532489433,278,363
1532496033,280,284
1532504433,366,395
1532512233,337,376
