DateTime,AddedIPs,RemovedIPs
1529634633,23,22
1529638836,24,26
1529643634,21,21
1529647232,25,23
1529650835,23,24
1529654432,19,23
1529658034,20,20
1529661633,22,20
1529665234,23,22
1529668232,23,24
1529672434,23,22
1529676033,26,24
1529679035,21,26
1529682632,22,21
1529686835,24,22
1529690432,23,23
1529694035,23,24
1529697632,24,24
1529700634,22,23
1529704835,26,22
1529708432,20,24
1529711433,23,21
1529715634,22,21
1529719232,24,26
1529722834,23,23
1529725831,26,24
1529729434,27,26
1529733031,25,27
1529736634,22,24
1529740232,24,22
1529744434,21,22
1529748032,24,24
1529751034,23,23
1529755234,25,23
1529758832,23,25
1529762434,26,24
1529766032,23,25
1529769034,16,19
1529773235,25,21
1529776832,25,25
1529780435,20,22
1529783432,22,20
1529788235,24,23
1529793035,15,16
1529796632,21,24
1529799633,21,22
1529803232,24,20
1529807434,18,20
1529811032,23,21
1529814034,23,24
1529821231,19,21
1529824833,24,20
1529829634,20,22
1529832631,23,23
1529835634,24,23
1529843432,18,18
1529847035,23,23
1529850633,23,23
1529854235,22,24
1529857231,23,22
1529865032,22,19
1529868035,20,25
1529871632,21,20
1529875234,25,23
1529879435,21,22
1529883634,19,19
1529887834,21,22
1529892634,20,19
1529896835,24,22
1529901633,19,22
1529907034,21,20
1529911834,22,23
1529915431,22,22
1529918434,27,23
1529925631,24,26
1529929833,23,24
1529933432,22,22
1529936433,23,23
1529940033,22,23
1529944234,23,22
1529947832,23,22
1529950834,23,24
1529954431,26,23
1529958635,19,23
1529962232,22,21
1529969431,22,21
1529973634,22,23
1529977834,24,22
1529985032,15,20
1529988634,23,20
1529992232,22,23
1529996433,25,21
1530000032,25,27
1530003634,23,24
1530007232,23,23
1530010833,23,22
1530013831,24,23
1530017433,23,25
1530024632,22,21
1530031831,21,21
1530035434,24,24
1530039032,24,24
1530043234,23,22
1530046832,20,23
1530049833,23,23
1530053433,24,22
1530057033,23,23
1530060631,25,24
1530064233,22,25
1530067831,25,22
1530071434,22,23
1530075031,21,23
1530078633,24,21
1530082834,19,21
1530086431,23,20
1530089433,24,25
1530093634,21,24
1530097232,23,21
1530100833,20,20
1530104432,26,24
1530107433,24,26
1530111634,21,21
1530115232,23,22
1530118234,21,24
1530125432,21,19
1530129033,24,22
1530132631,17,21
1530139832,24,21
1530143433,24,24
1530150631,23,24
1530154233,22,23
1530157831,20,23
1530162033,25,20
1530165632,20,21
1530169233,25,23
1530172832,22,25
1530175833,24,23
1530179432,21,22
1530183033,23,22
1530190232,25,23
1530193834,25,26
1530197431,19,21
1530201033,24,22
1530204632,21,24
1530208233,23,21
1530212434,23,24
1530216032,22,21
1530220234,19,19
1530225633,19,21
1530228631,24,22
1530232233,25,24
1530235231,22,25
1530238832,19,18
1530242431,26,23
1530246033,24,26
1530249631,25,24
1530257431,24,24
1530261033,21,26
1530264632,24,20
1530268233,25,24
1530271831,23,23
1530274833,16,22
1530278432,25,19
1530282033,25,26
1530285631,22,22
1530289233,23,23
1530292833,21,21
1530297034,25,24
1530300632,20,26
1530304234,22,18
1530307832,23,23
1530312034,25,24
1530317433,17,16
1530319831,25,26
1530324033,25,23
1530327631,27,27
1530331233,22,26
1530334831,26,23
1530337833,26,26
1530342034,23,24
1530345632,20,21
1530348633,23,22
1530352834,20,22
1530356432,23,20
1530360034,24,26
1530363631,24,23
1530366633,26,25
1530370232,21,24
1530373834,26,22
1530378034,23,24
1530381632,22,25
1530385234,25,21
1530388832,21,25
1530392434,25,22
1530396634,18,23
1530401433,24,19
1530405032,24,26
1530409233,24,22
1530412831,23,25
1530415834,24,23
1530418830,23,22
1530422433,25,25
1530426031,21,23
1530430834,23,21
1530434433,23,23
1530438634,21,21
1530442834,22,22
1530446433,26,26
1530450035,25,25
1530453632,24,26
1530457834,22,20
1530461432,25,26
1530464434,26,25
1530468032,23,26
1530471634,25,23
1530478832,23,25
1530482436,27,23
1530485432,25,27
1530489634,24,24
1530493835,21,22
1530499235,21,20
1530504034,23,25
1530508234,24,23
1530511833,24,22
1530517234,26,26
1530520232,27,26
1530523836,22,25
1530526832,27,24
1530531034,22,26
1530534632,26,23
1530539433,24,24
1530543636,23,25
1530547232,25,22
1530552034,26,27
1530556833,20,19
1530562233,15,21
1530565832,25,21
1530568845,26,25
1530572432,25,26
1530576033,24,25
1530580233,23,22
1530585033,26,25
1530589233,21,23
1530594633,21,21
1530597632,25,24
1530601233,25,23
1530604832,22,27
1530612032,21,20
1530616238,25,22
1530621034,25,26
1530625233,22,23
1530630635,22,19
1530635433,20,23
1530639032,24,23
1530643234,25,25
1530648034,23,21
1530651633,26,27
1530655234,22,24
1530658831,26,24
1530662433,24,26
1530666031,20,24
1530669634,27,20
1530676831,20,23
