DateTime,AddedIPs,RemovedIPs
1531877045,13,13
1531877528,14,8
1531878007,10,10
1531878487,8,11
1531878966,10,10
1531879445,7,9
1531879927,10,7
1531880405,10,8
1531880886,6,7
1531881365,9,5
1531881848,4,6
1531882326,5,7
1531882824,7,4
1531883286,5,5
1531883780,5,5
1531884244,4,8
1531884727,13,9
1531885204,8,4
1531885689,6,11
1531886164,7,5
1531886646,5,4
1531887125,4,7
1531887610,5,3
1531888085,4,8
1531888566,9,6
1531889048,6,8
1531889528,8,4
1531890015,4,9
1531890488,10,6
1531890965,7,5
1531891445,6,6
1531891927,6,8
1531892407,7,5
1531892885,6,5
1531893366,6,6
1531893845,7,8
1531894328,5,6
1531894804,7,5
1531895285,6,3
1531895764,3,5
1531896246,8,7
1531896728,7,8
1531897219,5,6
1531897686,10,9
1531898169,4,5
1531898644,8,4
1531899126,4,6
1531899605,5,5
1531900089,5,5
1531900565,7,8
1531901048,8,8
1531901526,6,6
1531902010,5,8
1531902484,7,1
1531915927,0,1
1531916421,1,0
1531932245,0,1
1531932725,1,0
1531957446,0,1
1531957929,1,0
1531962248,0,9
1531962726,13,10
1531963209,12,16
1531963689,10,9
1531964166,11,9
1531964648,13,13
1531965129,8,5
1531965626,10,12
1531966087,6,4
1531966566,4,6
1531967044,8,8
1531967546,5,7
1531968009,12,9
1531968485,8,9
1531968967,12,8
1531969447,9,5
1531969928,5,5
1531970408,4,8
1531970887,8,4
1531971366,8,9
1531971844,6,8
1531972329,5,6
1531972880,5,5
1531973288,6,5
1531973769,7,7
1531974486,7,6
1531974964,7,7
1531975447,6,4
1531975928,3,4
1531976414,8,8
1531976887,5,6
1531977369,4,6
1531977845,8,8
1531978330,9,13
1531978804,10,5
1531979287,6,3
1531979765,14,17
1531980247,9,8
1531980725,8,9
1531981210,8,6
1531981685,6,7
1531982164,6,6
1531983623,10,8
1531984327,6,7
1531984805,6,4
1531985287,6,12
1531985764,12,4
1531986247,3,5
1531986724,7,9
1531987212,7,5
1531987686,4,13
1531988167,11,8
1531988644,6,3
1531989128,3,1
1531989607,1,0
1531999210,0,1
1531999687,1,0
1532000645,1,0
1532004487,0,1
1532004968,1,0
1532022725,0,1
1532023216,1,0
1532027769,0,1
1532029685,1,0
1532035445,0,1
1532035929,1,0
1532041216,0,1
1532041689,1,0
1532048886,2,7
1532049369,12,17
1532049845,13,10
1532050331,13,11
1532050804,7,8
1532051292,12,12
1532051765,12,8
1532052248,5,7
1532052728,7,8
1532053208,8,4
1532053684,9,9
1532054165,7,6
1532054646,4,4
1532055126,5,8
1532055615,4,3
1532056087,6,6
1532056567,5,9
1532057045,9,5
1532057529,8,8
1532058007,8,8
1532058491,10,10
1532058965,10,8
1532059448,9,6
1532059926,5,3
1532060408,4,9
1532061129,6,8
1532061605,8,5
1532062087,5,6
1532062564,8,5
1532063050,3,9
1532063526,9,6
1532064006,5,5
1532064488,6,9
1532064965,7,6
1532065447,6,7
1532065925,7,5
1532066418,7,9
1532066887,9,6
1532067369,5,8
1532067845,7,8
1532068326,6,6
1532068806,7,5
