DateTime,AddedIPs,RemovedIPs
1532075522,3,2
1532076122,0,2
1532076722,2,0
1532077323,1,0
1532078523,0,1
1532079722,4,0
1532080921,0,2
1532081522,10,10
1532082122,1,0
1532083322,4,3
1532083922,2,0
1532084522,4,1
1532085122,2,0
1532085722,2,1
1532087522,1,5
1532088124,2,0
1532089322,3,6
1532090522,1,1
1532091722,5,3
1532092922,1,3
1532094122,7,4
1532095322,7,1
1532095922,1,0
1532096522,4,3
1532097722,1,0
1532098922,5,1
1532100122,1,17
1532100723,6,6
1532101322,2,1
1532102522,1,0
1532103121,7,1
1532103722,6,0
1532104922,8,0
1532105522,9,1
1532106122,1,0
1532106721,3,4
1532107321,1,3
1532107922,1,0
1532108522,1,0
1532109722,0,3
1532110322,1,0
1532112121,1,0
1532113322,4,3
1532114522,0,4
1532115722,16,1
1532116322,9,0
1532116921,8,1
1532118122,2,0
1532118721,1,0
1532119322,0,3
1532119922,1,0
1532120522,2,0
1532121721,2,3
1532122322,6,0
1532124121,2,5
1532125322,0,2
1532127722,1,2
1532128321,8,2
1532130122,1,2
1532131322,2,1
1532131923,3,0
1532132522,5,4
1532133722,12,5
1532134322,2,0
1532134922,1,1
1532136122,1,0
1532136722,7,13
1532137322,1,0
1532137921,3,1
1532138522,13,7
1532139721,13,1
1532140922,1,2
1532141521,2,0
1532142122,1,0
1532143323,0,2
1532143922,1,0
1532144522,2,0
1532145722,0,2
1532146922,1,25
1532147521,1,7
1532148121,2,0
1532149321,3,11
1532150522,3,0
1532151122,1,1
1532151721,13,0
1532152922,0,1
1532154122,2,2
1532155322,0,2
1532156522,1,13
1532157721,1,15
1532158322,2,0
1532158922,13,1
1532159522,5,0
1532160122,10,0
1532161322,2,1
1532162522,3,1
1532164923,1,1
1532166123,4,18
1532167322,8,4
1532168522,11,0
1532169722,10,0
1532170322,3,2
1532170922,3,4
1532172122,0,1
1532173321,0,18
1532174522,0,1
1532175122,3,6
1532175722,8,0
1532176921,7,0
1532177521,1,0
1532178122,4,7
1532179322,5,0
1532179922,0,2
1532180522,7,0
1532181722,0,5
1532182922,0,4
1532184122,1,1
1532185322,0,4
1532186522,13,4
1532187123,2,2
1532187722,6,0
1532188922,1,0
1532189522,7,2
1532190121,1,0
1532190722,8,2
1532191322,3,6
1532192521,4,1
1532193721,0,17
1532194322,3,0
1532194922,2,0
1532196122,1,0
1532197322,5,2
1532198522,2,9
1532199722,2,1
1532200322,0,5
