DateTime,AddedIPs,RemovedIPs
1532110322,28,28
1532110923,16,16
1532112121,76,76
1532113322,80,80
1532114522,80,80
1532115722,77,77
1532116322,80,80
1532116921,80,80
1532117522,80,80
1532118122,80,80
1532118721,78,78
1532119322,80,80
1532119922,80,80
1532120522,80,80
1532121721,77,77
1532122322,69,69
1532122922,80,80
1532124121,79,79
1532125322,79,79
1532126521,74,74
1532127722,80,80
1532128321,80,80
1532128922,80,80
1532130122,80,80
1532131322,60,60
1532131923,76,76
1532132522,79,79
1532133722,78,78
1532134322,80,80
1532134922,80,80
1532136122,80,80
1532136722,80,80
1532137322,80,80
1532137921,80,80
1532138522,80,80
1532139721,68,68
1532140922,80,80
1532141521,80,80
1532142122,80,80
1532142722,80,80
1532143323,80,80
1532143922,79,79
1532144522,77,77
1532145722,20,20
1532146922,80,80
1532147521,79,79
1532148121,78,78
1532149321,59,59
1532149924,49,49
1532150522,80,80
1532151122,80,80
1532151721,79,79
1532152321,80,80
1532152922,80,80
1532154122,80,80
1532155322,79,79
1532156522,44,44
1532157721,25,25
1532158322,80,80
1532158922,80,80
1532159522,80,80
1532160122,80,80
1532161322,33,33
1532162522,80,80
1532163721,68,68
1532164923,77,77
1532166123,77,77
1532167322,52,52
1532168522,47,47
1532169722,74,74
1532170322,74,74
1532170922,80,80
1532172122,80,80
1532173321,80,80
1532174522,64,64
1532175122,80,80
1532175722,80,80
1532176322,80,80
1532176921,80,80
1532177521,74,74
1532178122,80,80
1532179322,78,78
1532179922,80,80
1532180522,80,80
1532181722,80,80
1532182922,80,80
1532184122,72,72
1532185322,60,60
1532186522,78,78
1532187123,77,77
1532187722,80,80
1532188922,80,80
1532189522,80,80
1532190121,80,80
1532190722,80,80
1532191322,80,80
1532191921,80,80
1532192521,80,80
1532193721,77,77
1532194322,80,80
1532194922,80,80
1532196122,79,79
1532197322,73,73
1532198522,70,70
1532199722,80,80
1532200322,80,80
1532200922,80,80
1532202123,80,80
1532203322,63,63
1532204522,48,48
1532205722,80,80
1532206922,76,76
1532207522,80,80
1532208121,69,69
1532208722,80,80
1532209323,66,66
1532209922,80,80
1532210521,76,76
1532211722,77,77
1532212922,50,50
1532213522,70,70
1532214122,80,80
1532214722,80,80
1532215322,80,80
1532216522,80,80
1532217122,80,80
1532217723,78,78
1532218322,80,80
1532218922,79,79
1532220122,79,79
1532221322,54,54
1532221922,80,80
1532222521,79,79
1532223121,80,80
1532223722,80,80
1532224922,65,65
1532226122,76,76
1532226722,39,39
1532227321,79,79
1532227922,55,55
1532228522,12,12
1532229722,80,80
1532230922,80,80
1532232122,79,79
1532233323,79,79
1532233922,78,78
1532234522,80,80
1532235722,61,61
1532236322,80,80
1532236921,80,80
1532237522,79,79
1532238122,78,78
1532239322,60,60
1532239922,80,80
1532240522,79,79
1532241722,80,80
1532242922,51,51
1532243521,80,80
1532244122,80,80
1532244721,80,80
1532245322,80,80
1532246521,80,80
1532247722,79,79
1532248322,80,80
1532248921,79,79
1532249522,77,77
1532250122,74,74
1532250722,80,80
1532251322,80,80
1532251922,80,80
1532252522,80,80
1532253122,80,80
1532253722,80,80
1532254922,80,80
1532255522,80,80
1532256122,80,80
1532257322,79,79
1532258522,76,76
1532259722,80,80
1532260322,80,80
1532260922,80,80
1532262121,80,80
1532263322,73,73
1532263921,80,80
1532264521,80,80
1532265121,80,80
1532265721,80,80
1532266922,80,80
1532268121,79,79
1532269322,79,79
1532270522,73,73
1532271722,80,80
1532272922,25,25
1532273522,80,80
1532274122,76,76
1532275321,80,80
1532275922,80,80
1532276522,80,80
1532278922,76,76
1532280122,68,68
1532280722,80,80
1532281321,47,47
1532282522,80,80
1532283722,72,72
1532284322,80,80
1532284922,78,78
1532285522,80,80
1532286122,80,80
1532286722,80,80
1532287322,80,80
1532287922,80,80
1532288522,80,80
1532289122,66,66
1532289722,80,80
1532290922,80,80
1532291522,80,80
1532292122,80,80
1532292722,80,80
1532293322,80,80
1532293922,80,80
1532294523,79,79
1532295721,75,75
1532296922,79,79
1532297522,80,80
1532298122,80,80
1532298722,80,80
1532299322,80,80
1532299923,80,80
1532300522,80,80
1532301721,74,74
1532302322,80,80
1532302922,80,80
1532304122,74,74
1532304721,79,79
1532305323,80,80
1532305922,80,80
1532306522,80,80
1532307121,80,80
1532307723,80,80
1532308322,80,80
1532308922,80,80
1532310122,57,57
1532311322,79,79
1532311922,80,80
1532312522,80,80
1532313122,77,77
1532313722,53,53
1532314321,80,80
1532314923,80,80
1532316122,17,17
1532316722,80,80
1532317323,80,80
1532318522,62,62
1532319122,80,80
1532319722,80,80
1532320922,72,72
1532321522,80,80
1532322123,80,80
1532323323,80,80
1532324522,80,80
1532325722,80,80
1532326322,73,73
1532326923,78,78
1532327522,80,80
1532328122,80,80
1532329322,76,76
1532329922,80,80
1532330522,78,78
1532331121,80,80
1532331722,80,80
1532332322,70,70
1532332921,80,80
1532333522,80,80
1532334122,80,80
1532334722,80,80
1532335323,80,80
1532336522,72,72
1532337722,73,73
1532338922,72,72
1532341322,75,75
1532341922,80,80
1532342522,80,80
1532343722,80,80
1532344922,74,74
1532346122,80,80
1532347322,80,80
1532348522,74,74
1532349722,67,67
1532350321,80,80
1532350922,26,26
1532351522,78,78
1532352122,80,80
1532352722,80,80
1532353322,80,80
1532354522,80,80
1532355722,80,80
1532356921,69,69
1532357521,80,80
1532358122,80,80
1532359322,61,61
1532360522,80,80
1532361122,80,80
1532361721,77,77
1532362921,80,80
1532363522,36,36
1532364122,76,76
1532364722,80,80
1532365321,80,80
1532365922,80,80
1532366521,79,79
1532367722,80,80
1532368922,75,75
1532369522,80,80
1532370122,80,80
1532370722,80,80
1532371321,80,80
1532371922,80,80
1532372522,79,79
1532373122,80,80
1532373722,80,80
