DateTime,AddedIPs,RemovedIPs
1532096522,15,52
1532097722,13,22
1532098922,6,16
1532100122,5,34
1532100723,5,0
1532101321,10,0
1532102522,13,17
1532103121,20,17
1532103721,6,22
1532104922,6,54
1532105522,14,0
1532106122,7,14
1532107321,5,18
1532107922,4,0
1532108522,2,0
1532109722,11,22
1532110322,2,0
1532110923,51,12
1532112121,40,20
1532113322,42,6
1532114522,25,11
1532115722,36,10
1532116921,30,9
1532117522,9,6
1532118122,15,4
1532119322,26,30
1532120522,13,32
1532121122,17,0
1532121721,19,25
1532122322,11,8
1532122921,16,0
1532124121,16,15
1532125322,31,7
1532126521,9,15
1532127721,19,21
1532128321,22,9
1532128922,16,0
1532130121,17,12
1532131322,9,0
1532132522,15,9
1532133722,10,8
1532134922,4,17
1532136122,18,12
1532136722,5,20
1532137322,12,0
1532137921,2,7
1532138522,8,18
1532139721,30,35
1532140322,11,0
1532140922,9,3
1532142122,18,7
1532143322,19,20
1532143922,8,9
1532144522,18,0
1532145121,7,7
1532145722,17,9
1532146922,20,26
1532147521,3,0
1532148121,9,11
1532148722,13,0
1532149321,15,7
1532149924,15,0
1532150522,8,6
1532151122,3,11
1532151721,1,12
1532152321,11,22
1532152922,7,16
1532153521,18,0
1532154122,4,23
1532155322,19,22
1532156522,6,46
1532157721,18,14
1532158922,21,51
1532159522,6,17
1532160122,10,0
1532161322,6,24
1532162522,3,18
1532163721,22,70
1532164923,9,0
1532166123,9,39
1532167322,3,18
1532167921,14,18
1532168522,5,8
1532169722,7,18
1532170921,7,20
1532172122,21,15
1532173321,22,13
1532174522,16,27
1532175122,13,28
1532175722,16,0
1532176322,13,22
1532176921,18,20
1532178122,8,8
1532179322,6,31
1532180522,8,0
1532181722,10,24
1532182922,19,28
1532183522,15,26
1532184121,19,17
1532185322,12,0
1532186522,8,13
1532187123,8,8
1532187722,6,20
1532188922,16,0
1532189522,21,13
1532190121,14,10
1532190722,19,18
1532191322,17,6
1532192521,19,7
1532193721,15,12
1532194322,8,4
1532194922,12,17
1532196122,15,0
1532197322,6,36
1532197922,6,0
1532198522,7,0
1532199722,12,10
1532200322,21,6
1532200922,15,12
1532201522,16,0
1532202123,10,0
1532203321,10,9
1532204521,18,6
1532205722,29,13
1532206322,31,0
1532206922,16,0
1532207522,12,7
1532208121,15,5
1532209322,16,18
1532210521,15,0
1532211722,10,21
1532212322,10,0
1532212922,9,10
1532213522,3,0
1532214122,13,0
1532214722,6,20
1532215322,14,7
1532216522,19,0
1532217121,9,15
1532217723,14,0
1532218322,12,7
1532218921,6,0
1532219522,15,13
1532220122,4,0
1532221322,29,15
1532221922,9,0
1532222521,16,0
1532223722,21,7
1532224323,4,4
1532224922,9,12
1532226122,11,0
1532227321,18,39
1532227922,6,0
1532228522,11,5
1532229722,11,0
1532230921,6,23
1532232122,16,13
1532232722,12,11
1532233323,9,0
1532234522,17,36
1532235722,9,8
1532236322,17,29
1532236921,7,0
1532237522,9,13
1532238122,18,0
1532238721,4,11
1532239322,11,9
1532240522,10,11
1532241722,19,0
1532242922,23,14
1532243521,3,8
1532244122,3,0
1532245322,15,31
1532245921,12,0
1532246521,11,16
1532247722,10,8
1532248322,23,0
1532248921,14,4
1532250122,11,28
1532250722,7,0
1532251322,3,10
1532252522,12,0
1532253122,10,12
1532253722,13,8
1532254322,2,4
1532254922,5,12
1532255522,5,0
1532256122,11,8
1532257322,13,0
1532257922,1,8
1532258522,1,13
1532259122,7,0
1532259722,5,9
1532260322,2,0
1532260922,7,7
1532262121,16,7
1532263322,8,34
1532263921,5,0
1532264521,10,4
1532265721,10,7
1532266922,3,0
1532268121,16,8
1532269322,11,6
1532270522,21,34
1532271122,6,0
1532271722,6,7
1532272922,3,0
1532273522,9,4
1532274122,2,2
1532275321,4,7
1532275922,1,11
1532276522,2,10
1532278921,10,41
1532279522,7,0
1532280122,5,0
1532281321,8,20
1532282522,12,24
1532283722,8,0
1532284922,12,20
1532285522,8,0
1532286122,9,4
1532286721,3,0
1532287322,4,22
1532287922,1,7
1532288522,3,23
1532289122,9,0
1532289722,11,10
1532290922,14,13
1532292122,6,0
1532292722,7,41
1532293322,1,10
1532293922,5,8
1532294522,5,21
1532295721,17,0
1532296322,7,17
1532296922,11,11
1532298122,13,0
1532299322,12,32
1532300522,9,2
1532301122,19,13
1532301721,19,32
1532302322,6,0
1532302922,9,0
1532303521,5,12
1532304122,19,27
1532304721,6,5
1532305322,13,21
1532306522,4,12
1532307121,4,0
1532307723,3,25
1532308322,15,0
1532308922,4,8
1532309522,6,17
1532310122,15,13
1532311322,16,10
1532311922,6,11
1532312522,22,7
1532313722,10,17
1532314321,7,8
1532314923,7,0
1532316122,17,20
1532316722,6,0
1532317323,7,0
1532317921,17,16
1532318522,18,15
1532319122,13,15
1532319721,14,8
1532320322,8,0
1532320922,9,0
1532321522,7,12
1532322123,6,4
1532322722,7,0
1532323323,16,13
1532323922,12,16
1532324522,8,11
1532325122,12,16
1532325721,7,28
1532326322,8,0
1532326923,21,11
1532328122,21,0
1532328721,8,8
1532329322,16,5
1532330522,14,7
1532331722,2,12
1532332921,8,24
1532333522,12,0
1532334122,21,11
1532335323,20,20
1532335922,19,12
1532336522,21,0
1532337721,21,18
1532338922,21,15
1532341322,22,37
1532341922,12,6
1532342522,10,16
1532343722,15,10
1532344922,13,5
1532345521,6,8
1532346122,9,4
1532347322,9,23
1532348522,17,20
1532349121,10,0
1532349722,13,0
1532350321,7,3
1532350922,5,11
1532352122,16,11
1532352722,4,11
1532353322,9,0
1532354522,10,8
1532355722,24,13
1532356921,23,12
1532357521,17,28
1532358121,4,0
1532359322,17,21
1532360522,24,6
1532361721,16,9
1532362921,20,5
1532363522,11,12
1532364122,6,0
1532365321,20,7
1532365922,13,5
1532366521,12,11
1532367122,6,0
1532367722,17,16
1532368922,24,0
1532369522,10,8
1532370122,15,7
1532370722,11,0
1532371321,8,0
1532371922,16,17
1532372522,11,6
1532373722,14,11
1532374321,11,0
1532374921,12,2
1532376122,9,12
1532376722,18,16
1532377321,8,17
1532379722,10,27
1532380322,5,0
1532380922,5,3
1532381522,7,18
1532382121,3,0
1532383321,12,35
1532384522,8,10
1532385722,6,0
1532386922,27,17
1532387522,20,10
1532388121,8,12
1532388722,6,14
1532389322,27,11
1532389921,7,14
1532390522,9,7
1532391722,7,63
1532392321,8,0
1532392922,9,0
1532393523,11,9
1532394122,11,13
1532395321,17,29
1532395922,12,7
1532396522,6,0
1532397121,10,23
1532397722,10,10
1532398922,10,19
1532399522,12,0
1532400121,12,0
1532401323,18,13
1532401922,15,0
1532402522,10,0
1532403122,8,9
1532403722,16,12
1532404921,4,27
1532406121,18,28
1532406721,8,19
1532407322,15,2
1532408522,13,26
1532409121,8,0
1532409721,10,13
1532410922,10,24
1532412122,17,22
1532413321,8,43
1532413922,23,0
1532414521,9,0
1532415722,9,19
1532416921,10,24
1532418122,12,0
1532418722,16,3
1532419322,10,0
1532420522,9,23
1532421722,10,16
1532422921,7,37
1532423522,2,0
1532424122,4,0
1532425322,16,44
1532425921,16,0
1532426521,7,0
1532427722,12,0
1532428922,16,25
1532430122,10,27
1532431322,7,5
1532432522,18,15
1532433121,12,12
1532433722,11,13
1532434922,6,0
1532435521,6,16
1532436122,4,14
1532437321,8,38
1532437922,1,0
1532438522,4,8
1532439721,10,25
1532440322,11,0
1532440921,6,17
1532441522,3,0
1532442121,11,15
1532443322,23,0
1532443922,10,11
1532444522,12,11
1532445721,15,5
1532446922,14,15
1532447522,1,0
1532448123,10,0
1532448722,4,9
1532449322,15,6
1532450522,10,21
1532451722,13,0
1532452323,18,13
1532452922,11,27
1532453522,15,9
1532454122,1,17
1532454721,17,0
1532455322,10,16
1532456521,13,21
1532457722,18,6
1532458322,12,14
1532458921,5,6
1532459522,5,0
1532460122,10,6
1532461322,18,27
1532461922,13,0
1532462522,22,8
1532463722,16,24
1532464922,36,8
1532465522,8,0
1532466122,29,0
1532466722,6,9
1532467321,21,24
1532468522,18,7
1532469721,25,9
1532470921,21,11
1532472122,21,9
1532473322,11,23
1532473922,31,12
1532474522,15,6
1532475722,35,10
1532476321,28,20
1532476922,11,14
1532478122,18,7
1532479321,7,6
1532480522,25,28
1532481121,7,13
1532481724,20,13
1532482322,14,0
1532482921,9,20
1532484123,12,11
1532485322,25,6
1532486522,35,47
1532487122,23,0
1532487722,10,0
1532488922,13,43
1532490122,21,9
1532491322,10,13
1532491922,16,6
1532492521,19,0
1532493121,18,19
1532493722,8,21
1532494322,8,0
1532494922,21,0
1532495522,6,18
1532496122,18,14
1532496721,3,0
1532497322,14,0
1532498522,13,25
1532499122,14,0
1532499722,8,10
1532500322,12,15
1532500922,5,16
1532501522,6,0
1532502122,6,15
1532503322,11,0
1532504522,21,20
1532505721,16,12
