DateTime,AddedIPs,RemovedIPs
1530334968,1,0
1530338567,0,1
1530342167,2,0
1530345768,0,2
1530349367,1,1
1530352968,1,0
1530363768,1,1
1530367368,0,2
1530370968,1,0
1530374569,1,1
1530381829,2,2
1530385428,0,2
1530388969,1,2
1530392568,0,1
1530396229,1,0
1530399828,1,0
1530403369,2,0
1530406968,0,2
1530410569,1,1
1530414169,3,1
1530417769,2,2
1530425029,3,0
1530428629,1,1
1530432169,1,4
1530435769,2,1
1530439368,1,3
1530443029,0,2
1530446568,1,2
1530450229,3,0
1530453829,2,2
1530457369,1,0
1530464569,0,3
1530468169,1,2
1530475369,1,1
1530478969,1,1
1530482569,0,4
1530486169,1,0
1530489769,1,0
1530496968,2,2
1530500569,3,1
1530504169,4,4
1530511429,1,6
1530515028,1,0
1530518569,0,1
1530525829,1,1
1530529370,2,0
1530533030,2,1
1530536629,4,1
1530538069,1,0
1530543772,1,0
1530547369,4,0
1530550969,2,1
1530554629,1,2
1530558171,1,0
1530561773,1,0
1530565371,0,1
1530568969,2,1
1530576169,1,1
1530579772,1,1
1530583371,2,0
1530587030,5,2
1530590571,3,3
1530594169,1,1
1530601371,0,3
1530604970,1,2
1530608571,3,0
1530612170,2,2
1530615290,1,0
1530619371,3,0
1530623032,1,3
1530626570,2,0
1530630170,1,1
1530633770,4,0
1530637373,2,0
1530640971,1,0
1530648231,1,0
1530651770,1,1
1530655370,1,0
1530658970,1,1
1530669770,0,2
1530673370,3,1
1530677031,3,4
1530680570,1,3
1530687772,1,0
1530694972,1,2
1530698571,1,0
1530702172,2,0
1530705832,0,2
1530712971,0,5
1530716572,2,0
1530723771,2,1
1530727371,1,5
1530730971,0,1
1530738172,0,2
1530741772,1,0
1530745372,0,2
1530756232,1,3
1530759772,3,0
1530763372,3,7
1530766972,1,0
1530770572,2,2
1530774231,1,0
1530777772,0,2
1530781372,4,1
1530783112,1,0
1530792172,1,0
1530795773,2,0
1530802972,1,4
1530806572,2,0
1530810173,2,1
1530813833,1,0
1530817372,5,1
1530824572,0,1
1530828172,1,0
1530831833,0,2
1530835373,0,2
1530842632,0,3
1530846172,3,0
1530849773,4,4
1530853373,2,1
1530856973,0,1
1530860633,1,1
1530864203,1,2
1530867802,1,1
1530871341,2,2
1530874941,1,0
1530878603,0,1
1530882263,0,2
1530885742,2,0
1530889342,4,0
1530893002,2,1
1530900202,0,1
1530903802,2,0
1530907342,3,1
1530910942,1,3
1530914602,1,0
1530918202,1,3
1530921802,1,1
1530925403,2,0
1530926602,1,0
1530932542,1,7
1530936202,3,0
1530939802,0,1
1530943402,0,2
1530947003,0,2
1530954202,0,1
1530957802,2,2
1530961343,0,2
1530965003,0,2
1530968062,1,0
1530972143,0,3
1530975804,1,0
1530979342,3,3
1530982942,1,0
1530986603,3,5
1530990203,1,2
1530993804,4,4
1531004543,1,1
1531008204,1,0
1531011804,0,2
1531015344,1,0
