DateTime,AddedIPs,RemovedIPs
1520563741,8,4
1520567591,13,2
1520571411,16,2
1520575242,9,2
1520579088,10,4
1520582928,2,5
1520587008,7,14
1520590829,14,15
1520594693,18,7
1520598506,19,6
1520602615,15,16
1520606418,8,9
1520610198,8,5
1520613885,1,6
1520617707,4,10
1520621559,12,17
1520625657,9,7
1520629743,6,10
1520633582,5,15
1520637394,2,22
1520641226,13,10
1520645073,1,3
1520649183,9,1
1520652996,6,1
1520656856,12,7
1520660671,26,27
1520664506,11,2
1520672202,32,15
1520676050,17,5
1520679888,8,15
1520683761,7,29
1520687570,17,20
1520691387,8,19
1520695240,4,15
1520699084,34,32
1520702945,5,1
1520707018,6,2
1520710856,7,2
1520714698,4,1
1520718507,5,7
1520722599,7,9
1520726435,1,10
1520730522,5,2
1520734590,4,3
1520738433,6,8
1520742276,5,0
1520746113,6,5
1520750212,1,1
1520754024,1,8
1520757883,7,1
1520761698,5,0
1520765581,5,0
1520769647,1,0
1520773470,10,15
1520777304,1,2
1520781165,8,30
1520784985,11,6
1520788830,3,2
1520797011,2,2
1520800828,5,5
1520804670,11,4
1520808507,6,2
1520812551,2,1
1520816455,10,8
1520820393,4,6
1520824131,7,7
1520827979,4,7
1520831811,5,8
1520835627,7,13
1520839465,0,2
1520843569,2,8
1520847416,7,19
1520851241,2,3
1520855111,15,25
1520858946,15,26
1520862793,21,39
1520866621,8,24
1520870720,14,15
1520875385,25,17
1520879472,13,3
1520883173,13,11
1520887678,29,43
1520895434,57,44
1520899300,11,6
1520903091,15,7
1520906943,7,0
1520910754,1,1
1520914628,6,6
1520918441,9,7
1520922326,6,10
1520926128,8,7
1520929957,17,10
1520933797,7,5
1520937669,1,8
1520941620,1,10
1520945343,2,3
1520952994,35,56
1520956889,13,22
1520960705,12,15
1520964682,13,12
1520969407,29,31
1520973146,18,18
1520977230,22,30
1520981096,22,17
1520984916,18,11
1520988799,7,4
1520992588,9,3
1520996441,8,5
1523185960,26,245
1523189784,9,0
1523193631,25,0
1523197461,6,0
1523201291,5,0
1523205161,2,0
1523208980,1,0
1523212955,17,0
1523216656,37,0
1523220497,32,0
1523224357,37,0
1523228723,22,0
1523232522,9,0
1523236363,15,0
1523240441,6,0
1523244276,16,0
1523248112,6,6
1523251958,4,2
1523255800,23,32
1523259637,46,52
1523263484,35,30
1523267299,45,35
1523271158,41,42
1523275013,26,33
1523278844,34,27
1523282691,17,23
1523286533,26,30
1523290363,28,31
1523294186,19,41
1523298029,40,24
1523301886,30,29
1523305949,24,9
1523309809,8,4
1523313869,8,2
1523317714,6,3
1523325401,26,31
1523329227,29,29
1523333063,19,16
1523336744,17,19
1523340529,55,66
1523344488,45,44
1523348206,47,62
1523352218,28,32
1523356498,60,54
1523360438,46,46
1523364278,4,5
1523368121,22,21
1523375802,65,49
1523379645,47,44
1523383487,30,27
1523387561,6,9
1523391401,5,3
1523395237,1,1
1523399092,7,3
1523402897,3,4
1523406745,29,22
1523410829,35,29
1523414660,42,59
1523418500,37,53
1523422356,42,51
1523426173,47,48
1523430017,16,13
1523437592,9,5
1523441558,14,12
1523445401,5,3
1523449249,2,8
1523453074,1,6
1523457152,11,13
1523461232,10,14
1523465083,7,5
1523472748,2,0
1523476622,6,8
1523480436,8,6
1523484282,10,6
1523488132,1,1
1523492192,2,1
1523496019,4,1
1523500130,9,4
1523503945,2,2
1523507795,5,5
1523511647,3,1
1523515464,9,7
1523519307,13,10
1523523150,1,8
1523527117,1,3
1523530820,6,6
1523534674,7,3
1523538492,4,10
1523546172,6,16
1523550272,6,8
1523554103,9,10
1523557969,20,18
1523562027,27,48
1523566121,24,76
1523569950,16,26
1523574878,32,54
1523578710,6,9
1523582666,14,12
1523586524,3,0
1523590344,17,14
1523594444,9,1
1523598289,8,4
1523602128,14,10
1523605963,13,11
1523609797,10,3
1523613649,7,2
1523617466,4,4
1523621343,3,4
1523625173,13,12
1523629012,19,6
1523632980,16,4
1523637435,25,35
1523641241,9,12
1523645061,0,2
1523649187,3,0
1523653010,2,2
1523656881,4,2
1523660679,1,0
1523664538,3,1
1523668369,4,0
1523672446,2,0
1523676287,2,1
1523680123,6,2
1523683956,7,4
1523687821,3,5
1523691643,27,22
1523695466,30,45
1523699324,15,36
1523703165,30,41
1523707006,21,26
1523710872,25,34
1523714688,13,11
1523718543,1,0
1523722381,9,6
1523726213,12,5
1523730047,26,24
1523733877,18,24
1523737720,21,19
1523741555,8,15
1523749264,2,1
1523753107,5,1
1523756915,3,1
1523760786,16,18
1523764584,20,38
1523768449,19,18
1523772291,3,1
1523776127,13,7
1523780192,15,26
1523784273,25,18
1523788387,6,9
1523792454,9,9
1523796285,19,12
1523800352,15,16
1523804181,1,5
1523808072,0,2
1523811867,5,3
1523815966,7,1
1523820070,9,3
1523824121,2,0
1523832052,2,2
1523835876,3,3
1523839720,7,2
1523843798,2,1
1523847637,11,2
1523851480,14,20
1523855333,12,8
1523859172,23,15
1523863010,29,29
1523866837,15,29
1523870678,18,49
1523874515,24,23
1523878360,0,1
1523882208,1,0
1523886037,4,1
1523897577,3,5
1523901387,3,1
1523905251,5,0
1523913292,2,2
1523917018,2,0
1523920850,10,3
1523924695,3,2
1523928532,2,0
1523932361,7,2
1523940273,1,0
1523944153,6,4
1523948001,9,2
1523951811,3,2
1523955625,3,0
1523959475,7,1
1523967413,1,8
1523971251,5,3
1523975072,3,4
1523978922,5,8
1523982776,5,3
1523986610,5,0
1523990441,6,2
1523994277,2,0
1524002444,9,2
1524010375,11,3
1524014195,18,7
1524018035,4,1
1524021873,2,2
1524025745,4,4
1524029590,4,1
1524033437,16,5
1524037267,11,8
1524041343,4,0
1524049244,16,5
1524053101,11,6
1524056912,7,10
1524060976,12,34
1524064828,1,0
1524068941,5,25
1524072774,7,0
1524076612,15,2
1524080447,6,0
1524084288,3,0
1524088112,6,1
1524095799,9,8
1524099904,12,12
1524103726,7,7
1524107565,2,5
1524111424,5,10
1524115485,4,4
1524119301,4,0
1524123159,18,6
1524126982,3,2
1524130829,4,4
1524134689,11,9
1524138631,7,5
1524142381,6,0
1524146183,3,8
1524150498,7,0
1524154420,2,0
1524158459,13,12
1524162290,7,1
1524166131,4,0
1524173807,1,0
1524177664,15,15
1524181483,11,10
1524185574,1,1
1525909970,0,0
1527288051,0,0
1527293370,0,0
1531787812,12,273
1531799547,1,0
1531807466,3,0
1531815385,3,0
1531819496,4,0
1531827166,6,0
1531831020,1,0
1531834825,1,0
1531838652,4,0
1531846605,1,0
1531850427,1,0
1531854270,2,0
1531858364,4,0
1531866015,1,0
1531877548,24,0
1531881403,52,0
1531885223,32,0
1531889066,5,0
1531892903,8,0
1531896780,12,0
1531900576,1,0
1531904449,4,0
1531908276,26,0
1531912114,8,0
1531927467,19,0
1531931314,76,0
1531935160,53,0
1531938985,11,0
1531943065,14,4
1531946918,25,9
1531950746,24,8
1531954599,2,2
1531958442,15,15
1531962287,31,22
1531966133,34,34
1531969957,20,20
1531973792,19,18
1531977866,34,26
1531985552,2,6
1531993485,11,9
1531997332,17,19
1532001174,35,29
1532005006,37,37
1532016554,2,10
1532020349,2,2
1532028260,1,2
1532032128,1,1
1532035967,1,1
1532043874,1,1
1532047721,0,2
1532051789,1,2
1532055652,1,1
1532059524,2,4
1532063558,1,5
1532071264,3,3
1532075079,4,10
1532078906,0,1
1532082784,1,7
1532086596,0,5
1532090441,1,7
1532094277,0,9
1532098112,0,1
1532101985,0,9
1532105782,2,9
1532109629,1,1
1532113470,4,5
1532124981,1,1
1532132672,1,1
1532136496,1,1
1532140349,2,2
1532144208,0,1
1532148305,2,6
1532152110,1,1
1532156007,56,58
1532159794,41,40
1532163881,50,52
1532167703,8,6
1532171550,10,15
1532175416,12,18
1532179240,1,4
1532183078,10,17
1532186938,30,23
1532190762,15,19
1532194603,1,5
1532202284,2,2
1532206345,11,11
1532210195,32,33
1532214036,52,26
1532217873,40,7
1532221713,0,1
1532225555,36,21
1532229388,28,30
1532233235,13,15
1532240898,32,32
1532244747,34,40
1532248591,32,26
1532252423,17,17
1532256272,16,10
1532260128,53,48
1532263966,0,1
1532267800,2,14
1532275758,4,16
1532279548,156,159
1532283400,427,368
1532287236,450,450
1532291073,451,451
1532294913,451,451
1532356117,451,451
1532359957,451,451
1532363794,438,451
1532367618,442,429
1532371484,451,451
1532375545,451,451
1532379641,451,451
1532383479,451,451
1532387304,451,451
1532391176,444,451
1532395001,433,444
1532398823,438,433
1532402721,438,438
1532406527,446,438
1532410366,448,443
1532414201,438,446
1532418023,449,442
1532421884,446,450
1532425717,451,446
1532429559,446,446
1532433428,439,442
1532437278,450,448
1532441336,451,450
1532445160,445,445
1532449016,447,451
1532452832,451,447
1532456700,451,451
1532460748,451,451
1532464482,451,451
1532468452,447,451
1532472289,451,447
1532476126,446,451
1532479980,449,446
1532483804,449,449
1532487647,450,449
1532491476,447,450
1532495350,438,444
1532499428,435,440
1532503241,446,436
1532507064,447,446
1532510915,447,447
