DateTime,Entries,UniqueIPs
1520563741,306,306
1520567591,317,317
1520571411,331,331
1520575242,338,338
1520579088,344,344
1520582928,341,341
1520587008,334,334
1520590829,333,333
1520594693,344,344
1520598506,357,357
1520602615,356,356
1520606418,355,355
1520610198,358,358
1520613885,353,353
1520617707,347,347
1520621559,342,342
1520625657,344,344
1520629743,340,340
1520633582,330,330
1520637394,310,310
1520641226,313,313
1520645073,311,311
1520649183,319,319
1520652996,324,324
1520656856,329,329
1520660671,328,328
1520664506,337,337
1520672202,354,354
1520676050,366,366
1520679888,359,359
1520683761,337,337
1520687570,334,334
1520691387,323,323
1520695240,312,312
1520699084,314,314
1520702945,318,318
1520707018,322,322
1520710856,327,327
1520714698,330,330
1520718507,328,328
1520722599,326,326
1520726435,317,317
1520730522,320,320
1520734590,321,321
1520738433,319,319
1520742276,324,324
1520746113,325,325
1520750212,325,325
1520754024,318,318
1520757883,324,324
1520761698,329,329
1520765581,334,334
1520769647,335,335
1520773470,330,330
1520777304,329,329
1520781165,307,307
1520784985,312,312
1520788830,313,313
1520797011,313,313
1520800828,313,313
1520804670,320,320
1520808507,324,324
1520812551,325,325
1520816455,327,327
1520820393,325,325
1520824131,325,325
1520827979,322,322
1520831811,319,319
1520835627,313,313
1520839465,311,311
1520843569,305,305
1520847416,293,293
1520851241,292,292
1520855111,282,282
1520858946,271,271
1520862793,253,253
1520866621,237,237
1520870720,236,236
1520875385,244,244
1520879472,254,254
1520883173,256,256
1520887678,242,242
1520895434,255,255
1520899300,260,260
1520903091,268,268
1520906943,275,275
1520910754,275,275
1520914628,275,275
1520918441,277,277
1520922326,273,273
1520926128,274,274
1520929957,281,281
1520933797,283,283
1520937669,276,276
1520941620,267,267
1520945343,266,266
1520952994,245,245
1520956889,236,236
1520960705,233,233
1520964682,234,234
1520969407,232,232
1520973146,232,232
1520977230,224,224
1520981096,229,229
1520984916,236,236
1520988799,239,239
1520992588,245,245
1520996441,248,248
1523185960,29,29
1523189784,38,38
1523193631,63,63
1523197461,69,69
1523201291,74,74
1523205161,76,76
1523208980,77,77
1523212955,94,94
1523216656,131,131
1523220497,163,163
1523224357,200,200
1523228723,222,222
1523232522,231,231
1523236363,246,246
1523240441,252,252
1523244276,268,268
1523248112,268,268
1523251958,270,270
1523255800,261,261
1523259637,255,255
1523263484,260,260
1523267299,270,270
1523271158,269,269
1523275013,262,262
1523278844,269,269
1523282691,263,263
1523286533,259,259
1523290363,256,256
1523294186,234,234
1523298029,250,250
1523301886,251,251
1523305949,266,266
1523309809,270,270
1523313869,276,276
1523317714,279,279
1523325401,274,274
1523329227,274,274
1523333063,277,277
1523336744,275,275
1523340529,264,264
1523344488,265,265
1523348206,250,250
1523352218,246,246
1523356498,252,252
1523360438,252,252
1523364278,251,251
1523368121,252,252
1523375802,268,268
1523379645,271,271
1523383487,274,274
1523387561,271,271
1523391401,273,273
1523395237,273,273
1523399092,277,277
1523402897,276,276
1523406745,283,283
1523410829,289,289
1523414660,272,272
1523418500,256,256
1523422356,247,247
1523426173,246,246
1523430017,249,249
1523437592,253,253
1523441558,255,255
1523445401,257,257
1523449249,251,251
1523453074,246,246
1523457152,244,244
1523461232,240,240
1523465083,242,242
1523472748,244,244
1523476622,242,242
1523480436,244,244
1523484282,248,248
1523488132,248,248
1523492192,249,249
1523496019,252,252
1523500130,257,257
1523503945,257,257
1523507795,257,257
