DateTime,AddedIPs,RemovedIPs
1520702971,120,120
1520707045,109,109
1520710874,237,237
1520714716,257,258
1520718515,184,183
1520722605,70,71
1520726442,77,78
1520730525,23,24
1520734597,105,105
1520738439,142,143
1520742280,83,83
1520746116,29,34
1520750225,10,10
1520754029,5,37
1520757890,94,94
1520761702,116,115
1520765601,49,58
1520769656,8,2
1520773475,13,25
1520777310,23,24
1520781175,86,104
1520784989,68,73
1520788834,27,22
1520792915,9,1
1520797017,50,10
1520800833,50,49
1520804674,56,71
1520808512,41,60
1520812577,0,4
1520816470,74,79
1520820399,133,106
1520824137,27,18
1520827992,11,15
1520831815,16,13
1520835631,19,30
1520839469,5,7
1520843573,1,18
1520847421,18,51
1520851244,11,19
1520855138,56,123
1520858968,232,260
1520862809,152,135
1520866642,191,181
1520870745,236,275
1520875396,264,240
1520879499,220,245
1520883195,111,86
1520887695,164,149
1520895460,247,277
1520899337,234,249
1520903105,238,234
1520906958,236,238
1520910761,240,236
1520914640,233,240
1520918454,261,233
1520922345,277,261
1520926137,274,276
1520929974,286,254
1520933810,261,307
1520937694,242,261
1520941628,250,242
1520945355,236,250
1520953004,292,236
1520956914,300,292
1520960726,287,278
1520964703,253,282
1520969415,202,222
1520973153,136,158
1520977245,110,94
1520981120,211,171
1520984931,266,274
1520988819,242,244
1520992595,222,250
1520996453,260,255
1523185961,63,261
1523189786,45,0
1523193633,126,0
1523197463,31,0
1523201293,20,0
1523205163,1,0
1523208987,20,0
1523212963,96,9
1523216663,243,368
1523220501,237,261
1523224362,232,243
1523228726,229,233
1523232529,234,229
1523236373,252,234
1523240450,252,252
1523244282,245,252
1523248115,233,245
1523251965,247,233
1523255808,236,247
1523259642,240,217
1523263496,249,259
1523267305,244,249
1523271165,252,244
1523275017,244,252
1523278848,252,242
1523282700,255,254
1523286538,269,255
1523290368,237,268
1523294190,261,238
1523298033,240,260
1523301892,220,221
1523305957,248,240
1523309821,249,244
1523313874,254,253
1523317719,259,254
1523325408,245,259
1523329238,255,228
1523333069,268,272
1523336749,257,268
1523340536,112,113
1523344496,139,137
1523348211,164,136
1523352225,255,267
1523356503,156,178
1523360445,139,117
1523364283,259,274
1523368130,312,259
1523375810,272,278
1523379651,266,298
1523383492,242,264
1523387567,261,252
1523391407,275,261
1523395244,282,275
1523399097,289,282
1523402903,266,289
1523406753,207,223
1523410833,75,73
1523414668,257,243
1523418508,189,174
1523422371,142,131
1523426179,117,127
1523430022,37,55
1523433864,2,1
1523437599,30,22
1523441561,115,64
1523445407,26,18
1523449251,17,22
1523453077,12,26
1523457155,43,35
1523461235,60,74
1523465086,27,25
1523468913,4,1
1523472751,7,2
1523476627,20,4
1523480447,85,36
1523484285,67,23
1523488135,5,6
1523492195,22,30
1523496022,11,10
1523500134,55,60
1523503948,17,21
1523507797,19,31
1523511650,6,4
1523515467,19,30
1523519309,52,71
1523523153,7,21
1523527120,7,29
1523530825,25,58
1523534676,75,37
1523538495,68,66
1523542340,11,11
1523546175,12,25
1523550279,39,25
1523554106,81,89
1523557977,60,55
1523562033,37,34
1523566129,23,67
1523569960,47,120
1523574891,74,96
1523578718,159,202
1523582672,176,159
1523586532,177,176
1523590351,167,154
1523594450,182,190
1523598295,191,182
1523602134,100,142
1523605971,183,148
1523609804,182,184
1523613664,183,182
1523617473,188,183
1523621353,163,180
1523625181,198,171
1523629018,177,194
1523632988,176,178
1523637443,140,91
1523641256,85,90
1523645068,170,223
1523649198,171,169
1523653018,172,172
1523656902,195,172
1523660689,183,194
1523664553,172,184
1523668375,172,172
1523672452,168,172
1523676298,179,168
1523680131,206,178
1523683963,181,202
1523687831,94,125
1523691652,29,30
1523695472,83,63
1523699331,74,86
1523703183,136,87
1523707014,67,32
1523710892,67,80
1523714696,106,160
1523718555,178,179
1523722391,203,171
1523726220,143,187
1523730059,60,40
1523733887,35,45
1523737725,37,43
1523741563,128,128
1523745562,183,168
1523749276,179,178
1523753118,184,186
1523756921,156,184
1523760792,32,28
1523764595,53,27
1523768461,106,50
1523772297,172,234
1523776133,117,121
1523780198,84,67
1523784283,50,75
1523788395,194,168
1523792465,152,168
1523796297,89,38
1523800359,57,34
1523804188,180,234
1523808094,178,190
1523811875,188,186
1523815973,196,181
1523820084,195,202
1523824131,188,196
1523827961,178,186
1523832073,183,180
1523835887,172,163
1523839732,184,171
1523843810,183,201
1523847650,143,170
1523851488,16,25
1523855343,20,12
1523859182,73,51
1523863016,70,75
1523866846,26,45
1523870683,60,61
1523874521,46,40
1523878363,4,3
1523882214,6,0
1523886041,39,11
1523889861,5,0
1523893731,8,3
1523897589,19,27
1523901397,21,5
1523905261,10,1
1523909074,12,4
1523913297,12,2
1523917022,6,1
1523920855,18,0
1523924699,8,2
1523928537,8,1
1523932369,12,1
1523936213,6,2
1523940278,6,1
1523944158,19,8
1523948012,14,23
1523951815,1,0
1523955629,10,6
1523959480,87,36
1523963327,233,288
1523967419,262,237
1523971268,211,225
1523975081,206,199
1523978932,211,218
1523982789,218,210
1523986629,339,286
1523990451,294,298
1523994285,316,319
1523998362,334,335
1524002460,364,365
1524006534,365,364
1524010395,373,356
1524014204,327,332
1524018044,334,333
1524021879,330,342
1524025756,361,361
1524029604,367,366
1524033450,332,311
1524037280,323,332
1524041359,323,334
1524045147,334,340
1524049253,369,362
1524053116,328,328
1524056924,306,298
1524060984,334,334
1524064834,318,335
1524068948,374,360
1524072790,347,350
1524076634,308,310
1524080462,309,305
1524084298,347,358
1524088119,344,343
1524095809,370,363
1524099913,331,326
1524103732,338,350
1524107572,335,326
1524111440,368,367
1524115510,318,316
1524119317,299,301
1524123173,331,327
1524126990,348,352
1524130843,305,310
1524134704,321,296
1524138643,319,330
1524142406,301,295
1524146193,353,360
1524150505,372,381
1524154441,385,370
1524158472,369,357
1524162303,336,341
1524166140,300,323
1524169992,362,366
1524173821,329,328
1524177679,325,309
1524181491,299,302
1524185585,136,137
1526128881,0,0
1527288060,0,0
1527293394,0,0
1531787813,86,380
1531791877,24,0
1531795711,1,0
1531799548,15,0
1531803645,1,0
1531807468,19,0
1531811587,2,0
1531815386,8,0
1531819501,11,0
1531823328,3,0
1531827169,8,0
1531831022,5,0
1531834828,13,15
1531838655,3,1
1531842770,10,8
1531846611,4,1
1531850433,1,0
1531854273,24,1
1531858367,43,14
1531862206,3,6
1531866017,2,5
1531877552,54,18
1531881410,41,12
1531885226,73,3
1531889069,386,306
1531892911,451,450
1531896783,393,393
1531900580,451,451
1531904454,451,451
1531908280,215,215
1531912117,442,442
1531915956,451,451
1531919790,450,450
1531923621,451,451
1531927470,314,314
1531931316,82,82
1531935164,163,163
1531938991,251,251
1531943068,371,371
1531946924,53,53
1531950750,22,22
1531954603,451,451
1531958446,352,352
1531962290,173,173
1531966136,200,200
1531969961,428,429
1531973795,288,288
1531977873,259,258
1531981762,451,451
1531985560,450,451
1531989697,450,449
1531993488,377,377
1531997338,122,122
1532001178,124,124
1532005009,70,70
1532012675,3,3
1532016557,60,90
1532020351,3,4
1532024211,2,2
1532028262,23,23
1532032132,33,34
1532035970,15,17
1532039795,0,2
1532043876,16,5
1532047724,7,9
1532051794,14,20
1532055661,1,1
1532059526,12,18
1532063561,10,42
1532067411,2,7
1532071267,4,10
1532075082,22,57
1532078909,1,5
1532082788,10,67
1532086601,5,37
1532090444,8,38
1532094280,5,21
1532098114,7,12
1532101987,6,19
1532105785,14,10
1532109633,16,0
1532113472,32,16
1532117317,3,0
1532121150,6,0
1532124986,1,0
1532128829,4,0
1532132674,18,0
1532136498,11,4
1532140354,8,0
1532144212,1,0
1532148308,10,1
1532152112,7,1
1532156011,57,4
1532159799,33,15
1532163885,129,132
1532167708,379,272
1532171553,451,451
1532175420,369,369
1532179243,451,451
1532183082,451,451
1532186941,294,295
1532190767,335,334
1532194606,451,451
1532198442,451,451
1532202287,450,450
1532206352,405,405
1532210198,83,83
1532214041,140,140
1532217878,85,87
1532221718,436,434
1532225559,80,80
1532229393,50,51
1532233239,238,239
1532237118,449,447
1532240903,238,238
1532244751,271,272
1532248595,151,151
1532252426,449,449
1532256276,285,284
1532260132,186,187
1532263972,438,437
1532267805,451,451
1532271663,451,451
1532275762,450,450
1532279552,151,151
1532283402,90,149
1532287244,37,40
1532291083,2,13
1532294916,2,5
1532356121,61,73
1532359970,12,17
1532363800,45,128
1532367621,2,109
1532371490,27,14
1532375547,16,16
1532379653,2,0
1532383488,23,6
1532387309,15,4
1532391185,151,83
1532395014,112,150
1532398831,30,52
1532402735,58,59
1532406538,133,108
1532410381,182,144
1532414209,154,171
1532418035,210,191
1532421895,186,189
1532425733,227,228
1532429572,213,225
1532437303,227,190
1532441350,192,221
1532445173,217,228
1532449026,282,263
1532452843,229,283
1532456722,241,229
1532460759,242,241
1532464492,238,242
1532468472,195,199
1532472301,224,229
1532476136,178,168
1532479988,160,160
1532483816,186,179
1532487670,156,152
1532491494,152,179
1532499445,198,215
1532503250,177,144
1532507073,137,154
1532510930,152,137
