DateTime,AddedIPs,RemovedIPs
1520439176,450,450
1520443009,449,451
1520446855,450,448
1520450702,451,451
1520454536,451,451
1520458383,451,451
1520462235,451,451
1520466125,451,451
1520469893,451,451
1520474029,451,451
1520477852,451,451
1520481709,451,451
1520485540,451,451
1520489382,451,451
1520493235,451,451
1520497473,451,451
1520501429,451,451
1520505184,451,451
1520509056,451,451
1520512856,451,451
1520516691,451,451
1520520785,451,451
1520524845,451,451
1520528703,451,451
1520532544,451,451
1520536638,451,451
1520540461,451,451
1520544307,451,451
1520548152,449,449
1520556090,451,451
1520559932,451,451
1520563772,451,451
1520567633,451,451
1520571439,451,451
1520575256,451,451
1520579103,451,451
1520582942,451,451
1520587028,451,451
1520590850,451,451
1520594724,450,451
1520598534,451,450
1520602653,451,451
1520606434,451,451
1520610227,451,451
1520613898,451,451
1520617731,451,451
1520621590,451,451
1520629781,449,451
1520633617,450,448
1520637410,451,451
1520641241,451,451
1520645088,451,451
1520649212,451,451
1520653018,451,451
1520656882,451,451
1520660702,451,451
1520664520,451,451
1520672221,451,451
1520676095,451,451
1520679916,451,451
1520683800,451,451
1520687596,449,450
1520691405,450,449
1520695255,451,451
1520699101,451,451
1520703003,451,451
1520707078,418,418
1520710893,391,391
1520714732,450,450
1520718522,448,450
1520722610,449,447
1520726449,451,451
1520730530,1,1
1520734604,93,93
1520738448,101,101
1520742284,66,66
1520746127,1,1
1520754034,2,5
1520757894,105,114
1520761710,81,99
1520765621,57,65
1520769673,2,2
1520773479,1,1
1520777315,16,10
1520781189,60,63
1520784995,61,60
1520788838,14,18
1520792919,0,1
1520797021,3,3
1520800839,40,48
1520804679,59,61
1520808516,48,57
1520812601,2,3
1520816483,43,44
1520820403,84,96
1520824141,1,0
1520835635,0,1
1520839473,0,1
1520851248,1,2
1520858990,231,374
1520862819,232,234
1520866667,232,232
1520870775,215,212
1520875406,240,235
1520883217,242,240
1520887711,237,242
1520895487,241,237
1520903123,243,241
1520906970,230,243
1520910773,229,230
1520914655,233,229
1520918464,241,233
1520922366,244,241
1520926149,249,244
1520929993,246,249
1520933825,247,246
1520937716,238,247
1520941636,239,238
1520945374,243,239
1520953017,264,243
1520956940,264,264
1520960750,260,264
1520964723,260,260
1520969426,251,260
1520973162,222,222
1520977255,258,251
1520981152,269,258
1520984950,278,269
1520988839,281,278
1520992608,251,281
1520996472,247,251
1523186911,1,247
1523190747,95,0
1523194574,84,0
1523198419,48,0
1523209993,35,0
1523213792,155,57
1523217627,238,347
1523221468,226,252
1523225320,227,226
1523229175,228,227
1523232995,244,228
1523237088,250,244
1523240905,255,250
1523244768,249,255
1523248587,232,249
1523252442,234,232
1523256269,242,234
1523260123,256,240
1523263948,272,257
1523267802,241,273
1523271679,235,241
1523275491,238,235
1523279312,256,238
1523283160,263,255
1523286988,266,264
1523290831,242,266
1523294663,240,242
1523298518,241,240
1523302363,260,241
1523307028,281,260
1523310776,291,281
1523314834,285,291
1523318661,250,285
1523322504,257,250
1523326216,257,257
1523329956,264,257
1523333813,276,264
1523337629,246,276
1523341482,147,141
1523345317,193,197
1523349165,229,197
1523353004,288,276
1523356859,231,278
1523360658,214,217
1523364492,259,242
1523368594,301,259
1523372462,300,301
1523376277,297,295
1523380109,258,302
1523383964,265,258
1523388048,265,265
1523391895,298,265
1523395714,290,298
1523399787,291,290
1523403638,267,291
1523407479,261,267
1523411301,266,261
1523415153,286,266
1523419228,289,286
1523423071,239,237
1523426922,215,251
1523430763,71,90
1523434599,1,1
1523439044,104,54
1523442993,115,60
1523446819,17,6
1523450672,3,0
1523458349,85,37
1523462185,61,58
1523466028,31,30
1523473704,1,1
1523477548,57,59
1523481401,81,83
1523485227,26,24
1523493156,1,0
1523496865,71,75
1523500931,72,71
1523504654,13,14
1523508503,0,1
1523512349,7,8
1523516177,103,98
1523520012,60,60
1523531549,38,37
1523535421,62,63
1523539225,87,79
1523543076,1,1
1523546896,3,3
1523550760,81,81
1523554602,59,68
1523558441,155,403
1523562764,159,156
1523566600,189,159
1523570453,206,180
1523574905,196,215
1523578727,158,196
1523582676,159,158
1523586538,165,159
1523590360,197,165
1523594458,213,197
1523598302,163,213
1523602141,137,144
1523605979,192,156
1523609812,212,192
1523613682,205,212
