DateTime,AddedIPs,RemovedIPs
1520481759,2,2
1520485566,1,1
1520489408,3,5
1520493294,5,3
1520497498,3,8
1520501459,3,10
1520505211,3,6
1520512877,6,4
1520516713,2,1
1520520801,0,6
1520524890,0,2
1520528724,3,4
1520532566,1,0
1520536669,4,3
1520540486,3,1
1520544348,6,3
1520548179,1,2
1520551968,4,1
1520556148,1,2
1520559994,1,1
1520563820,2,3
1520567678,1,0
1520571481,0,2
1520575296,0,5
1520579127,1,0
1520582968,2,4
1520587055,5,0
1520590879,3,0
1520594767,2,4
1520598577,2,0
1520602705,1,2
1520606456,2,1
1520610273,3,7
1520614107,2,1
1520621632,7,5
1520629837,10,4
1520633656,2,1
1520637429,1,1
1520641264,4,0
1520645127,2,8
1520649261,3,5
1520656927,3,8
1520660758,1,4
1520664543,0,1
1520672249,8,5
1520676176,4,4
1520679983,1,1
1520683848,1,3
1520687633,1,1
1520691426,6,8
1520695278,2,0
1520699126,11,9
1520710954,15,6
1520714775,2,0
1520718543,1,1
1520722628,3,1
1520726478,3,3
1520730542,3,1
1520734620,2,2
1520738462,0,3
1520742297,4,2
1520746147,4,5
1520750273,3,2
1520754050,5,2
1520757925,4,1
1520765674,4,4
1520769728,1,0
1520773490,4,3
1520777332,1,1
1520781216,2,5
1520785010,4,0
1520788851,1,1
1520792932,2,0
1520797032,11,5
1520800855,1,2
1520804695,5,7
1520812682,2,0
1520816544,2,0
1520820418,2,3
1520824153,3,1
1520828053,1,3
1520831832,1,4
1520835649,7,6
1520839484,4,3
1520843588,1,3
1520847443,7,0
1520851261,5,2
1520859074,8,6
1520862860,0,2
1520866724,2,2
1520875438,1,6
1520883291,11,2
1520887781,3,4
1520895560,8,2
1520903184,1,0
1520907002,2,1
1520910817,2,2
1520914694,3,0
1520918503,4,2
1520922436,2,3
1520926178,4,8
1520930053,4,3
1520933870,11,20
1520937770,2,4
1520941659,1,6
1520945417,4,4
1520953054,11,13
1520957015,3,3
1520960824,3,7
1520964794,1,1
1520969489,1,3
1520973203,0,1
1520977310,2,2
1520985040,2,0
1520988933,0,1
1520992673,4,3
1520996578,1,2
1523183065,1,200
1523186919,17,0
1523190765,8,0
1523194589,6,0
1523198429,4,0
1523202271,4,0
1523206124,1,0
1523210003,1,0
1523213809,1,0
1523217652,2,0
1523221483,1,0
1523225334,4,0
1523229189,1,0
1523233010,1,0
1523237105,3,0
1523240941,3,0
1523244792,1,0
1523248601,2,0
1523252456,4,0
1523256287,3,0
1523260155,1,0
1523263969,3,0
1523267835,3,0
1523275510,8,0
1523279330,3,0
1523283187,7,0
