DateTime,AddedIPs,RemovedIPs
1520641276,69,87
1520645139,20,42
1520649280,48,70
1520653064,27,30
1520656941,49,23
1520660776,19,32
1520664549,17,20
1520672258,46,54
1520676198,62,87
1520680010,26,27
1520683865,30,44
1520687644,31,25
1520691435,45,35
1520695285,15,7
1520699132,41,53
1520710975,163,64
1520714793,29,31
1520718549,16,20
1520722633,54,54
1520726491,19,21
1520730545,50,53
1520734626,34,36
1520738472,32,49
1520742300,36,61
1520746153,39,44
1520750286,26,37
1520754053,20,50
1520757931,47,38
1520761732,35,38
1520765684,22,65
1520769744,11,0
1520773494,66,46
1520777336,23,21
1520781224,63,44
1520785015,37,3
1520788856,31,21
1520792936,8,0
1520797035,113,76
1520800858,22,25
1520804700,66,66
1520808533,32,44
1520816561,59,95
1520820421,19,47
1520824159,45,36
1520828067,14,6
1520831836,10,3
1520835653,48,61
1520839487,19,15
1520843593,15,66
1520847448,62,62
1520851265,23,11
1520862876,71,72
1520866741,20,40
1520875450,95,34
1520883316,101,37
1520887805,61,63
1520891562,13,13
1520895582,65,64
1520903204,33,47
1520907011,44,65
1520910829,13,53
1520914706,10,12
1520918515,49,88
1520922464,45,36
1520926188,48,40
1520930076,29,38
1520933882,53,30
1520937780,11,6
1520941669,11,52
1520945431,18,1
1520953065,87,58
1520957037,35,27
1520960846,76,36
1520964816,40,9
1520969511,119,121
1520973211,13,15
1520977329,59,68
1520981302,22,23
1520985076,48,61
1520988949,20,49
1520992685,25,45
1520996602,49,41
1523183067,30,377
1523186921,96,0
1523190767,50,0
1523194593,76,0
1523198432,26,0
1523202273,29,6
1523206126,15,0
1523210005,15,1
1523213814,49,0
1523217665,16,12
1523221487,11,9
1523225339,28,3
1523229194,14,1
1523233014,12,18
1523237110,50,55
1523240950,29,34
1523244800,20,24
1523248609,27,57
1523252463,33,82
1523256292,16,20
1523260160,27,39
1523263976,19,10
1523267841,29,44
1523275515,60,61
1523279336,21,7
1523283196,35,21
1523287012,27,37
1523290858,22,6
1523294691,34,34
1523298539,33,19
1523302388,16,7
1523307066,36,2
1523310799,29,1
1523314853,14,10
1523318681,40,44
1523322524,10,13
1523326242,8,9
1523333845,60,66
1523337655,27,68
1523341513,19,39
1523345345,29,57
1523349213,29,46
1523353048,9,2
1523356897,11,13
1523360691,48,52
1523364517,15,9
1523368638,36,34
1523372524,23,21
1523376322,29,24
1523380134,34,15
1523383988,22,2
1523388071,13,1
1523391931,6,1
1523395767,38,20
1523399848,24,4
1523403664,23,10
1523407505,28,30
1523411325,14,22
1523415207,27,36
1523419286,15,19
1523423100,28,48
1523426950,25,62
1523430785,13,15
1523434612,17,17
1523439061,15,15
1523443025,48,63
1523446836,25,46
