DateTime,AddedIPs,RemovedIPs
1520286282,3,3
1520290142,1,2
1520294258,2,8
1520298085,2,5
1520301910,6,7
1520305725,1,4
1520309575,5,1
1520313428,2,2
1520317257,4,1
1520321089,0,3
1520324931,0,2
1520328770,2,0
1520332483,1,3
1520336195,3,1
1520340313,1,4
1520344133,7,1
1520347982,5,2
1520352065,6,2
1520355903,2,5
1520363816,6,9
1520367651,1,2
1520371527,3,0
1520375336,2,3
1520379188,2,4
1520383035,2,2
1520386873,1,0
1520390721,0,3
1520394550,3,3
1520398398,4,1
1520402232,1,0
1520406082,0,2
1520413741,2,3
1520417820,0,2
1520421657,2,1
1520425508,3,5
1520429353,1,1
1520433171,3,0
1520437166,0,2
1520440865,3,1
1520444959,1,4
1520448806,4,0
1520452610,2,2
1520456487,5,4
1520460284,1,5
1520464123,3,5
1520467984,1,0
1520472072,6,5
1520475931,2,1
1520479742,3,1
1520483593,3,2
1520487420,4,5
1520491293,1,3
1520495309,4,2
1520499461,2,3
1520503883,5,2
1520507596,1,5
1520511423,5,2
1520515198,2,3
1520519067,4,0
1520523161,1,3
1520527251,3,3
1520531082,3,4
1520534951,1,2
1520538775,9,4
1520542866,5,3
1520550844,4,14
1520554620,0,2
1520558434,4,4
1520562278,3,0
1520566122,1,1
1520569985,2,3
1520573839,2,3
1520577653,3,1
1520581505,4,3
1520585362,0,2
1520589427,0,4
1520597337,2,1
1520601189,3,0
1520605261,1,3
1520609093,5,3
1520612933,3,2
1520616807,5,3
1520620694,6,2
1520624460,3,4
1520628299,4,5
1520632114,0,9
1520635997,0,2
1520640076,7,6
1520643912,5,1
1520651566,1,3
1520655431,2,2
1520659256,0,3
1520663077,1,1
1520666923,2,1
1520670777,2,0
1520674620,4,0
1520678445,0,2
1520682306,4,3
1520686143,4,5
1520689989,9,0
1520693800,1,4
1520697655,2,4
1520701495,2,5
1520705313,3,3
1520709170,2,1
1520712982,2,4
1520716824,1,5
1520720694,0,3
1520724841,3,3
1520728637,1,1
1520732450,3,0
1520736539,3,3
1520740425,1,0
1520744200,1,3
1520748071,5,2
1520752133,3,2
1520755986,0,1
1520759818,4,4
1520763889,4,1
1520767727,4,0
1520771580,2,4
1520776225,3,3
1520779949,1,3
1520784126,4,1
1520787947,0,4
1520791729,3,2
1520795562,10,6
1520799417,0,2
1520803372,0,2
1520807087,1,10
1520810937,3,1
1520818836,8,1
1520822680,0,1
1520826545,1,7
1520830360,4,5
1520834198,3,0
1520838038,2,1
1520841996,6,1
1520845954,2,3
1520849825,2,3
1520853637,7,0
1520857546,1,5
1520861340,0,4
1520865210,4,2
1520872760,2,4
1520876648,3,4
1520880346,4,0
1520884143,5,2
1520887854,4,3
1520891583,1,4
1520895625,1,5
1520903232,5,6
1520907025,6,2
1520910852,1,1
1520914732,2,3
1520918538,2,7
1520926208,4,4
1520930114,2,2
1520933908,6,1
1520937799,4,4
1520941687,9,1
1520945463,3,3
1520953081,4,12
1520957071,4,3
1520960884,7,3
1520964864,5,3
1520969545,4,4
1520973226,2,6
1520977360,4,6
1520988979,9,7
1520992710,4,4
1520996643,2,0
1523186924,5,26
1523190770,1,0
1523194596,1,0
1523206128,1,0
1523210008,2,0
1523213819,4,0
1523221491,1,0
1523225343,2,0
1523229198,1,0
1523233021,1,0
1523248614,2,0
1523260169,2,0
1523275523,1,0
1523279342,1,0
1523290864,1,0
1523294699,1,0
1523298545,2,0
1523310806,1,0
1523314859,1,0
1523333852,1,0
1523341520,1,0
1523349232,1,0
1523364532,1,0
1523372541,1,0
1523376338,1,0
1523380140,2,0
1523383996,2,0
1523388079,2,0
1523395785,2,0
1523423109,1,0
1523430789,2,0
1523439066,1,0
1523443030,2,0
1523446843,2,0
1523458370,1,0
1523466045,2,0
1523473722,2,0
1523481430,2,0
1523485244,3,0
1523489106,4,0
1523493174,1,0
1523500967,2,0
1523508533,2,0
1523523876,1,0
1523531572,3,0
1523546914,1,0
1523558479,3,0
1523562801,1,0
1523566644,2,0
1523578791,1,0
1523598364,1,0
1523606025,1,0
1523617521,1,0
1523637486,1,0
1523645109,2,0
1523649257,1,4
1523660748,2,1
1523664642,0,2
1523680186,0,2
1523691731,0,1
1523718662,1,0
1523726280,2,0
1523730143,3,1
1523733991,1,0
1523737772,2,0
1523741622,2,6
1523753216,2,2
1523756969,0,2
1523760844,0,1
1523768555,0,3
1523784361,0,2
1523788489,0,1
1523792548,0,1
1523800424,0,2
1523804305,1,3
1523811968,3,20
1523816046,5,1
1523820179,2,8
1523824220,0,4
1523828010,0,4
1523835949,0,17
1523839818,0,2
1523843887,2,0
1523851551,1,7
1523859243,1,1
1523863064,2,1
1523866899,1,2
1523870765,0,1
1523874575,0,2
1523878392,1,1
1523882270,1,0
1523886069,5,0
1523889889,1,0
1523893758,0,1
1523897626,3,0
1523901448,3,2
1523905377,4,2
1523909112,1,1
1523913335,3,0
1523917060,2,1
1523920895,4,13
1523924741,3,15
1523928569,3,0
1523932434,3,0
1523940316,1,0
1523944191,1,0
1523948062,1,0
1523955746,1,0
1523959535,1,0
1523963394,1,1
1523967471,2,1
1523971401,0,10
1523975138,1,5
1523979004,3,3
1523982860,2,1
1523986764,0,3
1523990519,6,0
1523994372,1,0
1523998428,3,0
1524002608,1,0
1524006616,3,2
1524010522,0,1
1524014276,4,0
1524018175,1,0
1524025830,1,1
1524029726,0,4
1524033549,1,8
1524037443,3,2
1524041432,3,1
1524045230,0,2
1524049419,4,3
1524053196,0,3
1524057018,1,3
1524061069,4,2
1524064897,0,3
1524069010,4,0
1524072938,2,4
1524080600,7,0
1524084395,1,4
1524088224,1,2
1524095888,1,7
1524099996,2,2
1524103854,1,1
1524107685,0,1
1524111563,3,0
1524115682,1,1
1524119445,2,0
1524123311,4,2
1524127110,1,4
1524130947,5,1
1524134844,0,3
1524138813,2,2
1524142553,2,4
1524150568,4,0
1524158609,3,1
1524162386,4,2
1524166207,5,1
1524170099,0,4
1524173898,3,5
1524177780,3,7
1524181574,1,1
1524185680,1,0
1526306628,0,0
1527288161,0,0
1527293541,0,0
1531787836,19,16
1531791891,0,3
1531795725,4,0
1531799561,2,4
1531803666,4,4
1531807481,3,3
1531811603,6,1
1531815400,1,2
1531819531,4,1
1531823342,1,6
1531827191,2,0
1531831052,2,3
1531834845,5,1
1531838673,0,4
1531842784,2,1
1531846627,0,2
1531850460,0,3
1531854290,3,3
1531858407,6,1
1531862222,4,0
1531866035,0,1
1531869913,1,5
1531873760,3,3
1531877578,3,4
1531885249,2,3
1531889092,2,1
1531892952,2,2
1531896807,0,2
1531900602,2,2
1531904513,4,1
1531908306,0,3
1531912143,1,2
1531915995,1,1
1531919817,1,0
1531923647,2,2
1531927513,1,0
1531931348,4,2
1531935191,7,4
1531939061,4,3
1531943094,5,3
1531946960,2,6
1531950781,3,7
1531954628,3,6
1531958470,10,1
1531962315,1,0
1531966161,1,5
1531969986,1,6
1531973825,1,0
1531977926,3,1
1531981788,0,1
1531985605,5,1
1531989727,4,1
1531993514,1,2
1531997370,1,8
1532001204,8,5
1532005030,3,3
1532008896,0,1
1532012694,1,8
1532016588,8,3
1532020371,2,1
1532024231,2,0
1532028286,3,2
1532032162,2,5
1532035989,2,2
1532039878,2,6
1532043898,9,1
1532047743,3,2
1532051826,0,1
1532055728,1,4
1532059546,4,6
1532063580,3,1
1532067437,1,1
1532071287,1,1
1532075110,0,2
1532078933,2,3
1532082826,4,1
1532086649,0,2
1532090464,1,1
1532094305,3,7
1532098143,8,0
1532102009,0,2
1532105806,4,1
1532109671,6,5
1532113491,5,3
1532117349,7,1
1532121170,3,4
1532125006,0,7
1532128848,1,14
1532132693,9,2
1532136521,4,1
1532140391,2,0
1532144235,1,1
1532148328,1,8
1532152133,3,0
1532156045,0,1
1532159828,1,0
1532163912,3,2
1532167735,3,1
1532171593,4,0
1532175455,2,4
1532179273,2,2
1532183121,6,2
1532186971,2,1
1532190834,2,3
1532194634,5,2
1532198470,0,5
1532202338,3,1
1532206391,6,9
1532210229,2,4
1532214093,3,6
1532217907,1,4
1532221756,5,5
1532225615,7,3
1532229422,4,1
1532233271,1,1
1532237181,2,0
1532240947,2,4
1532244779,1,2
1532248623,2,1
1532252456,3,0
1532260186,5,2
1532264007,0,4
1532267834,6,1
1532271765,1,7
1532275816,4,3
1532279617,3,7
1532283438,7,3
1532287281,7,6
1532291117,3,0
1532294954,1,6
1532356157,15,6
1532360050,3,2
1532363871,3,7
1532367659,1,6
1532371575,2,0
1532375584,2,2
1532383543,12,6
1532387347,1,2
1532391261,2,9
1532395117,0,10
1532398900,2,2
1532402814,11,1
1532406627,2,1
1532410508,5,2
1532414299,1,4
1532418144,1,0
1532422019,1,1
1532429675,5,1
1532441483,2,7
1532445298,1,2
1532449118,3,0
1532452920,5,0
1532456787,3,4
1532460832,6,8
1532464569,1,4
1532472423,7,12
1532476269,0,5
1532480068,6,0
1532483916,8,3
1532491626,2,6
1532503328,3,8
1532507154,4,1
1532511053,0,1
